,True Label,True Class,count,Proportion,Coverage
986,986,yellow lady's slipper,1234,0.004703819470915606,0.9141
24,24,great grey owl,1157,0.004410307234886026,0.857
135,135,limpkin,1132,0.004315011054356941,0.8385
984,984,rapeseed,1097,0.004181596401616223,0.8126
594,594,harp,1047,0.0039910040405580546,0.7756
19,19,chickadee,1047,0.0039910040405580546,0.7756
14,14,indigo bunting,1023,0.0038995197072501336,0.7578
84,84,peacock,1012,0.003857589387817336,0.7496
89,89,sulphur-crested cockatoo,1010,0.0038499656933750096,0.7481
141,141,redshank,983,0.0037470458184035984,0.7281
117,117,chambered nautilus,983,0.0037470458184035984,0.7281
800,800,slot,974,0.003712739193413128,0.7215
388,388,giant panda,960,0.0036593733323168408,0.7111
45,45,Gila monster,958,0.003651749637874514,0.7096
607,607,jack-o'-lantern,957,0.0036479377906533505,0.7089
324,324,cabbage butterfly,954,0.0036365022489898606,0.7067
139,139,ruddy turnstone,949,0.003617443012884044,0.703
11,11,goldfinch,939,0.0035793245406724097,0.6956
29,29,axolotl,938,0.0035755126934512464,0.6948
145,145,king penguin,933,0.0035564534573454295,0.6911
604,604,hourglass,929,0.003541206068460776,0.6881
15,15,robin,924,0.003522146832354959,0.6844
576,576,gondola,920,0.0035068994434703056,0.6815
387,387,lesser panda,916,0.003491652054585652,0.6785
9,9,ostrich,912,0.003476404665700999,0.6756
832,832,stupa,911,0.003472592818479835,0.6748
340,340,zebra,908,0.0034611572768163453,0.6726
181,181,Bedlington terrier,903,0.0034420980407105285,0.6904
90,90,lorikeet,899,0.003426850651825875,0.6659
96,96,toucan,886,0.003377296637950751,0.6563
396,396,lionfish,885,0.0033734847907295877,0.6556
87,87,African grey,882,0.0033620492490660974,0.6533
364,364,three-toed sloth,880,0.003354425554623771,0.6519
938,938,cauliflower,870,0.003316307082412137,0.6444
661,661,Model T,866,0.0033010596935274836,0.6415
874,874,trolleybus,863,0.0032896241518639933,0.6393
94,94,hummingbird,860,0.003278188610200503,0.637
476,476,carousel,858,0.0032705649157581764,0.6356
105,105,koala,856,0.00326294122131585,0.6341
20,20,water ouzel,856,0.00326294122131585,0.6341
732,732,Polaroid camera,855,0.003259129374094686,0.6333
48,48,Komodo dragon,849,0.003236258290767706,0.6289
993,993,gyromitra,848,0.0032324464435465427,0.6281
71,71,scorpion,848,0.0032324464435465427,0.6281
736,736,pool table,846,0.0032248227491042157,0.6267
958,958,hay,842,0.0032095753602195626,0.6237
918,918,crossword puzzle,838,0.003194327971334909,0.6207
98,98,red-breasted merganser,838,0.003194327971334909,0.7036
510,510,container ship,836,0.003186704276892582,0.6193
955,955,jackfruit,834,0.0031790805824502555,0.6178
83,83,prairie chicken,824,0.003140962110238622,0.6104
16,16,bulbul,824,0.003140962110238622,0.6104
133,133,bittern,820,0.0031257147213539682,0.6074
79,79,centipede,809,0.003083784401921171,0.5993
812,812,space shuttle,806,0.003072348860257681,0.6258
321,321,admiral,801,0.003053289624151864,0.5933
685,685,odometer,798,0.003041854082488374,0.5911
318,318,lacewing,784,0.0029884882213920866,0.5807
853,853,thatch,781,0.0029770526797285963,0.5785
779,779,school bus,776,0.0029579934436227795,0.5748
92,92,bee eater,772,0.002942746054738126,0.5719
540,540,drilling platform,763,0.0029084394297476555,0.5652
130,130,flamingo,761,0.002900815735305329,0.5637
137,137,American coot,758,0.0028893801936418387,0.5615
129,129,spoonbill,757,0.0028855683464206754,0.5607
12,12,house finch,751,0.0028626972630936953,0.5563
575,575,golfcart,739,0.0028169550964397346,0.5474
959,959,carbonara,734,0.0027978958603339177,0.5437
95,95,jacamar,733,0.0027940840131127544,0.543
900,900,water tower,729,0.002778836624228101,0.54
70,70,harvestman,729,0.002778836624228101,0.54
645,645,maypole,728,0.0027750247770069376,0.5393
701,701,parachute,728,0.0027750247770069376,0.5393
142,142,dowitcher,727,0.0027712129297857743,0.5385
363,363,armadillo,725,0.0027635892353434473,0.537
916,916,web site,724,0.002759777388122284,0.5363
953,953,pineapple,720,0.0027445299992376305,0.5333
873,873,triumphal arch,720,0.0027445299992376305,0.5333
76,76,tarantula,718,0.002736906304795304,0.5319
528,528,dial telephone,715,0.0027254707631318136,0.5296
51,51,triceratops,712,0.0027140352214683233,0.541
715,715,pickelhaube,710,0.0027064115270259968,0.5259
957,957,pomegranate,708,0.00269878783258367,0.5244
247,247,Saint Bernard,707,0.0026949759853625065,0.5237
611,611,jigsaw puzzle,706,0.002691164138141343,0.523
646,646,maze,705,0.00268735229092018,0.5222
560,560,football helmet,704,0.0026835404436990166,0.5215
781,781,scoreboard,699,0.0026644812075932,0.5178
44,44,alligator lizard,698,0.002660669360372036,0.517
80,80,black grouse,696,0.0026530456659297095,0.5156
561,561,forklift,696,0.0026530456659297095,0.5156
344,344,hippopotamus,693,0.0026416101242662192,0.5133
398,398,abacus,692,0.002637798277045056,0.5126
91,91,coucal,689,0.002626362735381566,0.5104
565,565,freight car,684,0.002607303499275749,0.5067
376,376,proboscis monkey,684,0.002607303499275749,0.5067
694,694,paddlewheel,683,0.0026034916520545856,0.5059
410,410,apiary,683,0.0026034916520545856,0.5059
985,985,daisy,682,0.0025996798048334223,0.5052
322,322,ringlet,677,0.0025806205687276054,0.5015
354,354,Arabian camel,674,0.002569185027064115,0.4993
244,244,Tibetan mastiff,665,0.0025348784020736447,0.4926
140,140,red-backed sandpiper,660,0.002515819165967828,0.4889
0,0,tench,658,0.0025081954715255013,0.4874
822,822,steel drum,656,0.0025005717770831743,0.4859
980,980,volcano,655,0.002496759929862011,0.4852
640,640,manhole cover,655,0.002496759929862011,0.4852
42,42,agama,652,0.002485324388198521,0.483
583,583,guillotine,652,0.002485324388198521,0.4891
316,316,cicada,649,0.002473888846535031,0.4807
274,274,dhole,649,0.002473888846535031,0.4807
642,642,marimba,646,0.0024624533048715406,0.4785
405,405,airship,644,0.002454829610429214,0.477
956,956,custard apple,644,0.002454829610429214,0.477
888,888,viaduct,640,0.0024395822215445605,0.4741
403,403,aircraft carrier,639,0.0024357703743233972,0.4733
