,True Label,True Class,count,Proportion,Coverage
981,986,yellow lady's slipper,1234,0.004782463782719571,0.9141
24,24,great grey owl,1157,0.0044840442436033575,0.857
135,135,limpkin,1132,0.004387154782851341,0.8385
979,984,rapeseed,1097,0.004251509537798516,0.8126
592,594,harp,1047,0.004057730616294482,0.7756
19,19,chickadee,1047,0.004057730616294482,0.7756
14,14,indigo bunting,1023,0.003964716733972545,0.7578
84,84,peacock,1012,0.003922085371241658,0.7496
89,89,sulphur-crested cockatoo,1010,0.003914334214381496,0.7481
117,117,chambered nautilus,983,0.003809693596769318,0.7281
141,141,redshank,983,0.003809693596769318,0.7281
798,800,slot,973,0.003770937812468511,0.7207
388,388,giant panda,960,0.003720555292877462,0.7111
45,45,Gila monster,958,0.0037128041360173004,0.7096
605,607,jack-o'-lantern,956,0.0037050529791571394,0.7081
324,324,cabbage butterfly,954,0.003697301822296978,0.7067
139,139,ruddy turnstone,949,0.0036779239301465744,0.703
11,11,goldfinch,939,0.0036391681458457677,0.6956
29,29,axolotl,937,0.0036314169889856062,0.6941
145,145,king penguin,933,0.0036159146752652834,0.6911
602,604,hourglass,929,0.0036004123615449605,0.6881
15,15,robin,924,0.003581034469394557,0.6844
575,576,gondola,920,0.0035655321556742345,0.6815
387,387,lesser panda,916,0.0035500298419539117,0.6785
9,9,ostrich,912,0.003534527528233589,0.6756
830,832,stupa,911,0.003530651949803508,0.6748
340,340,zebra,908,0.003519025214513266,0.6726
181,181,Bedlington terrier,903,0.003499647322362863,0.6904
90,90,lorikeet,899,0.00348414500864254,0.6659
96,96,toucan,886,0.003433762489051491,0.6563
396,396,lionfish,885,0.0034298869106214104,0.6556
87,87,African grey,882,0.003418260175331168,0.6533
364,364,three-toed sloth,880,0.0034105090184710068,0.6519
933,938,cauliflower,870,0.0033717532341702,0.6444
659,661,Model T,866,0.003356250920449877,0.6415
871,874,trolleybus,862,0.0033407486067295543,0.6385
94,94,hummingbird,860,0.003332997449869393,0.637
476,476,carousel,858,0.0033252462930092315,0.6356
20,20,water ouzel,856,0.00331749513614907,0.6341
105,105,koala,856,0.00331749513614907,0.6341
730,732,Polaroid camera,855,0.0033136195577189898,0.6333
48,48,Komodo dragon,849,0.0032903660871385055,0.6289
71,71,scorpion,848,0.0032864905087084248,0.6281
988,993,gyromitra,848,0.0032864905087084248,0.6281
734,736,pool table,846,0.0032787393518482633,0.6267
953,958,hay,842,0.0032632370381279405,0.6237
913,918,crossword puzzle,838,0.003247734724407618,0.6207
98,98,red-breasted merganser,838,0.003247734724407618,0.7036
510,510,container ship,836,0.0032399835675474566,0.6193
950,955,jackfruit,834,0.003232232410687295,0.6178
16,16,bulbul,824,0.003193476626386488,0.6104
83,83,prairie chicken,824,0.003193476626386488,0.6104
133,133,bittern,820,0.0031779743126661656,0.6074
79,79,centipede,808,0.003131467371505197,0.5985
810,812,space shuttle,806,0.0031237162146450356,0.6258
321,321,admiral,801,0.0031043383224946325,0.5933
683,685,odometer,798,0.0030927115872043903,0.5911
318,318,lacewing,784,0.0030384534891832607,0.5807
851,853,thatch,781,0.0030268267538930186,0.5785
777,779,school bus,776,0.003007448861742615,0.5748
92,92,bee eater,772,0.002991946548022292,0.5719
540,540,drilling platform,763,0.002957066342151566,0.5652
130,130,flamingo,761,0.0029493151852914047,0.5637
137,137,American coot,758,0.0029376884500011626,0.5615
129,129,spoonbill,757,0.002933812871571082,0.5607
12,12,house finch,751,0.002910559400990598,0.5563
574,575,golfcart,739,0.0028640524598296294,0.5474
954,959,carbonara,734,0.0028446745676792263,0.5437
95,95,jacamar,733,0.0028407989892491456,0.543
70,70,harvestman,729,0.0028252966755288227,0.54
896,900,water tower,729,0.0028252966755288227,0.54
643,645,maypole,728,0.002821421097098742,0.5393
699,701,parachute,728,0.002821421097098742,0.5393
142,142,dowitcher,727,0.0028175455186686613,0.5385
363,363,armadillo,725,0.0028097943618085,0.537
911,916,web site,724,0.002805918783378419,0.5363
870,873,triumphal arch,720,0.0027904164696580963,0.5333
948,953,pineapple,720,0.0027904164696580963,0.5333
76,76,tarantula,718,0.0027826653127979353,0.5319
528,528,dial telephone,715,0.002771038577507693,0.5296
