dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,missing_coless,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,train_acc,val_acc
cifar,train,densenet,20,0,a1,0.7142062187194824,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.09992,0.0998
cifar,train,densenet,20,12,a1,0.04101051762700081,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.87682,0.7403
cifar,train,densenet,20,15,a1,0.016033049672842026,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.90258,0.7422
cifar,train,densenet,20,18,a1,0.0021177642047405243,valley=classes,20,1,1.9,56.0,1,153.0,60.0,0.93044,0.7493
cifar,train,densenet,20,21,a1,0.0019876190926879644,valley=classes,20,1,1.9,56.0,1,138.0,58.0,0.95162,0.749
cifar,train,densenet,20,24,a1,0.0003653500461950898,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.95506,0.7413
cifar,train,densenet,20,27,a1,0.00030446896562352777,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.9589,0.7468
cifar,train,densenet,20,30,a1,0.00021018763072788715,valley=classes,20,1,1.9,40.0,1,128.0,54.0,0.96386,0.7517
cifar,train,densenet,20,33,a1,0.0001289108768105507,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.97058,0.7626
cifar,train,densenet,20,36,a1,0.0005757343024015427,valley=classes,20,1,1.9,52.0,1,143.0,58.0,0.95304,0.7403
cifar,train,densenet,20,39,a1,0.001527215470559895,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.9645,0.7509
cifar,train,densenet,20,3,a1,0.2390936017036438,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.57684,0.5581
cifar,train,densenet,20,42,a1,0.0003122389316558838,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.95498,0.7467
cifar,train,densenet,20,45,a1,0.00013815154670737684,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.96312,0.754
cifar,train,densenet,20,48,a1,0.001672718906775117,valley=classes,20,1,1.9,66.0,1,163.0,63.0,0.95776,0.7486
cifar,train,densenet,20,6,a1,8.709428787231445,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.70066,0.6599
cifar,train,densenet,20,9,a1,0.07534324377775192,valley=classes,20,1,1.9,56.0,1,138.0,58.0,0.81172,0.7244
cifar,trainUval,densenet,20,0,a1,0.7407238483428955,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.09992,0.0998
cifar,trainUval,densenet,20,12,a1,0.035708677023649216,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.87682,0.7403
cifar,trainUval,densenet,20,15,a1,0.016033049672842026,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.90258,0.7422
cifar,trainUval,densenet,20,18,a1,0.007791365496814251,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.93044,0.7493
cifar,trainUval,densenet,20,21,a1,0.0035505567211657763,valley=classes,20,1,1.9,56.0,1,138.0,58.0,0.95162,0.749
cifar,trainUval,densenet,20,24,a1,0.0005126608302816749,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.95506,0.7413
cifar,trainUval,densenet,20,27,a1,0.0015013862866908312,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.9589,0.7468
cifar,trainUval,densenet,20,30,a1,0.0036229388788342476,valley=classes,20,1,1.9,56.0,1,153.0,60.0,0.96386,0.7517
cifar,trainUval,densenet,20,33,a1,0.00031974760349839926,valley=classes,20,1,1.9,66.0,1,163.0,63.0,0.97058,0.7626
cifar,trainUval,densenet,20,36,a1,0.0005757343024015427,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.95304,0.7403
cifar,trainUval,densenet,20,39,a1,0.001527215470559895,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.9645,0.7509
cifar,trainUval,densenet,20,3,a1,0.22041815519332886,valley=classes,20,1,1.9,42.0,1,129.0,55.0,0.57684,0.5581
cifar,trainUval,densenet,20,42,a1,0.0009702432435005903,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.95498,0.7467
cifar,trainUval,densenet,20,45,a1,0.0017913023475557566,valley=classes,20,1,1.9,36.0,1,111.0,52.0,0.96312,0.754
cifar,trainUval,densenet,20,48,a1,0.001672718906775117,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.95776,0.7486
cifar,trainUval,densenet,20,6,a1,9.18044662475586,valley=classes,20,1,1.9,66.0,1,163.0,63.0,0.70066,0.6599
cifar,trainUval,densenet,20,9,a1,0.07642479985952377,valley=classes,20,1,1.9,56.0,1,138.0,58.0,0.81172,0.7244
cifar,val,densenet,20,0,a1,0.5444422960281372,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.09992,0.0998
cifar,val,densenet,20,12,a1,0.051257602870464325,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.87682,0.7403
cifar,val,densenet,20,15,a1,0.0039026588201522827,valley=classes,20,1,1.9,48.0,1,133.0,56.0,0.90258,0.7422
cifar,val,densenet,20,18,a1,0.0055841114372015,valley=classes,20,1,1.9,36.0,1,119.0,52.0,0.93044,0.7493
cifar,val,densenet,20,21,a1,0.005251778755337,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.95162,0.749
cifar,val,densenet,20,24,a1,0.0016395017737522721,valley=classes,20,1,1.9,48.0,1,136.0,56.0,0.95506,0.7413
cifar,val,densenet,20,27,a1,0.0021180117037147284,valley=classes,20,1,1.9,56.0,1,138.0,58.0,0.9589,0.7468
cifar,val,densenet,20,30,a1,0.0016202903352677822,valley=classes,20,1,1.9,28.0,1,106.0,50.0,0.96386,0.7517
cifar,val,densenet,20,33,a1,0.0011723319767042994,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.97058,0.7626
cifar,val,densenet,20,36,a1,0.005140315741300583,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.95304,0.7403
cifar,val,densenet,20,39,a1,0.002207497600466013,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9645,0.7509
cifar,val,densenet,20,3,a1,0.2163497507572174,valley=classes,20,1,1.9,56.0,1,154.0,60.0,0.57684,0.5581
cifar,val,densenet,20,42,a1,0.0037429530639201403,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.95498,0.7467
cifar,val,densenet,20,45,a1,0.0010823248885571957,valley=classes,20,1,1.9,48.0,1,133.0,56.0,0.96312,0.754
cifar,val,densenet,20,48,a1,0.0009995469590649009,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.95776,0.7486
cifar,val,densenet,20,6,a1,0.12840314209461212,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.70066,0.6599
cifar,val,densenet,20,9,a1,0.03498116880655289,valley=classes,20,1,1.9,48.0,1,136.0,56.0,0.81172,0.7244
mnist,train,densenet,20,0,a1,0.23418068885803223,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.0981,0.0961
mnist,train,densenet,20,10,a1,3.611897409427911e-05,valley=classes,20,1,1.9,46.0,1,129.0,55.0,0.9902,0.9851
mnist,train,densenet,20,11,a1,0.00019903862266801298,valley=classes,20,1,1.9,18.0,1,83.0,47.0,0.98765,0.9825
mnist,train,densenet,20,12,a1,0.00019583820539992303,valley=classes,20,1,1.9,28.0,1,106.0,50.0,0.9868333333333333,0.978
mnist,train,densenet,20,13,a1,0.0005994304083287716,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.9907833333333333,0.9863
mnist,train,densenet,20,14,a1,0.0005915954243391752,valley=classes,20,1,1.9,48.0,1,133.0,56.0,0.9939,0.9902
mnist,train,densenet,20,15,a1,0.00035076990025117993,valley=classes,20,1,1.9,42.0,1,129.0,55.0,0.99135,0.9851
mnist,train,densenet,20,1,a1,0.020254332572221756,valley=classes,20,1,1.9,42.0,1,133.0,55.0,0.9468,0.9424
mnist,train,densenet,20,2,a1,0.003400953020900488,valley=classes,20,1,1.9,56.0,1,154.0,60.0,0.9785,0.976
mnist,train,densenet,20,3,a1,0.002449929714202881,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.9830666666666666,0.98
mnist,train,densenet,20,4,a1,0.0008570022182539105,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.9876166666666667,0.9865
mnist,train,densenet,20,5,a1,0.0014909857418388128,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.9910166666666667,0.9883
mnist,train,densenet,20,6,a1,0.00042058213148266077,valley=classes,20,1,1.9,28.0,1,106.0,50.0,0.9916333333333334,0.9882
mnist,train,densenet,20,7,a1,0.0002698266180232167,valley=classes,20,1,1.9,24.0,1,94.0,48.0,0.9882,0.9853
mnist,train,densenet,20,8,a1,0.0052143787033855915,valley=classes,20,1,1.9,14.0,1,78.0,45.0,0.9929166666666667,0.9887
mnist,train,densenet,20,9,a1,0.0013148279394954443,valley=classes,20,1,1.9,46.0,1,125.0,55.0,0.9940833333333333,0.9891
mnist,trainUval,densenet,20,0,a1,0.24901843070983887,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.0981,0.0961
mnist,trainUval,densenet,20,10,a1,3.790707705775276e-05,valley=classes,20,1,1.9,36.0,1,115.0,52.0,0.9902,0.9851
mnist,trainUval,densenet,20,11,a1,0.00019903862266801298,valley=classes,20,1,1.9,44.0,1,121.0,54.0,0.98765,0.9825
mnist,trainUval,densenet,20,12,a1,0.0002002488763537258,valley=classes,20,1,1.9,28.0,1,106.0,50.0,0.9868333333333333,0.978
mnist,trainUval,densenet,20,13,a1,0.0005994304083287716,valley=classes,20,1,1.9,66.0,1,163.0,63.0,0.9907833333333333,0.9863
mnist,trainUval,densenet,20,14,a1,0.0005915954243391752,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.9939,0.9902
mnist,trainUval,densenet,20,15,a1,0.00035076990025117993,valley=classes,20,1,1.9,54.0,1,149.0,59.0,0.99135,0.9851
mnist,trainUval,densenet,20,1,a1,0.020254332572221756,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.9468,0.9424
mnist,trainUval,densenet,20,2,a1,0.003400953020900488,valley=classes,20,1,1.9,46.0,1,125.0,55.0,0.9785,0.976
mnist,trainUval,densenet,20,3,a1,0.0026373695582151413,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.9830666666666666,0.98
