dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,average_colless_index,average_missing_colless,average_total_cophenetic_index,average_sackin_index,train_acc,val_acc
cifar,train,densenet,20,0,a1,0.01,0.01,1649,2.0834386852085967,,61,95948266.0,327311.0,,0.03699211643420255,58185.72832019406,198.49060036385688,0.09992,0.0998
cifar,train,densenet,20,12,a1,0.01,0.01,32,1.9375,158.0,1,558.0,131.0,4.9375,0.03125,17.4375,4.09375,0.87682,0.7403
cifar,train,densenet,20,15,a1,0.01,0.01,28,1.9285714285714286,126.0,1,406.0,107.0,4.5,0.03571428571428571,14.5,3.8214285714285716,0.90258,0.7422
cifar,train,densenet,20,18,a1,0.01,0.01,12,1.8333333333333333,20.0,1,35.0,26.0,1.6666666666666667,0.08333333333333333,2.9166666666666665,2.1666666666666665,0.93044,0.7493
cifar,train,densenet,20,21,a1,0.01,0.01,6,1.6666666666666667,2.0,1,4.0,8.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.3333333333333333,0.95162,0.749
cifar,train,densenet,20,24,a1,0.01,0.01,6,1.6666666666666667,2.0,1,4.0,8.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.3333333333333333,0.95506,0.7413
cifar,train,densenet,20,27,a1,0.01,0.01,4,1.5,0.0,1,1.0,4.0,0.0,0.25,0.25,1.0,0.9589,0.7468
cifar,train,densenet,20,30,a1,0.01,0.01,2,1.0,0.0,1,0.0,1.0,0.0,0.5,0.0,0.5,0.96386,0.7517
cifar,train,densenet,20,33,a1,0.01,0.01,2,1.0,0.0,1,0.0,1.0,0.0,0.5,0.0,0.5,0.97058,0.7626
cifar,train,densenet,20,36,a1,0.01,0.01,6,1.6666666666666667,2.0,1,4.0,8.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.3333333333333333,0.95304,0.7403
cifar,train,densenet,20,39,a1,0.01,0.01,2,1.0,0.0,1,0.0,1.0,0.0,0.5,0.0,0.5,0.9645,0.7509
cifar,train,densenet,20,3,a1,0.01,0.01,170,1.988235294117647,5232.0,1,87503.0,2959.0,30.776470588235295,0.0058823529411764705,514.7235294117647,17.405882352941177,0.57684,0.5581
cifar,train,densenet,20,42,a1,0.01,0.01,4,1.5,0.0,1,1.0,4.0,0.0,0.25,0.25,1.0,0.95498,0.7467
cifar,train,densenet,20,45,a1,0.01,0.01,2,1.0,0.0,1,0.0,1.0,0.0,0.5,0.0,0.5,0.96312,0.754
cifar,train,densenet,20,48,a1,0.01,0.01,6,1.6666666666666667,2.0,1,4.0,8.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.3333333333333333,0.95776,0.7486
cifar,train,densenet,20,6,a1,0.01,0.01,110,1.981818181818182,2202.0,1,21584.0,1292.0,20.01818181818182,0.00909090909090909,196.21818181818182,11.745454545454546,0.70066,0.6599
cifar,train,densenet,20,9,a1,0.01,0.01,46,1.9565217391304348,338.0,1,1680.0,250.0,7.3478260869565215,0.021739130434782608,36.52173913043478,5.434782608695652,0.81172,0.7244
cifar,trainUval,densenet,20,0,a1,0.01,0.01,1968,2.0881104033970277,,74,161126464.0,461299.0,,0.037601626016260166,81873.20325203252,234.39989837398375,0.09992,0.0998
cifar,trainUval,densenet,20,12,a1,0.01,0.01,34,1.9411764705882353,168.0,1,639.0,141.0,4.9411764705882355,0.029411764705882353,18.794117647058822,4.147058823529412,0.87682,0.7403
cifar,trainUval,densenet,20,15,a1,0.01,0.01,30,1.9333333333333333,148.0,1,513.0,123.0,4.933333333333334,0.03333333333333333,17.1,4.1,0.90258,0.7422
cifar,trainUval,densenet,20,18,a1,0.01,0.01,18,1.8888888888888888,50.0,1,118.0,52.0,2.7777777777777777,0.05555555555555555,6.555555555555555,2.888888888888889,0.93044,0.7493
cifar,trainUval,densenet,20,21,a1,0.01,0.01,6,1.6666666666666667,2.0,1,4.0,8.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.3333333333333333,0.95162,0.749
