Simplification Threshold,Feature ID,Loss Start,Loss End,Feature Type,Persistence,Volume,Homogeneity,Majority Class,Major Class Size,Majority Class Coverage
1.5e-05,0,-0.0,0.20227264404296874,minima-saddle,0.0030341562815010548,6271,1.0,3,6271,0.8782
1.5e-05,1,-0.0,0.20227264404296874,minima-saddle,0.0030341562815010548,5307,1.0,5,5307,0.8406
1.5e-05,2,-0.0,0.20227264404296874,minima-saddle,0.009177287109196186,6352,1.0,4,6352,0.9308
1.5e-05,3,3.576278118089249e-07,0.20227300167078055,minima-saddle,0.010465027764439583,7597,0.9998683929443359,1,7596,0.9643
1.5e-05,4,0.0037619550712406635,0.2060345991142094,saddle-saddle,0.00021600397303700447,71,0.3239436745643616,5,23,0.0036
1.5e-05,5,-0.0,0.20227264404296874,minima-saddle,0.0034982694778591394,5995,1.0,9,5995,0.8616
1.5e-05,6,-0.0,0.20227264404296874,minima-saddle,0.003977959044277668,5832,0.9998285174369812,2,5831,0.8342
1.5e-05,7,-0.0,0.20227264404296874,minima-saddle,0.005343559198081493,6152,1.0,6,6152,0.8947
1.5e-05,8,-0.0,0.20227264404296874,minima-saddle,0.0034982694778591394,5895,1.0,8,5895,0.8637
1.5e-05,9,-0.0,0.20227264404296874,minima-saddle,0.009070854634046555,6528,1.0,0,6528,0.9457
1.5e-05,10,-0.0,0.20227264404296874,minima-saddle,0.005071632098406553,6536,1.0,7,6536,0.8962
1.5e-05,11,0.005343559198081493,0.20761620324105023,saddle-saddle,0.003727295435965061,1217,0.18981100618839264,2,231,0.033
1.5e-05,12,0.003977959044277668,0.2062506030872464,saddle-saddle,0.0010936730541288853,440,0.27272728085517883,2,120,0.0172
1.5e-05,13,0.005071632098406553,0.2073442761413753,saddle-saddle,0.0002719270996749401,92,0.260869562625885,2,24,0.0034
1.5e-05,14,0.010465385392308235,10.12409782409668,saddle-maxima,10.113632202148438,5144,0.142690509557724,2,734,0.105
1.5e-05,15,0.009177287109196186,0.21144993115216493,saddle-saddle,0.001288098283112049,312,0.1538461595773697,2,48,0.0069
1.5e-05,16,0.0034982694778591394,0.20577091352082788,saddle-saddle,0.0002636855933815241,65,0.5076923370361328,9,33,0.0047
1.5e-05,17,0.0030341562815010548,0.2053068003244698,saddle-saddle,0.0007277987897396088,160,0.5249999761581421,5,84,0.0133
1.5e-05,18,0.009070854634046555,0.2113434986770153,saddle-saddle,0.0001064324751496315,34,0.20588235557079315,0,7,0.001
