Simplification Threshold,Feature ID,Loss Start,Loss End,Feature Type,Persistence,Volume,Homogeneity,Majority Class,Major Class Size,Majority Class Coverage
1e-05,0,-0.0,0.21853687286376952,minima-saddle,0.002978058299049735,5960,0.9998322129249573,6,5959,0.8666
1e-05,1,-0.0,0.21853687286376952,minima-saddle,0.0039384192787110806,6351,1.0,3,6351,0.8894
1e-05,2,-0.0,0.21853687286376952,minima-saddle,0.0048837424255907536,6025,1.0,8,6025,0.8828
1e-05,3,-0.0,0.21853687286376952,minima-saddle,0.00405311631038785,5395,1.0,5,5395,0.8546
1e-05,4,-0.0,0.21853687286376952,minima-saddle,0.0014243705663830042,5344,1.0,2,5344,0.7645
1e-05,5,7.152555099310121e-07,0.21853758811927945,minima-saddle,0.008058056235313416,7569,1.0,1,7569,0.9609
1e-05,6,-0.0,0.21853687286376952,minima-saddle,0.005835401825606823,6194,0.9998385310173035,9,6193,0.8901
1e-05,7,-0.0,0.21853687286376952,minima-saddle,0.006017662119120359,6256,1.0,4,6256,0.9168
1e-05,8,-0.0,0.21853687286376952,minima-saddle,0.0014243705663830042,5952,0.9998319745063782,7,5951,0.816
1e-05,9,0.0014243705663830042,0.21996124343015253,saddle-saddle,0.0015536877326667309,694,0.5331411957740784,2,370,0.0529
1e-05,10,0.002978058299049735,0.22151493116281926,saddle-saddle,0.0009603609796613455,338,0.36390531063079834,7,123,0.0169
1e-05,11,0.005835401825606823,0.22437227468937634,saddle-saddle,0.00018226029351353645,65,0.23076923191547394,7,15,0.0021
1e-05,12,-0.0,0.21853687286376952,minima-saddle,0.006467838305979967,6481,1.0,0,6481,0.9389
1e-05,13,0.0048837424255907536,0.22342061528936027,saddle-saddle,0.0009516594000160694,367,0.2179836481809616,2,80,0.0114
1e-05,14,0.00405311631038785,0.22258998917415737,saddle-saddle,0.0008306261152029037,337,0.22255192697048187,5,75,0.0119
1e-05,15,0.006467838305979967,0.2250047111697495,saddle-saddle,0.001590933185070753,635,0.14645668864250183,2,93,0.0133
1e-05,16,0.006017662119120359,0.22455453498288988,saddle-saddle,0.0004501761868596077,192,0.1979166716337204,2,38,0.0054
1e-05,17,0.00805877149105072,10.93490219116211,saddle-maxima,10.926843643188477,5783,0.14559917151927948,2,842,0.1205
1e-05,18,0.0039384192787110806,0.2224752921424806,saddle-saddle,0.00011469703167676926,62,0.33870968222618103,2,21,0.003
