Simplification Threshold,Feature ID,Loss Start,Loss End,Feature Type,Persistence,Volume,Homogeneity,Majority Class,Major Class Size,Majority Class Coverage
2e-05,0,-0.0,0.2049046516418457,minima-saddle,0.010939623229205608,6391,1.0,4,6391,0.9365
2e-05,1,-0.0,0.2049046516418457,minima-saddle,0.004893707111477852,6399,1.0,3,6399,0.8961
2e-05,2,-0.0,0.2049046516418457,minima-saddle,0.004007761366665363,5847,0.9998289942741394,2,5846,0.8363
2e-05,3,-0.0,0.2049046516418457,minima-saddle,0.004749326966702938,6085,1.0,6,6085,0.885
2e-05,4,0.00546580133959651,0.21037045298144222,saddle-saddle,0.0009999051690101624,314,0.23248407244682312,2,73,0.0104
2e-05,5,-0.0,0.2049046516418457,minima-saddle,0.008071424439549446,6284,1.0,9,6284,0.9031
2e-05,6,-0.0,0.2049046516418457,minima-saddle,0.008071424439549446,6520,1.0,0,6520,0.9445
2e-05,7,0.004749326966702938,0.20965397860854865,saddle-saddle,0.0001443801447749138,55,0.38181817531585693,2,21,0.003
2e-05,8,0.006465706508606672,0.21137035815045238,saddle-saddle,0.0018040048889815807,554,0.17689530551433563,2,98,0.014
2e-05,9,-0.0,0.2049046516418457,minima-saddle,0.00546580133959651,6567,1.0,7,6567,0.9005
2e-05,10,-0.0,0.2049046516418457,minima-saddle,0.006465706508606672,6088,1.0,8,6088,0.892
2e-05,11,1.0728830375228426e-06,0.20490572452488323,minima-saddle,0.00455508241429925,7466,0.9998660683631897,1,7465,0.9477
2e-05,12,-0.0,0.2049046516418457,minima-saddle,0.004007761366665363,5410,1.0,5,5410,0.857
2e-05,13,0.010939623229205608,10.256172180175781,saddle-maxima,10.245232582092285,4997,0.14468681812286377,2,723,0.1034
2e-05,14,0.004007761366665363,0.20891241300851107,saddle-saddle,0.0005483939312398434,98,0.5204081535339355,2,51,0.0073
2e-05,15,0.004556155297905207,0.20946080693975092,saddle-saddle,0.0001931716687977314,53,0.3962264060974121,5,21,0.0033
2e-05,16,0.008269711397588253,0.21317436303943396,saddle-saddle,0.0026699118316173553,700,0.16285714507102966,2,114,0.0163
2e-05,17,0.004893707111477852,0.20979835875332356,saddle-saddle,0.0005720942281186581,159,0.276729553937912,2,44,0.0063
2e-05,18,0.008071424439549446,0.21297607608139515,saddle-saddle,0.00019828695803880692,13,0.6153846383094788,9,8,0.0011
