Simplification Threshold,Data Index,Feature ID
2e-05,0,12
2e-05,1,0
2e-05,2,10
2e-05,3,12
2e-05,4,3
2e-05,5,6
2e-05,6,0
2e-05,7,11
2e-05,8,0
2e-05,9,16
2e-05,10,9
2e-05,11,11
2e-05,12,9
2e-05,13,10
2e-05,14,5
2e-05,15,1
2e-05,16,1
2e-05,17,0
2e-05,18,5
2e-05,19,5
2e-05,20,9
2e-05,21,10
2e-05,22,9
2e-05,23,13
2e-05,24,7
2e-05,25,0
2e-05,26,12
2e-05,27,3
2e-05,28,0
2e-05,29,12
2e-05,30,9
2e-05,31,0
2e-05,32,3
2e-05,33,12
2e-05,34,9
2e-05,35,5
2e-05,36,9
2e-05,37,0
2e-05,38,6
2e-05,39,5
2e-05,40,13
2e-05,41,0
2e-05,42,2
2e-05,43,3
2e-05,44,2
2e-05,45,9
2e-05,46,3
2e-05,47,3
2e-05,48,10
2e-05,49,16
2e-05,50,13
2e-05,51,13
2e-05,52,13
2e-05,53,10
2e-05,54,13
2e-05,55,13
2e-05,56,2
2e-05,57,0
2e-05,58,5
2e-05,59,10
2e-05,60,11
2e-05,61,5
2e-05,62,3
2e-05,63,3
2e-05,64,9
2e-05,65,6
2e-05,66,1
2e-05,67,2
2e-05,68,10
2e-05,69,6
2e-05,70,5
2e-05,71,17
2e-05,72,10
2e-05,73,3
2e-05,74,10
2e-05,75,13
2e-05,76,3
2e-05,77,12
2e-05,78,1
2e-05,79,10
2e-05,80,0
2e-05,81,13
2e-05,82,11
2e-05,83,0
2e-05,84,18
2e-05,85,11
2e-05,86,10
2e-05,87,11
2e-05,88,5
2e-05,89,3
2e-05,90,6
2e-05,91,10
2e-05,92,2
2e-05,93,5
2e-05,94,12
2e-05,95,13
2e-05,96,2
2e-05,97,2
2e-05,98,3
2e-05,99,0
2e-05,100,11
2e-05,101,10
2e-05,102,0
2e-05,103,5
2e-05,104,5
2e-05,105,6
2e-05,106,6
2e-05,107,9
2e-05,108,2
2e-05,109,11
2e-05,110,12
2e-05,111,1
2e-05,112,1
2e-05,113,1
2e-05,114,9
2e-05,115,13
2e-05,116,1
2e-05,117,9
2e-05,118,2
2e-05,119,16
2e-05,120,0
2e-05,121,12
2e-05,122,1
2e-05,123,0
2e-05,124,12
2e-05,125,6
2e-05,126,5
2e-05,127,0
2e-05,128,2
2e-05,129,11
2e-05,130,6
2e-05,131,0
2e-05,132,11
2e-05,133,6
2e-05,134,3
2e-05,135,3
2e-05,136,5
2e-05,137,10
2e-05,138,2
2e-05,139,9
2e-05,140,9
2e-05,141,1
2e-05,142,3
2e-05,143,5
2e-05,144,13
2e-05,145,13
2e-05,146,2
2e-05,147,2
2e-05,148,3
2e-05,149,0
2e-05,150,3
2e-05,151,2
2e-05,152,6
2e-05,153,11
2e-05,154,3
2e-05,155,6
2e-05,156,0
2e-05,157,0
2e-05,158,5
2e-05,159,5
2e-05,160,1
2e-05,161,12
2e-05,162,6
2e-05,163,1
2e-05,164,5
2e-05,165,1
2e-05,166,3
2e-05,167,9
2e-05,168,1
2e-05,169,3
2e-05,170,11
2e-05,171,12
2e-05,172,15
2e-05,173,11
2e-05,174,13
2e-05,175,12
2e-05,176,9
2e-05,177,2
2e-05,178,11
2e-05,179,1
2e-05,180,10
2e-05,181,11
2e-05,182,13
2e-05,183,8
2e-05,184,9
2e-05,185,10
2e-05,186,0
2e-05,187,1
2e-05,188,10
2e-05,189,1
2e-05,190,1
2e-05,191,12
2e-05,192,3
2e-05,193,3
2e-05,194,5
2e-05,195,2
2e-05,196,3
2e-05,197,5
2e-05,198,10
2e-05,199,0
2e-05,200,1
2e-05,201,2
2e-05,202,5
2e-05,203,13
2e-05,204,2
2e-05,205,6
2e-05,206,0
2e-05,207,12
2e-05,208,3
2e-05,209,1
2e-05,210,9
2e-05,211,3
2e-05,212,6
2e-05,213,12
2e-05,214,1
