Simplification Threshold,Feature ID,Loss Start,Loss End,Feature Type,Persistence,Volume,Homogeneity,Majority Class,Major Class Size,Majority Class Coverage
1.443e-05,0,-0.0,0.20247989654541015,minima-saddle,3.194758028257638e-05,9910,0.41342079639434814,3,4097,0.5737
1.443e-05,1,-0.0,0.20247989654541015,minima-saddle,4.8874615458771586e-05,6950,0.5267626047134399,8,3661,0.5364
1.443e-05,2,-0.0,0.20247989654541015,minima-saddle,6.258291978156194e-05,3744,1.0,4,3744,0.5487
1.443e-05,3,3.576278118089249e-07,0.20248025417322196,minima-saddle,2.0384573872433975e-05,802,1.0,1,802,0.1018
1.443e-05,4,-0.0,0.20247989654541015,minima-saddle,3.373566141817719e-05,1584,1.0,5,1584,0.2509
1.443e-05,5,4.291525328881107e-06,0.20248418807073904,minima-saddle,1.6450676412205212e-05,11,1.0,1,11,0.0014
1.443e-05,6,-0.0,0.20247989654541015,minima-saddle,3.194758028257638e-05,1462,1.0,6,1462,0.2126
1.443e-05,7,1.2516897186287679e-05,0.20249241344259644,minima-saddle,1.4900862879585475e-05,2,1.0,1,2,0.0003
1.443e-05,8,2.074220174108632e-05,0.20250063874715124,saddle-saddle,3.576196832000278e-06,174,1.0,1,174,0.0221
1.443e-05,9,-0.0,0.20247989654541015,minima-saddle,0.00010334911348763853,3561,1.0,0,3561,0.5159
1.443e-05,10,-0.0,0.20247989654541015,minima-saddle,6.222531374078244e-05,3239,1.0,7,3239,0.4441
1.443e-05,11,6.222531374078244e-05,0.20254212185915094,saddle-saddle,3.576060407795012e-07,28,0.1785714328289032,3,5,0.0007
1.443e-05,12,3.349725011503324e-05,0.2025133937955252,saddle-saddle,7.152302714530379e-07,27,1.0,1,27,0.0034
1.443e-05,13,1.4305104514278355e-06,0.20248132705586158,minima-saddle,2.050375951512251e-05,143,1.0,1,143,0.0182
1.443e-05,14,3.373566141817719e-05,0.20251363220682833,saddle-saddle,1.5138954040594399e-05,1081,0.2960222065448761,2,320,0.0458
1.443e-05,15,0.00010334911348763853,10.12409782409668,saddle-maxima,10.123994827270508,30200,0.1316225230693817,1,3975,0.5046
1.443e-05,16,4.8874615458771586e-05,0.20252877116086893,saddle-saddle,1.3350698282010853e-05,1097,0.18869644403457642,9,207,0.0297
1.443e-05,17,1.728519782773219e-05,0.2024971817432379,minima-saddle,1.6927282558754086e-05,2,1.0,1,2,0.0003
1.443e-05,18,6.258291978156194e-05,0.20254247946519172,saddle-saddle,4.172055923845619e-06,404,0.17574258148670197,7,71,0.0097
1.443e-05,19,2.1934269170742482e-05,0.2025018308145809,saddle-saddle,2.384129402344115e-06,20,1.0,1,20,0.0025
1.443e-05,20,4.446407547220588e-05,0.20252436062088236,saddle-saddle,2.2290900233201683e-05,839,1.0,1,839,0.1065
1.443e-05,21,6.675497570540756e-05,0.20254665152111556,saddle-saddle,3.659413778223097e-05,3625,0.2546207010746002,1,923,0.1172
1.443e-05,22,6.556489552167477e-06,0.20248645303496232,minima-saddle,1.5377780073322356e-05,3,1.0,1,3,0.0004
1.443e-05,23,1.9788545614574105e-05,0.20249968509102473,minima-saddle,2.4675529857631773e-05,3,1.0,1,3,0.0004
1.443e-05,24,1.3470558769768104e-05,0.20249336710417992,minima-saddle,2.0026691345265135e-05,1,1.0,1,1,0.0001
1.443e-05,25,2.7417760065873154e-05,0.20250731430547603,saddle-saddle,6.079490049160086e-06,312,1.0,1,312,0.0396
1.443e-05,26,3.194758028257638e-05,0.20251184412569273,saddle-saddle,1.7880811356008053e-06,136,0.36764705181121826,6,50,0.0073
1.443e-05,27,2.4318398573086597e-05,0.20250421494398324,saddle-saddle,3.0993614927865565e-06,175,1.0,1,175,0.0222
1.443e-05,28,3.421248038648628e-05,0.20251410902579664,saddle-saddle,1.02515950857196e-05,465,1.0,1,465,0.059
