Simplification Threshold,Feature ID,Loss Start,Loss End,Feature Type,Persistence,Volume,Homogeneity,Majority Class,Major Class Size,Majority Class Coverage
1.7762e-05,0,-0.0,0.2051220703125,minima-saddle,2.539125671319198e-05,2934,1.0,4,2934,0.43
1.7762e-05,1,-0.0,0.2051220703125,minima-saddle,2.002696055569686e-05,14835,0.24442197382450104,3,3626,0.5078
1.7762e-05,2,-0.0,0.2051220703125,minima-saddle,2.3483953555114567e-05,1398,1.0,5,1398,0.2214
1.7762e-05,3,3.123234637314454e-05,0.20515330265887313,saddle-saddle,0.0,2,1.0,1,2,0.0003
1.7762e-05,4,3.123234637314454e-05,0.20515330265887313,saddle-saddle,6.437079719034955e-06,262,1.0,1,262,0.0333
1.7762e-05,5,-0.0,0.2051220703125,minima-saddle,2.002696055569686e-05,1008,1.0,7,1008,0.1382
1.7762e-05,6,2.002696055569686e-05,0.20514209727305568,saddle-saddle,3.4569929994177073e-06,813,0.19434194266796112,9,158,0.0227
1.7762e-05,7,-0.0,0.2051220703125,minima-saddle,2.8371408916427754e-05,1410,1.0,6,1410,0.2051
1.7762e-05,8,2.539125671319198e-05,0.20514746156921318,saddle-saddle,4.768244252773002e-07,137,0.18248175084590912,7,25,0.0034
1.7762e-05,9,-0.0,0.2051220703125,minima-saddle,4.792098479811102e-05,2699,0.9996294975280762,0,2698,0.3908
1.7762e-05,10,2.861018856492592e-06,0.20512493133135648,minima-saddle,1.9550076103769243e-05,187,1.0,1,187,0.0237
1.7762e-05,11,1.0728830375228426e-06,0.2051231431955375,minima-saddle,2.1338211809052154e-05,511,1.0,1,511,0.0649
1.7762e-05,12,9.059865078597795e-06,0.20513113017757859,minima-saddle,2.217248038505204e-05,3,1.0,1,3,0.0004
1.7762e-05,13,2.8371408916427754e-05,0.20515044172141642,saddle-saddle,1.9549575881683268e-05,3611,0.16283577680587769,7,588,0.0806
1.7762e-05,14,1.645074735279195e-05,0.20513852105985278,minima-saddle,4.446334423846565e-05,1,1.0,1,1,0.0001
1.7762e-05,15,3.3378546504536644e-06,0.20512540816715044,minima-saddle,2.0146098904660903e-05,1,1.0,1,1,0.0001
1.7762e-05,16,3.766942609217949e-05,0.20515973973859217,saddle-saddle,2.324466549907811e-05,855,1.0,1,855,0.1085
1.7762e-05,17,4.792098479811102e-05,0.2051699912972981,saddle-saddle,2.0622006559278816e-05,2751,0.1530352532863617,7,421,0.0577
1.7762e-05,18,6.854299135738984e-05,10.256172180175781,saddle-maxima,10.256103515625,34926,0.15409722924232483,1,5382,0.6833
1.7762e-05,19,7.510157047363464e-06,0.20512958046954735,minima-saddle,1.8357925000600517e-05,1,1.0,7,1,0.0001
1.7762e-05,20,6.09140915912576e-05,0.20518298440409125,saddle-saddle,5.602480086963624e-06,197,1.0,1,197,0.025
1.7762e-05,21,2.3483953555114567e-05,0.2051455542660551,saddle-saddle,1.9073031580774114e-06,420,0.19523809850215912,9,82,0.0118
1.7762e-05,22,5.483612312673358e-06,0.20512755392481266,minima-saddle,2.5748733605723828e-05,3,1.0,1,3,0.0004
1.7762e-05,23,4.386805812828243e-05,0.20516593837062827,minima-saddle,2.2648513549938798e-05,1,1.0,1,1,0.0001
1.7762e-05,24,6.651657167822123e-05,0.2051885868841782,saddle-saddle,2.0264196791686118e-06,76,1.0,1,76,0.0096
1.7762e-05,25,2.586808113846928e-05,0.20514793839363846,saddle-saddle,2.503327777958475e-06,562,0.16903914511203766,4,95,0.0139
1.7762e-05,26,2.3483953555114567e-05,0.2051455542660551,saddle-saddle,7.74839281802997e-06,346,1.0,1,346,0.0439
1.7762e-05,27,1.0251946150674485e-05,0.20513232225865066,minima-saddle,2.7417479941505007e-05,1,1.0,1,1,0.0001
1.7762e-05,28,2.2411095415009186e-05,0.205144481407915,saddle-saddle,1.0728581401053816e-06,49,1.0,1,49,0.0062
