Simplification Threshold,Data Index,Feature ID
1e-06,0,288
1e-06,1,38
1e-06,2,36
1e-06,3,288
1e-06,4,288
1e-06,5,461
1e-06,6,288
1e-06,7,284
1e-06,8,25
1e-06,9,55
1e-06,10,474
1e-06,11,288
1e-06,12,288
1e-06,13,288
1e-06,14,493
1e-06,15,44
1e-06,16,317
1e-06,17,288
1e-06,18,14
1e-06,19,288
1e-06,20,499
1e-06,21,493
1e-06,22,524
1e-06,23,287
1e-06,24,176
1e-06,25,38
1e-06,26,55
1e-06,27,91
1e-06,28,288
1e-06,29,261
1e-06,30,380
1e-06,31,288
1e-06,32,288
1e-06,33,482
1e-06,34,288
1e-06,35,200
1e-06,36,431
1e-06,37,380
1e-06,38,288
1e-06,39,273
1e-06,40,288
1e-06,41,420
1e-06,42,261
1e-06,43,19
1e-06,44,236
1e-06,45,288
1e-06,46,176
1e-06,47,288
1e-06,48,288
1e-06,49,288
1e-06,50,288
1e-06,51,288
1e-06,52,288
1e-06,53,288
1e-06,54,288
1e-06,55,288
1e-06,56,328
1e-06,57,136
1e-06,58,288
1e-06,59,380
1e-06,60,288
1e-06,61,493
1e-06,62,460
1e-06,63,288
1e-06,64,380
1e-06,65,288
1e-06,66,288
1e-06,67,288
1e-06,68,288
1e-06,69,288
1e-06,70,288
1e-06,71,288
1e-06,72,298
1e-06,73,385
1e-06,74,36
1e-06,75,288
1e-06,76,288
1e-06,77,460
1e-06,78,261
1e-06,79,493
1e-06,80,420
1e-06,81,288
1e-06,82,185
1e-06,83,288
1e-06,84,288
1e-06,85,380
1e-06,86,493
1e-06,87,542
1e-06,88,288
1e-06,89,261
1e-06,90,288
1e-06,91,36
1e-06,92,96
1e-06,93,273
1e-06,94,55
1e-06,95,288
1e-06,96,380
1e-06,97,19
1e-06,98,288
1e-06,99,61
1e-06,100,288
1e-06,101,493
1e-06,102,540
1e-06,103,288
1e-06,104,493
1e-06,105,288
1e-06,106,193
1e-06,107,380
1e-06,108,19
1e-06,109,288
1e-06,110,288
1e-06,111,321
1e-06,112,261
