Simplification Threshold,Data Index,Feature ID
1.443e-05,0,15
1.443e-05,1,2
1.443e-05,2,1
1.443e-05,3,15
1.443e-05,4,15
1.443e-05,5,9
1.443e-05,6,15
1.443e-05,7,3
1.443e-05,8,2
1.443e-05,9,4
1.443e-05,10,10
1.443e-05,11,15
1.443e-05,12,15
1.443e-05,13,15
1.443e-05,14,1
1.443e-05,15,0
1.443e-05,16,16
1.443e-05,17,15
1.443e-05,18,1
1.443e-05,19,15
1.443e-05,20,10
1.443e-05,21,1
1.443e-05,22,10
1.443e-05,23,2
1.443e-05,24,6
1.443e-05,25,2
1.443e-05,26,4
1.443e-05,27,0
1.443e-05,28,15
1.443e-05,29,14
1.443e-05,30,21
1.443e-05,31,15
1.443e-05,32,15
1.443e-05,33,0
1.443e-05,34,15
1.443e-05,35,1
1.443e-05,36,10
1.443e-05,37,21
1.443e-05,38,15
1.443e-05,39,1
1.443e-05,40,15
1.443e-05,41,2
1.443e-05,42,14
1.443e-05,43,0
1.443e-05,44,0
1.443e-05,45,15
1.443e-05,46,6
1.443e-05,47,15
1.443e-05,48,15
1.443e-05,49,15
1.443e-05,50,15
1.443e-05,51,15
1.443e-05,52,15
1.443e-05,53,15
1.443e-05,54,15
1.443e-05,55,15
1.443e-05,56,0
1.443e-05,57,2
1.443e-05,58,15
1.443e-05,59,21
1.443e-05,60,15
1.443e-05,61,1
1.443e-05,62,26
1.443e-05,63,15
1.443e-05,64,21
1.443e-05,65,15
1.443e-05,66,15
1.443e-05,67,15
1.443e-05,68,15
1.443e-05,69,15
1.443e-05,70,15
1.443e-05,71,15
1.443e-05,72,1
1.443e-05,73,0
1.443e-05,74,1
1.443e-05,75,15
1.443e-05,76,15
1.443e-05,77,26
1.443e-05,78,14
1.443e-05,79,1
1.443e-05,80,2
1.443e-05,81,15
1.443e-05,82,27
1.443e-05,83,15
1.443e-05,84,15
1.443e-05,85,21
1.443e-05,86,1
1.443e-05,87,28
1.443e-05,88,15
1.443e-05,89,14
1.443e-05,90,15
1.443e-05,91,1
1.443e-05,92,0
1.443e-05,93,1
1.443e-05,94,4
1.443e-05,95,15
1.443e-05,96,21
1.443e-05,97,0
1.443e-05,98,15
1.443e-05,99,2
1.443e-05,100,15
1.443e-05,101,1
1.443e-05,102,2
1.443e-05,103,15
1.443e-05,104,1
1.443e-05,105,15
1.443e-05,106,9
1.443e-05,107,21
1.443e-05,108,0
1.443e-05,109,15
1.443e-05,110,15
1.443e-05,111,0
1.443e-05,112,14
1.443e-05,113,0
1.443e-05,114,10
1.443e-05,115,15
1.443e-05,116,0
1.443e-05,117,15
1.443e-05,118,16
1.443e-05,119,15
1.443e-05,120,2
1.443e-05,121,15
1.443e-05,122,15
1.443e-05,123,15
1.443e-05,124,0
1.443e-05,125,9
1.443e-05,126,15
1.443e-05,127,15
1.443e-05,128,0
1.443e-05,129,15
1.443e-05,130,9
1.443e-05,131,21
1.443e-05,132,12
1.443e-05,133,15
1.443e-05,134,0
1.443e-05,135,0
1.443e-05,136,15
1.443e-05,137,1
1.443e-05,138,0
1.443e-05,139,10
1.443e-05,140,15
1.443e-05,141,0
1.443e-05,142,6
1.443e-05,143,15
1.443e-05,144,15
1.443e-05,145,15
1.443e-05,146,0
1.443e-05,147,15
1.443e-05,148,15
1.443e-05,149,2
1.443e-05,150,15
1.443e-05,151,15
1.443e-05,152,9
1.443e-05,153,15
1.443e-05,154,0
1.443e-05,155,15
