Simplification Threshold,Data Index,Feature ID
1.81e-05,0,25
1.81e-05,1,0
1.81e-05,2,25
1.81e-05,3,25
1.81e-05,4,25
1.81e-05,5,16
1.81e-05,6,0
1.81e-05,7,25
1.81e-05,8,0
1.81e-05,9,18
1.81e-05,10,11
1.81e-05,11,25
1.81e-05,12,11
1.81e-05,13,25
1.81e-05,14,25
1.81e-05,15,0
1.81e-05,16,7
1.81e-05,17,25
1.81e-05,18,4
1.81e-05,19,25
1.81e-05,20,25
1.81e-05,21,1
1.81e-05,22,25
1.81e-05,23,25
1.81e-05,24,25
1.81e-05,25,0
1.81e-05,26,0
1.81e-05,27,2
1.81e-05,28,21
1.81e-05,29,0
1.81e-05,30,15
1.81e-05,31,25
1.81e-05,32,25
1.81e-05,33,25
1.81e-05,34,25
1.81e-05,35,4
1.81e-05,36,25
1.81e-05,37,0
1.81e-05,38,16
1.81e-05,39,25
1.81e-05,40,25
1.81e-05,41,21
1.81e-05,42,25
1.81e-05,43,21
1.81e-05,44,25
1.81e-05,45,25
1.81e-05,46,10
1.81e-05,47,25
1.81e-05,48,25
1.81e-05,49,25
1.81e-05,50,25
1.81e-05,51,25
1.81e-05,52,25
1.81e-05,53,25
1.81e-05,54,25
1.81e-05,55,25
1.81e-05,56,0
1.81e-05,57,0
1.81e-05,58,21
1.81e-05,59,1
1.81e-05,60,15
1.81e-05,61,25
1.81e-05,62,2
1.81e-05,63,25
1.81e-05,64,11
1.81e-05,65,25
1.81e-05,66,25
1.81e-05,67,25
1.81e-05,68,25
1.81e-05,69,16
1.81e-05,70,25
1.81e-05,71,25
1.81e-05,72,1
1.81e-05,73,21
1.81e-05,74,1
1.81e-05,75,25
1.81e-05,76,25
1.81e-05,77,0
1.81e-05,78,7
1.81e-05,79,1
1.81e-05,80,0
1.81e-05,81,25
1.81e-05,82,26
1.81e-05,83,0
1.81e-05,84,25
1.81e-05,85,25
1.81e-05,86,1
1.81e-05,87,15
1.81e-05,88,21
1.81e-05,89,10
1.81e-05,90,25
1.81e-05,91,1
1.81e-05,92,0
1.81e-05,93,4
1.81e-05,94,7
1.81e-05,95,25
1.81e-05,96,19
1.81e-05,97,0
1.81e-05,98,2
1.81e-05,99,0
1.81e-05,100,25
1.81e-05,101,1
1.81e-05,102,25
1.81e-05,103,25
1.81e-05,104,4
1.81e-05,105,16
1.81e-05,106,16
1.81e-05,107,25
1.81e-05,108,25
1.81e-05,109,25
1.81e-05,110,7
1.81e-05,111,21
1.81e-05,112,0
1.81e-05,113,25
1.81e-05,114,11
1.81e-05,115,25
1.81e-05,116,0
1.81e-05,117,15
1.81e-05,118,25
1.81e-05,119,25
1.81e-05,120,15
1.81e-05,121,7
1.81e-05,122,25
1.81e-05,123,0
1.81e-05,124,0
1.81e-05,125,16
1.81e-05,126,25
1.81e-05,127,21
1.81e-05,128,0
1.81e-05,129,25
1.81e-05,130,16
1.81e-05,131,18
1.81e-05,132,3
1.81e-05,133,25
1.81e-05,134,10
1.81e-05,135,10
1.81e-05,136,25
1.81e-05,137,1
1.81e-05,138,0
1.81e-05,139,11
1.81e-05,140,25
1.81e-05,141,7
1.81e-05,142,10
1.81e-05,143,25
1.81e-05,144,25
1.81e-05,145,25
1.81e-05,146,25
1.81e-05,147,25
1.81e-05,148,25
1.81e-05,149,0
1.81e-05,150,10
1.81e-05,151,21
1.81e-05,152,16
1.81e-05,153,25
1.81e-05,154,2
1.81e-05,155,25
1.81e-05,156,25
1.81e-05,157,0
1.81e-05,158,4
1.81e-05,159,25
1.81e-05,160,25
1.81e-05,161,25
1.81e-05,162,16
1.81e-05,163,7
1.81e-05,164,25
1.81e-05,165,0
