Simplification Threshold,Feature ID,Loss Start,Loss End,Feature Type,Persistence,Volume,Homogeneity,Majority Class,Major Class Size,Majority Class Coverage
2.026555648626527e-06,0,-0.0,0.20512113571166993,minima-saddle,4.291525328881107e-06,1306,1.0,4,1306,0.1914
2.026555648626527e-06,1,4.410734163684538e-06,0.2051255464458336,minima-saddle,3.4570480238471646e-06,2,1.0,1,2,0.0003
2.026555648626527e-06,2,7.033323527139146e-06,0.20512816903519707,saddle-saddle,0.0,5,1.0,0,5,0.0007
2.026555648626527e-06,3,-0.0,0.20512113571166993,minima-saddle,1.490105023549404e-05,1298,1.0,5,1298,0.2056
2.026555648626527e-06,4,1.5258672647178173e-05,0.2051363943843171,minima-saddle,5.245114152785391e-06,1,1.0,1,1,0.0001
2.026555648626527e-06,5,3.814689989667386e-06,0.2051249504016596,saddle-saddle,1.0728790584835224e-06,52,1.0,7,52,0.0071
2.026555648626527e-06,6,1.8715683836489916e-05,0.20513985139550642,saddle-saddle,8.344486559508368e-07,25,1.0,1,25,0.0032
2.026555648626527e-06,7,5.125986263010418e-06,0.20512626169793294,minima-saddle,3.3378378248016816e-06,1,1.0,2,1,0.0001
2.026555648626527e-06,8,1.6689286894688848e-06,0.2051228046403594,minima-saddle,2.6225966394122224e-06,1,1.0,4,1,0.0001
2.026555648626527e-06,9,6.9141146923357155e-06,0.20512804982636226,minima-saddle,1.2636017345357686e-05,1,1.0,1,1,0.0001
2.026555648626527e-06,10,1.4662635294371285e-05,0.2051357983469643,minima-saddle,4.053048542118631e-06,1,1.0,1,1,0.0001
2.026555648626527e-06,11,-0.0,0.20512113571166993,minima-saddle,3.2186455882765586e-06,991,1.0,3,991,0.1388
2.026555648626527e-06,12,9.536738616588991e-07,0.2051220893855316,minima-saddle,4.8875640459300485e-06,1,1.0,6,1,0.0001
2.026555648626527e-06,13,5.8412379075889476e-06,0.20512697694957752,minima-saddle,1.4662548892374616e-05,1,1.0,1,1,0.0001
2.026555648626527e-06,14,-0.0,0.20512113571166993,minima-saddle,2.3483953555114567e-05,1398,1.0,5,1398,0.2214
2.026555648626527e-06,15,2.4199192921514623e-05,0.20514533490459144,minima-saddle,9.89408181339968e-06,1,1.0,1,1,0.0001
2.026555648626527e-06,16,3.6954811548639555e-06,0.2051248311928248,minima-saddle,3.0994251574156806e-06,1,1.0,7,1,0.0001
2.026555648626527e-06,17,3.123234637314454e-05,0.20515236805804307,saddle-saddle,0.0,2,1.0,1,2,0.0003
2.026555648626527e-06,18,4.2437604861333966e-05,0.20516357331653126,saddle-saddle,1.3112476153764874e-06,54,1.0,1,54,0.0069
2.026555648626527e-06,19,-0.0,0.20512113571166993,minima-saddle,4.172316494077677e-06,649,1.0,6,649,0.0944
2.026555648626527e-06,20,5.602820692729438e-06,0.20512673853236266,saddle-saddle,7.152516445785295e-07,74,1.0,0,74,0.0107
2.026555648626527e-06,21,2.002696055569686e-05,0.20514116267222562,saddle-saddle,0.0,18,0.2222222238779068,2,4,0.0006
2.026555648626527e-06,22,1.9073468138230965e-06,0.20512304305848375,minima-saddle,5.245185093372129e-06,5,1.0,1,5,0.0006
2.026555648626527e-06,23,3.3378546504536644e-06,0.20512447356632038,saddle-saddle,4.7683533921372145e-07,27,1.0,7,27,0.0037
2.026555648626527e-06,24,3.683499380713329e-05,0.20515797070547706,saddle-saddle,8.344322850462049e-07,32,1.0,1,32,0.0041
2.026555648626527e-06,25,2.002696055569686e-05,0.20514116267222562,saddle-saddle,1.1920674296561629e-06,9,1.0,1,9,0.0011
2.026555648626527e-06,26,-0.0,0.20512113571166993,minima-saddle,2.0265558760002023e-06,747,1.0,9,747,0.1074
2.026555648626527e-06,27,-0.0,0.20512113571166993,minima-saddle,2.0265558760002023e-06,1110,1.0,8,1110,0.1626
2.026555648626527e-06,28,8.702239938429557e-06,0.20512983795160836,saddle-saddle,1.1920838005607948e-07,0,0.0,5,0,0.0
2.026555648626527e-06,29,3.3378044463461265e-05,0.2051545137561334,saddle-saddle,4.7681896830908954e-07,24,1.0,1,24,0.003
2.026555648626527e-06,30,1.8596476365928538e-05,0.20513973218803586,saddle-saddle,0.0,0,0.0,6,0,0.0
2.026555648626527e-06,31,1.3470558769768104e-05,0.2051346062704397,minima-saddle,5.125917596160434e-06,1,1.0,1,1,0.0001
2.026555648626527e-06,32,4.887569048150908e-06,0.20512602328071808,saddle-saddle,1.1920838005607948e-07,15,1.0,7,15,0.0021
2.026555648626527e-06,33,4.6491513785440475e-06,0.20512578486304847,saddle-saddle,3.576260496629402e-07,31,1.0,0,31,0.0045
2.026555648626527e-06,34,7.390948667307384e-06,0.20512852666033723,minima-saddle,7.1524791565025225e-06,4,1.0,1,4,0.0005
2.026555648626527e-06,35,1.7881377516459906e-06,0.20512292384942157,minima-saddle,5.245186002866831e-06,1,1.0,0,1,0.0001
2.026555648626527e-06,36,-0.0,0.20512113571166993,minima-saddle,3.099436753473128e-06,302,1.0,7,302,0.0414
2.026555648626527e-06,37,3.2186455882765586e-06,0.2051243543572582,minima-saddle,2.384175104452879e-06,2,1.0,7,2,0.0003
2.026555648626527e-06,38,2.0146166207268834e-05,0.2051412818778772,saddle-saddle,3.337787347845733e-06,794,0.19647355377674103,9,156,0.0224
