Simplification Threshold,Feature ID,Loss Start,Loss End,Feature Type,Persistence,Volume,Homogeneity,Majority Class,Major Class Size,Majority Class Coverage
4.7683579396107234e-07,0,7.152555099310121e-07,0.21869683265663298,minima-saddle,4.768367034557741e-07,1,1.0,9,1,0.0001
4.7683579396107234e-07,1,2.3841855067985307e-07,0.21869635581967373,minima-saddle,7.152552825573366e-07,2,1.0,7,2,0.0003
4.7683579396107234e-07,2,1.1920922133867862e-06,0.21869730949333643,minima-saddle,4.7683647608209867e-07,1,1.0,2,1,0.0001
4.7683579396107234e-07,3,3.3378546504536644e-06,0.2186994552557735,minima-saddle,8.344618436240125e-07,1,1.0,3,1,0.0001
4.7683579396107234e-07,4,2.3841855067985307e-07,0.21869635581967373,minima-saddle,7.152552825573366e-07,1,1.0,7,1,0.0001
4.7683579396107234e-07,5,5.960462772236497e-07,0.21869671344740027,minima-saddle,1.3113005934428656e-06,1,1.0,0,1,0.0001
4.7683579396107234e-07,6,8.344646857949556e-07,0.21869695186580884,minima-saddle,1.9073451085205306e-06,1,1.0,7,1,0.0001
4.7683579396107234e-07,7,-0.0,0.21869611740112305,minima-saddle,5.960462772236497e-07,239,1.0,3,239,0.0335
4.7683579396107234e-07,8,1.7881377516459906e-06,0.2186979055388747,saddle-saddle,0.0,1,1.0,7,1,0.0001
4.7683579396107234e-07,9,2.861018856492592e-06,0.21869897841997954,saddle-saddle,0.0,0,0.0,8,0,0.0
4.7683579396107234e-07,10,2.861018856492592e-06,0.21869897841997954,saddle-saddle,0.0,6,1.0,7,6,0.0008
4.7683579396107234e-07,11,6.9141146923357155e-06,0.21870303151581538,minima-saddle,1.4781740901526064e-05,1,1.0,1,1,0.0001
4.7683579396107234e-07,12,4.887569048150908e-06,0.2187010049701712,minima-saddle,8.702197192178573e-06,3,1.0,1,3,0.0004
4.7683579396107234e-07,13,2.3841830625315197e-06,0.21869850158418558,minima-saddle,1.2755282114085276e-05,1,1.0,0,1,0.0001
4.7683579396107234e-07,14,2.0265558760002023e-06,0.21869814395699905,saddle-saddle,0.0,17,1.0,4,17,0.0025
4.7683579396107234e-07,15,-0.0,0.21869611740112305,minima-saddle,4.768370445162873e-07,1,1.0,8,1,0.0001
4.7683579396107234e-07,16,7.152555099310121e-07,0.21869683265663298,minima-saddle,4.768367034557741e-07,2,1.0,5,2,0.0003
4.7683579396107234e-07,17,2.3841855067985307e-07,0.21869635581967373,minima-saddle,1.5497191725444281e-06,1,1.0,2,1,0.0001
4.7683579396107234e-07,18,1.1920922133867862e-06,0.21869730949333643,saddle-saddle,2.3841823804104934e-07,48,1.0,6,48,0.007
4.7683579396107234e-07,19,3.3378546504536644e-06,0.2186994552557735,minima-saddle,7.748547432129271e-06,2,1.0,1,2,0.0003
4.7683579396107234e-07,20,-0.0,0.21869611740112305,minima-saddle,4.768370445162873e-07,96,1.0,6,96,0.014
4.7683579396107234e-07,21,-0.0,0.21869611740112305,minima-saddle,5.960462772236497e-07,303,1.0,5,303,0.048
4.7683579396107234e-07,22,1.1920928244535389e-07,0.2186962366104055,minima-saddle,1.3113011618770543e-06,1,1.0,7,1,0.0001
4.7683579396107234e-07,23,9.536697689327411e-06,0.21870565409881237,minima-saddle,8.225328201660886e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,24,4.0531076592742465e-06,0.21870017050878232,saddle-saddle,0.0,0,0.0,5,0,0.0
4.7683579396107234e-07,25,1.883488948806189e-05,0.2187149522906111,minima-saddle,1.8000104319071397e-05,1,1.0,1,1,0.0001
4.7683579396107234e-07,26,7.152555099310121e-07,0.21869683265663298,minima-saddle,2.861016810129513e-06,2,1.0,1,2,0.0003
4.7683579396107234e-07,27,2.3841855067985307e-07,0.21869635581967373,minima-saddle,4.76836959251159e-07,1,1.0,6,1,0.0001
4.7683579396107234e-07,28,4.291525328881107e-06,0.21870040892645193,minima-saddle,2.9802149583701976e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,29,2.5987286790041253e-05,0.2187221046879131,saddle-saddle,3.57618773705326e-07,12,1.0,1,12,0.0015
4.7683579396107234e-07,30,1.0490362910786644e-05,0.21870660776403383,minima-saddle,4.053064913023263e-06,2,1.0,1,2,0.0003
4.7683579396107234e-07,31,1.1920928244535389e-07,0.2186962366104055,minima-saddle,8.344645721081179e-07,2,1.0,4,2,0.0003
4.7683579396107234e-07,32,2.3841830625315197e-06,0.21869850158418558,minima-saddle,3.457054845057428e-06,1,1.0,6,1,0.0001
4.7683579396107234e-07,33,7.271740287251305e-06,0.2187033891414103,saddle-saddle,5.960419002803974e-07,4,1.0,1,4,0.0005
4.7683579396107234e-07,34,9.775113539944869e-06,0.218705892514663,saddle-saddle,3.5762514016823843e-07,6,1.0,1,6,0.0008
4.7683579396107234e-07,35,-0.0,0.21869611740112305,minima-saddle,4.768370445162873e-07,100,1.0,9,100,0.0144
4.7683579396107234e-07,36,3.075552376685664e-05,0.2187268729248899,saddle-saddle,0.0,0,0.0,0,0,0.0
4.7683579396107234e-07,37,1.4066597032069694e-05,0.21871018399815512,saddle-saddle,1.3112830856698565e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,38,9.059865078597795e-06,0.21870517726620164,minima-saddle,5.006731953471899e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,39,2.3841574147809297e-05,0.21871995897527086,saddle-saddle,1.78809386852663e-06,314,0.23566879332065582,4,74,0.0108
