Simplification Threshold,Data Index,Feature ID
5.721945854020305e-06,0,96
5.721945854020305e-06,1,0
5.721945854020305e-06,2,96
5.721945854020305e-06,3,114
5.721945854020305e-06,4,114
5.721945854020305e-06,5,190
5.721945854020305e-06,6,0
5.721945854020305e-06,7,107
5.721945854020305e-06,8,181
5.721945854020305e-06,9,114
5.721945854020305e-06,10,20
5.721945854020305e-06,11,114
5.721945854020305e-06,12,114
5.721945854020305e-06,13,66
5.721945854020305e-06,14,66
5.721945854020305e-06,15,4
5.721945854020305e-06,16,114
5.721945854020305e-06,17,114
5.721945854020305e-06,18,66
5.721945854020305e-06,19,114
5.721945854020305e-06,20,158
5.721945854020305e-06,21,96
5.721945854020305e-06,22,66
5.721945854020305e-06,23,114
5.721945854020305e-06,24,114
5.721945854020305e-06,25,66
5.721945854020305e-06,26,1
5.721945854020305e-06,27,26
5.721945854020305e-06,28,114
5.721945854020305e-06,29,66
5.721945854020305e-06,30,40
5.721945854020305e-06,31,114
5.721945854020305e-06,32,114
5.721945854020305e-06,33,6
5.721945854020305e-06,34,66
5.721945854020305e-06,35,15
5.721945854020305e-06,36,40
5.721945854020305e-06,37,66
5.721945854020305e-06,38,190
5.721945854020305e-06,39,15
5.721945854020305e-06,40,114
5.721945854020305e-06,41,114
5.721945854020305e-06,42,113
5.721945854020305e-06,43,26
5.721945854020305e-06,44,113
5.721945854020305e-06,45,114
5.721945854020305e-06,46,114
5.721945854020305e-06,47,114
5.721945854020305e-06,48,114
5.721945854020305e-06,49,114
5.721945854020305e-06,50,114
5.721945854020305e-06,51,114
5.721945854020305e-06,52,114
5.721945854020305e-06,53,114
5.721945854020305e-06,54,114
5.721945854020305e-06,55,114
5.721945854020305e-06,56,22
5.721945854020305e-06,57,114
5.721945854020305e-06,58,114
5.721945854020305e-06,59,114
5.721945854020305e-06,60,128
5.721945854020305e-06,61,114
5.721945854020305e-06,62,10
5.721945854020305e-06,63,114
5.721945854020305e-06,64,131
5.721945854020305e-06,65,158
5.721945854020305e-06,66,158
5.721945854020305e-06,67,114
5.721945854020305e-06,68,114
5.721945854020305e-06,69,96
5.721945854020305e-06,70,114
5.721945854020305e-06,71,114
5.721945854020305e-06,72,15
5.721945854020305e-06,73,26
5.721945854020305e-06,74,15
5.721945854020305e-06,75,114
5.721945854020305e-06,76,10
5.721945854020305e-06,77,68
5.721945854020305e-06,78,66
5.721945854020305e-06,79,181
5.721945854020305e-06,80,0
5.721945854020305e-06,81,114
5.721945854020305e-06,82,107
5.721945854020305e-06,83,96
5.721945854020305e-06,84,114
5.721945854020305e-06,85,12
5.721945854020305e-06,86,15
5.721945854020305e-06,87,96
5.721945854020305e-06,88,15
5.721945854020305e-06,89,114
5.721945854020305e-06,90,114
5.721945854020305e-06,91,15
5.721945854020305e-06,92,22
5.721945854020305e-06,93,15
5.721945854020305e-06,94,1
5.721945854020305e-06,95,114
5.721945854020305e-06,96,114
5.721945854020305e-06,97,22
5.721945854020305e-06,98,66
5.721945854020305e-06,99,0
5.721945854020305e-06,100,114
5.721945854020305e-06,101,114
5.721945854020305e-06,102,113
5.721945854020305e-06,103,113
5.721945854020305e-06,104,15
5.721945854020305e-06,105,113
5.721945854020305e-06,106,72
5.721945854020305e-06,107,114
5.721945854020305e-06,108,66
5.721945854020305e-06,109,158
5.721945854020305e-06,110,114
5.721945854020305e-06,111,4
5.721945854020305e-06,112,4
5.721945854020305e-06,113,114
5.721945854020305e-06,114,114
5.721945854020305e-06,115,114
5.721945854020305e-06,116,4
5.721945854020305e-06,117,114
5.721945854020305e-06,118,22
5.721945854020305e-06,119,114
5.721945854020305e-06,120,114
5.721945854020305e-06,121,114
5.721945854020305e-06,122,114
5.721945854020305e-06,123,114
5.721945854020305e-06,124,6
5.721945854020305e-06,125,31
5.721945854020305e-06,126,66
5.721945854020305e-06,127,0
5.721945854020305e-06,128,22
5.721945854020305e-06,129,114
5.721945854020305e-06,130,190
5.721945854020305e-06,131,0
5.721945854020305e-06,132,114
5.721945854020305e-06,133,114
5.721945854020305e-06,134,114
5.721945854020305e-06,135,26
5.721945854020305e-06,136,137
5.721945854020305e-06,137,15
5.721945854020305e-06,138,114
5.721945854020305e-06,139,114
5.721945854020305e-06,140,114
5.721945854020305e-06,141,96
5.721945854020305e-06,142,26
5.721945854020305e-06,143,114
5.721945854020305e-06,144,114
5.721945854020305e-06,145,114
5.721945854020305e-06,146,158
5.721945854020305e-06,147,22
5.721945854020305e-06,148,114
5.721945854020305e-06,149,0
5.721945854020305e-06,150,66
5.721945854020305e-06,151,22
5.721945854020305e-06,152,114
5.721945854020305e-06,153,114
5.721945854020305e-06,154,10
5.721945854020305e-06,155,114
5.721945854020305e-06,156,114
5.721945854020305e-06,157,114
5.721945854020305e-06,158,113
5.721945854020305e-06,159,114
5.721945854020305e-06,160,114
5.721945854020305e-06,161,114
5.721945854020305e-06,162,190
5.721945854020305e-06,163,4
5.721945854020305e-06,164,114
5.721945854020305e-06,165,181
5.721945854020305e-06,166,114
5.721945854020305e-06,167,19
5.721945854020305e-06,168,114
