Simplification Threshold,Data Index,Feature ID
4.7683579396107234e-07,0,721
4.7683579396107234e-07,1,724
4.7683579396107234e-07,2,721
4.7683579396107234e-07,3,721
4.7683579396107234e-07,4,721
4.7683579396107234e-07,5,181
4.7683579396107234e-07,6,216
4.7683579396107234e-07,7,721
4.7683579396107234e-07,8,424
4.7683579396107234e-07,9,506
4.7683579396107234e-07,10,776
4.7683579396107234e-07,11,721
4.7683579396107234e-07,12,240
4.7683579396107234e-07,13,721
4.7683579396107234e-07,14,721
4.7683579396107234e-07,15,408
4.7683579396107234e-07,16,255
4.7683579396107234e-07,17,721
4.7683579396107234e-07,18,349
4.7683579396107234e-07,19,721
4.7683579396107234e-07,20,721
4.7683579396107234e-07,21,471
4.7683579396107234e-07,22,721
4.7683579396107234e-07,23,721
4.7683579396107234e-07,24,721
4.7683579396107234e-07,25,543
4.7683579396107234e-07,26,216
4.7683579396107234e-07,27,310
4.7683579396107234e-07,28,595
4.7683579396107234e-07,29,216
4.7683579396107234e-07,30,382
4.7683579396107234e-07,31,721
4.7683579396107234e-07,32,721
4.7683579396107234e-07,33,721
4.7683579396107234e-07,34,721
4.7683579396107234e-07,35,736
4.7683579396107234e-07,36,721
4.7683579396107234e-07,37,643
4.7683579396107234e-07,38,516
4.7683579396107234e-07,39,447
4.7683579396107234e-07,40,721
4.7683579396107234e-07,41,595
4.7683579396107234e-07,42,721
4.7683579396107234e-07,43,595
4.7683579396107234e-07,44,721
4.7683579396107234e-07,45,721
4.7683579396107234e-07,46,265
4.7683579396107234e-07,47,721
4.7683579396107234e-07,48,721
4.7683579396107234e-07,49,721
4.7683579396107234e-07,50,721
4.7683579396107234e-07,51,721
4.7683579396107234e-07,52,721
4.7683579396107234e-07,53,721
4.7683579396107234e-07,54,721
4.7683579396107234e-07,55,721
4.7683579396107234e-07,56,48
4.7683579396107234e-07,57,556
4.7683579396107234e-07,58,595
4.7683579396107234e-07,59,725
4.7683579396107234e-07,60,759
4.7683579396107234e-07,61,721
4.7683579396107234e-07,62,605
4.7683579396107234e-07,63,721
4.7683579396107234e-07,64,584
4.7683579396107234e-07,65,721
4.7683579396107234e-07,66,721
4.7683579396107234e-07,67,721
4.7683579396107234e-07,68,721
4.7683579396107234e-07,69,714
4.7683579396107234e-07,70,721
4.7683579396107234e-07,71,721
4.7683579396107234e-07,72,333
4.7683579396107234e-07,73,595
4.7683579396107234e-07,74,248
4.7683579396107234e-07,75,721
4.7683579396107234e-07,76,721
4.7683579396107234e-07,77,491
4.7683579396107234e-07,78,150
4.7683579396107234e-07,79,471
4.7683579396107234e-07,80,410
4.7683579396107234e-07,81,721
4.7683579396107234e-07,82,754
4.7683579396107234e-07,83,409
4.7683579396107234e-07,84,721
4.7683579396107234e-07,85,721
4.7683579396107234e-07,86,725
4.7683579396107234e-07,87,382
4.7683579396107234e-07,88,595
4.7683579396107234e-07,89,119
4.7683579396107234e-07,90,721
4.7683579396107234e-07,91,333
4.7683579396107234e-07,92,97
4.7683579396107234e-07,93,745
4.7683579396107234e-07,94,728
4.7683579396107234e-07,95,721
4.7683579396107234e-07,96,513
4.7683579396107234e-07,97,699
4.7683579396107234e-07,98,605
4.7683579396107234e-07,99,637
4.7683579396107234e-07,100,721
4.7683579396107234e-07,101,725
4.7683579396107234e-07,102,721
4.7683579396107234e-07,103,721
4.7683579396107234e-07,104,0
4.7683579396107234e-07,105,714
4.7683579396107234e-07,106,714
4.7683579396107234e-07,107,721
4.7683579396107234e-07,108,721
4.7683579396107234e-07,109,721
4.7683579396107234e-07,110,40
4.7683579396107234e-07,111,595
4.7683579396107234e-07,112,216
4.7683579396107234e-07,113,721
4.7683579396107234e-07,114,776
4.7683579396107234e-07,115,721
4.7683579396107234e-07,116,216
4.7683579396107234e-07,117,382
4.7683579396107234e-07,118,721
4.7683579396107234e-07,119,721
4.7683579396107234e-07,120,759
4.7683579396107234e-07,121,63
4.7683579396107234e-07,122,721
4.7683579396107234e-07,123,556
4.7683579396107234e-07,124,491
4.7683579396107234e-07,125,588
4.7683579396107234e-07,126,447
4.7683579396107234e-07,127,595
4.7683579396107234e-07,128,216
4.7683579396107234e-07,129,721
4.7683579396107234e-07,130,730
4.7683579396107234e-07,131,506
4.7683579396107234e-07,132,406
4.7683579396107234e-07,133,721
4.7683579396107234e-07,134,226
4.7683579396107234e-07,135,119
4.7683579396107234e-07,136,721
