Simplification Threshold,Data Index,Feature ID
4.768369876728684e-07,0,412
4.768369876728684e-07,1,50
4.768369876728684e-07,2,470
4.768369876728684e-07,3,412
4.768369876728684e-07,4,412
4.768369876728684e-07,5,635
4.768369876728684e-07,6,412
4.768369876728684e-07,7,405
4.768369876728684e-07,8,429
4.768369876728684e-07,9,76
4.768369876728684e-07,10,653
4.768369876728684e-07,11,412
4.768369876728684e-07,12,412
4.768369876728684e-07,13,412
4.768369876728684e-07,14,677
4.768369876728684e-07,15,60
4.768369876728684e-07,16,447
4.768369876728684e-07,17,412
4.768369876728684e-07,18,21
4.768369876728684e-07,19,412
4.768369876728684e-07,20,694
4.768369876728684e-07,21,677
4.768369876728684e-07,22,731
4.768369876728684e-07,23,411
4.768369876728684e-07,24,238
4.768369876728684e-07,25,50
4.768369876728684e-07,26,76
4.768369876728684e-07,27,534
4.768369876728684e-07,28,412
4.768369876728684e-07,29,365
4.768369876728684e-07,30,530
4.768369876728684e-07,31,412
4.768369876728684e-07,32,412
4.768369876728684e-07,33,663
4.768369876728684e-07,34,412
4.768369876728684e-07,35,273
4.768369876728684e-07,36,595
4.768369876728684e-07,37,530
4.768369876728684e-07,38,412
4.768369876728684e-07,39,384
4.768369876728684e-07,40,412
4.768369876728684e-07,41,580
4.768369876728684e-07,42,365
4.768369876728684e-07,43,28
4.768369876728684e-07,44,331
4.768369876728684e-07,45,412
4.768369876728684e-07,46,238
4.768369876728684e-07,47,412
4.768369876728684e-07,48,412
4.768369876728684e-07,49,412
4.768369876728684e-07,50,412
4.768369876728684e-07,51,412
4.768369876728684e-07,52,412
4.768369876728684e-07,53,412
4.768369876728684e-07,54,412
4.768369876728684e-07,55,412
4.768369876728684e-07,56,460
4.768369876728684e-07,57,190
4.768369876728684e-07,58,412
4.768369876728684e-07,59,530
4.768369876728684e-07,60,412
4.768369876728684e-07,61,677
4.768369876728684e-07,62,634
4.768369876728684e-07,63,412
4.768369876728684e-07,64,530
4.768369876728684e-07,65,412
4.768369876728684e-07,66,412
4.768369876728684e-07,67,412
4.768369876728684e-07,68,412
4.768369876728684e-07,69,412
4.768369876728684e-07,70,412
4.768369876728684e-07,71,412
4.768369876728684e-07,72,424
4.768369876728684e-07,73,536
4.768369876728684e-07,74,470
4.768369876728684e-07,75,412
4.768369876728684e-07,76,412
4.768369876728684e-07,77,634
4.768369876728684e-07,78,365
4.768369876728684e-07,79,677
4.768369876728684e-07,80,584
4.768369876728684e-07,81,412
4.768369876728684e-07,82,251
4.768369876728684e-07,83,412
4.768369876728684e-07,84,412
4.768369876728684e-07,85,530
4.768369876728684e-07,86,677
4.768369876728684e-07,87,755
4.768369876728684e-07,88,412
4.768369876728684e-07,89,365
4.768369876728684e-07,90,412
4.768369876728684e-07,91,470
4.768369876728684e-07,92,128
4.768369876728684e-07,93,384
4.768369876728684e-07,94,76
4.768369876728684e-07,95,412
4.768369876728684e-07,96,530
4.768369876728684e-07,97,28
4.768369876728684e-07,98,412
4.768369876728684e-07,99,83
4.768369876728684e-07,100,412
4.768369876728684e-07,101,677
4.768369876728684e-07,102,751
4.768369876728684e-07,103,412
4.768369876728684e-07,104,677
4.768369876728684e-07,105,412
4.768369876728684e-07,106,260
4.768369876728684e-07,107,530
4.768369876728684e-07,108,28
4.768369876728684e-07,109,412
4.768369876728684e-07,110,412
4.768369876728684e-07,111,453
4.768369876728684e-07,112,365
4.768369876728684e-07,113,51
4.768369876728684e-07,114,694
4.768369876728684e-07,115,412
4.768369876728684e-07,116,51
4.768369876728684e-07,117,412
4.768369876728684e-07,118,447
4.768369876728684e-07,119,412
4.768369876728684e-07,120,0
4.768369876728684e-07,121,412
4.768369876728684e-07,122,412
4.768369876728684e-07,123,412
4.768369876728684e-07,124,3
4.768369876728684e-07,125,260
4.768369876728684e-07,126,412
4.768369876728684e-07,127,412
4.768369876728684e-07,128,28
4.768369876728684e-07,129,412
4.768369876728684e-07,130,752
4.768369876728684e-07,131,530
4.768369876728684e-07,132,332
4.768369876728684e-07,133,412
4.768369876728684e-07,134,177
4.768369876728684e-07,135,534
4.768369876728684e-07,136,412
4.768369876728684e-07,137,48
4.768369876728684e-07,138,28
4.768369876728684e-07,139,393
4.768369876728684e-07,140,412
4.768369876728684e-07,141,60
4.768369876728684e-07,142,118
4.768369876728684e-07,143,412
4.768369876728684e-07,144,412
4.768369876728684e-07,145,412
4.768369876728684e-07,146,485
4.768369876728684e-07,147,412
4.768369876728684e-07,148,412
4.768369876728684e-07,149,190
4.768369876728684e-07,150,412
4.768369876728684e-07,151,412
4.768369876728684e-07,152,260
4.768369876728684e-07,153,412
4.768369876728684e-07,154,754
4.768369876728684e-07,155,412
4.768369876728684e-07,156,412
4.768369876728684e-07,157,751
4.768369876728684e-07,158,273
4.768369876728684e-07,159,412
4.768369876728684e-07,160,412
4.768369876728684e-07,161,412
4.768369876728684e-07,162,412
4.768369876728684e-07,163,51
4.768369876728684e-07,164,412
4.768369876728684e-07,165,634
4.768369876728684e-07,166,530
4.768369876728684e-07,167,699
4.768369876728684e-07,168,412
4.768369876728684e-07,169,177
4.768369876728684e-07,170,412
4.768369876728684e-07,171,76
4.768369876728684e-07,172,412
4.768369876728684e-07,173,412
4.768369876728684e-07,174,530
4.768369876728684e-07,175,76
4.768369876728684e-07,176,694
4.768369876728684e-07,177,412
4.768369876728684e-07,178,412
4.768369876728684e-07,179,412
4.768369876728684e-07,180,271
4.768369876728684e-07,181,412
4.768369876728684e-07,182,447
4.768369876728684e-07,183,412
4.768369876728684e-07,184,530
4.768369876728684e-07,185,115
4.768369876728684e-07,186,411
4.768369876728684e-07,187,60
4.768369876728684e-07,188,677
4.768369876728684e-07,189,51
4.768369876728684e-07,190,51
4.768369876728684e-07,191,28
4.768369876728684e-07,192,536
