layer,valley_number,class,coverage
A5,1,0,33.26
A5,2,1,67.69
A5,3,3,6.99
A5,3,4,48.64
A5,3,5,20.70
A5,3,6,31.53
A5,3,8,39.36
A4,1,0,53.63
A4,2,1,69.13
A4,3,3,25.81
A4,3,4,65.45
A4,3,5,35.01
A4,3,8,54.80
A4,3,9,10.53
A4,4,6,40.14
A3,1,0,73.55
A3,2,1,85.83
A3,3,2,54.52
A3,4,3,60.17
A3,5,4,80.23
A3,6,5,56.49
A3,7,6,61.98
A3,8,7,67.63
A3,9,8,65.38
A3,10,9,56.44
A2,1,0,91.28
A2,2,1,86.84
A2,3,2,73.82
A2,4,3,81.14
A2,5,4,77.17
A2,6,5,58.80
A2,7,6,61.68
A2,8,7,77.22
A2,9,8,73.96
A2,10,9,77.80
A1,1,0,89.66
A1,2,1,95.71
A1,3,2,86.54
A1,4,3,94.82
A1,5,4,87.46
A1,6,5,74.48
A1,7,6,88.39
A1,8,7,79.71
A1,9,8,74.36
A1,10,9,85.21
