dataset,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,centroid_mean_correlation,neighborhood_purity,knn_accuracy,train_acc,val_acc
cifar,train,densenet,0,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e0.pt,5,50000,10,,,,2.1732925490660384,0.4625077565989066,0.9956717075939588,,,0.09992,0.0998
cifar,train,densenet,130,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e130.pt,5,50000,10,,,,7.331928043326687,6.811232402029522,-0.0916146124280938,,,0.99936,0.8701
cifar,train,densenet,163,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e163.pt,5,50000,10,,,,6.053512454016422,3.985189200109645,-0.0534021841873954,,,0.95574,0.8391
cifar,train,densenet,196,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e196.pt,5,50000,10,,,,6.058359547694651,4.842380009410693,-0.0296081987285049,,,0.97668,0.8533
cifar,train,densenet,48,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e48.pt,5,50000,10,,,,8.896755173766634,4.842646439851492,-0.0731758365455121,,,0.94812,0.8284
cifar,train,densenet,80,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e80.pt,5,50000,10,,,,7.470596655971533,4.165074397065464,-0.0790621022085585,,,0.94158,0.8296
cifar,trainUval,densenet,111,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e111.pt,5,60000,10,,,,6.837023529566247,5.30199892741163,-0.0865370905170344,,,0.98726,0.8496
cifar,trainUval,densenet,144,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e144.pt,5,60000,10,,,,7.226226746132203,6.538180288041853,-0.0917783693674174,,,0.99988,0.875
cifar,trainUval,densenet,177,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e177.pt,5,60000,10,,,,5.998735276855778,4.1972529522059,-0.0435778432117868,,,0.96162,0.8441
cifar,trainUval,densenet,29,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e29.pt,5,60000,10,,,,10.994762494045895,5.7045982497127445,-0.0907754948831746,,,0.93514,0.8209
cifar,trainUval,densenet,61,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e61.pt,5,60000,10,,,,8.874247345392764,6.384689276884289,-0.0972284242443687,,,0.99364,0.8484
cifar,trainUval,densenet,94,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e94.pt,5,60000,10,,,,6.914925561112451,4.161878944199695,-0.0819439255778256,,,0.95706,0.8313
cifar,val,densenet,125,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e125.pt,5,10000,10,,,,6.286562276045269,4.221181985046074,-0.0778604484304897,,,0.99836,0.8659
cifar,val,densenet,158,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e158.pt,5,10000,10,,,,5.493520364328551,3.194210545638312,-0.0439700320050794,,,0.94334,0.8281
cifar,val,densenet,190,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e190.pt,5,10000,10,,,,5.44500891975097,3.4976360518690126,-0.0062948222900873,,,0.97628,0.8558
cifar,val,densenet,42,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e42.pt,5,10000,10,,,,8.924926584353758,4.256475694255346,-0.0642934375058515,,,0.91826,0.8185
cifar,val,densenet,75,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e75.pt,5,10000,10,,,,7.12197920755109,3.7123787460135977,-0.0677083725491014,,,0.92906,0.8181
mnist,train,densenet,106,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e106.pt,5,60000,10,,,,18.99166619263737,16.247689194218676,-0.0978098743253788,,,0.99855,0.971
mnist,train,densenet,139,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e139.pt,5,60000,10,,,,19.07357436394083,16.646281918972015,-0.0986522804457411,,,0.99935,0.972
mnist,train,densenet,171,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e171.pt,5,60000,10,,,,19.231454366254585,17.008418638533897,-0.097659100132237,,,0.99985,0.9727
mnist,train,densenet,23,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e23.pt,5,60000,10,,,,17.688065671014307,13.534305912177784,-0.0954272729360891,,,0.9625833333333333,0.9534
mnist,train,densenet,56,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e56.pt,5,60000,10,,,,18.561142365513,15.460877597015182,-0.0948089361665608,,,0.9882,0.9671
mnist,train,densenet,89,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e89.pt,5,60000,10,,,,18.95220384710638,16.05494806219777,-0.0971835619202736,,,0.9963833333333333,0.9711
mnist,trainUval,densenet,12,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e12.pt,5,70000,10,,,,16.082930484253243,9.5061501461748,-0.0911392181251516,,,0.92705,0.921
mnist,trainUval,densenet,152,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e152.pt,5,70000,10,,,,19.08867374897284,16.5946390661456,-0.0972055731858217,,,0.9993833333333333,0.9729
mnist,trainUval,densenet,185,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e185.pt,5,70000,10,,,,19.28428769774593,17.088107465724065,-0.0990599638457896,,,0.9999166666666667,0.9729
