dataset,split,model,layer,epoch,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,centroid_mean_correlation,train_acc,val_acc
cifar,train,densenet,a1,0,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e0.pt,5,50000,10,5.841996127227774,6.280126288276485,0.9302354537254136,2.1732925490660384,0.4625077565989066,0.9956717075939588,0.09992,0.0998
cifar,train,densenet,a1,130,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e130.pt,5,50000,10,6.711964697969467,9.979359953705874,0.6725846877060441,7.331928043326687,6.811232402029522,-0.0916146124280938,0.99936,0.8701
cifar,train,densenet,a1,163,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e163.pt,5,50000,10,6.441867811636921,8.876903376169812,0.72568862571268,6.053512454016422,3.985189200109645,-0.0534021841873954,0.95574,0.8391
cifar,train,densenet,a1,196,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e196.pt,5,50000,10,5.504044788438054,8.216786456975472,0.6698536973375411,6.058359547694651,4.842380009410693,-0.0296081987285049,0.97668,0.8533
cifar,train,densenet,a1,48,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e48.pt,5,50000,10,12.914177124238533,15.730185313921483,0.8209806093517069,8.896755173766634,4.842646439851492,-0.0731758365455121,0.94812,0.8284
cifar,train,densenet,a1,80,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e80.pt,5,50000,10,10.215611060216684,12.710840885118696,0.8036927810320308,7.470596655971533,4.165074397065464,-0.0790621022085585,0.94158,0.8296
cifar,trainUval,densenet,a1,111,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e111.pt,5,60000,10,7.671566666510034,10.313293182260884,0.7438522818012501,6.837023529566247,5.30199892741163,-0.0865370905170344,0.98726,0.8496
cifar,trainUval,densenet,a1,144,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e144.pt,5,60000,10,6.597213640135001,9.826777561730784,0.6713506639070639,7.226226746132203,6.538180288041853,-0.0917783693674174,0.99988,0.875
cifar,trainUval,densenet,a1,177,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e177.pt,5,60000,10,6.150796784398898,8.63161403043177,0.712589414067119,5.998735276855778,4.1972529522059,-0.0435778432117868,0.96162,0.8441
cifar,trainUval,densenet,a1,29,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e29.pt,5,60000,10,17.269945602483155,20.49678541303205,0.8425684932771339,10.994762494045895,5.7045982497127445,-0.0907754948831746,0.93514,0.8209
cifar,trainUval,densenet,a1,61,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e61.pt,5,60000,10,11.883585601748711,14.873577665801754,0.7989729081169343,8.874247345392764,6.384689276884289,-0.0972284242443687,0.99364,0.8484
cifar,trainUval,densenet,a1,94,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e94.pt,5,60000,10,8.719264984614476,11.178064140221332,0.7800335438441874,6.914925561112451,4.161878944199695,-0.0819439255778256,0.95706,0.8313
cifar,val,densenet,a1,125,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e125.pt,5,10000,10,7.2304508235555485,9.640752863408323,0.7499881934531144,6.286562276045269,4.221181985046074,-0.0778604484304897,0.99836,0.8659
cifar,val,densenet,a1,158,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e158.pt,5,10000,10,6.95080617393622,8.903494465234497,0.7806829330974546,5.493520364328551,3.194210545638312,-0.0439700320050794,0.94334,0.8281
cifar,val,densenet,a1,190,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e190.pt,5,10000,10,5.888473447882158,8.073671722457425,0.7293426894609797,5.44500891975097,3.4976360518690126,-0.0062948222900873,0.97628,0.8558
cifar,val,densenet,a1,42,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e42.pt,5,10000,10,14.085490164458314,16.724777056566893,0.8421930000512456,8.924926584353758,4.256475694255346,-0.0642934375058515,0.91826,0.8185
cifar,val,densenet,a1,75,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e75.pt,5,10000,10,11.145350804437893,13.281162136758354,0.8391849063863798,7.12197920755109,3.7123787460135977,-0.0677083725491014,0.92906,0.8181
mnist,train,densenet,a1,106,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e106.pt,5,60000,10,19.8411632962748,27.484102047016616,0.7219141910597201,18.99166619263737,16.247689194218676,-0.0978098743253788,0.99855,0.971
mnist,train,densenet,a1,139,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e139.pt,5,60000,10,19.76313422129269,27.48393534128888,0.7190794904688453,19.07357436394083,16.646281918972015,-0.0986522804457411,0.99935,0.972
mnist,train,densenet,a1,171,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e171.pt,5,60000,10,19.602142249101743,27.46645041547624,0.713675846444895,19.231454366254585,17.008418638533897,-0.097659100132237,0.99985,0.9727
mnist,train,densenet,a1,23,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e23.pt,5,60000,10,20.89170083723624,27.425724113662582,0.7617556696280147,17.688065671014307,13.534305912177784,-0.0954272729360891,0.9625833333333332,0.9534
mnist,train,densenet,a1,56,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e56.pt,5,60000,10,20.127563730332408,27.40984684507198,0.7343187229063685,18.561142365513,15.460877597015182,-0.0948089361665608,0.9882,0.9671
