dataset,randomness,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_20,knn_accuracy_20,train_acc,val_acc
cifar,0.0,train,densenet,200,a1,,,50000,10,,,,,,,,0.8784282764150941,0.97984,,
cifar,0.05,train,densenet,200,a1,,,50000,10,,,,,,,,0.8472572508875097,0.95558,0.99688,0.8074
cifar,0.1,train,densenet,200,a1,,,50000,10,,,,,,,,0.8011644111034419,0.9309,0.9955,0.7726
cifar,0.15,train,densenet,200,a1,,,50000,10,,,,,,,,0.7778239989644631,0.91358,0.99446,0.7457
cifar,0.2,train,densenet,200,a1,,,50000,10,,,,,,,,0.7398204687342991,0.89034,0.9943,0.7188
cifar,0.25,train,densenet,200,a1,,,50000,10,,,,,,,,0.7163871549328926,0.871,0.99266,0.6933
cifar,0.3,train,densenet,200,a1,,,50000,10,,,,,,,,0.6962688281586962,0.85452,0.99006,0.6528
cifar,0.35,train,densenet,200,a1,,,50000,10,,,,,,,,0.6610252619896468,0.82832,0.99074,0.6086
cifar,0.4,train,densenet,200,a1,,,50000,10,,,,,,,,0.6406629691932824,0.80804,0.98562,0.5638
cifar,0.45,train,densenet,200,a1,,,50000,10,,,,,,,,0.602755871537431,0.78534,0.98492,0.5336
cifar,0.5,train,densenet,200,a1,,,50000,10,,,,,,,,0.5827650438865895,0.76436,0.98472,0.5092
cifar,0.6,train,densenet,200,a1,,,50000,10,,,,,,,,0.519557850621525,0.70698,0.98172,0.4162
cifar,0.7,train,densenet,200,a1,,,50000,10,,,,,,,,0.4490705366109185,0.6402,0.97752,0.3136
cifar,0.8,train,densenet,200,a1,,,50000,10,,,,,,,,0.3800365142460618,0.57448,0.9608,0.2218
cifar,0.9,train,densenet,200,a1,,,50000,10,,,,,,,,0.321850594581007,0.5092,0.94792,0.1563
cifar,1.0,train,densenet,200,a1,,,50000,10,,,,,,,,0.2951526352739885,0.4731,,
cifar,0.0,train,resnet,200,a1,,,50000,10,,,,,,,,0.916975109377124,0.9853,,
cifar,0.05,trainUval,resnet,200,a5,,,60000,10,,,,,,,,0.4162428758069953,0.6196833333333334,0.99416,0.8047
cifar,0.15,train,resnet,200,a4,,,50000,10,,,,,,,,0.5150343100334939,0.7272,0.98758,0.7389
cifar,0.2,val,resnet,200,a3,,,10000,10,,,,,,,,0.5020450807223805,0.7227,0.98526,0.7109
cifar,0.3,trainUval,resnet,200,a2,,,60000,10,,,,,,,,0.6115227602875728,0.80355,0.98254,0.6435
cifar,0.4,train,resnet,200,a1,,,50000,10,,,,,,,,0.6834094408852448,0.81926,0.97728,0.5608
cifar,0.45,trainUval,resnet,200,a5,,,60000,10,,,,,,,,0.393849339328395,0.5954333333333334,0.97488,0.5223
cifar,0.6,train,resnet,200,a4,,,50000,10,,,,,,,,0.4476014651374271,0.66018,0.97206,0.4108
cifar,0.7,val,resnet,200,a3,,,10000,10,,,,,,,,0.3706091961141251,0.5792,0.95682,0.3214
cifar,0.9,trainUval,resnet,200,a2,,,60000,10,,,,,,,,0.3476412046603126,0.5398666666666667,0.92046,0.158
cifar,0.0,train,vgg,200,a1,,,50000,10,,,,,,,,0.9963026362431135,0.99798,,
cifar,0.05,train,vgg,200,a4,,,50000,10,,,,,,,,0.645740993027727,0.77622,0.98852,0.8644
cifar,0.1,train,vgg,200,a7,,,50000,10,,,,,,,,0.2490614146275657,0.35652,0.98082,0.8442
cifar,0.15,trainUval,vgg,200,a3,,,60000,10,,,,,,,,0.8274128923461086,0.9134333333333332,0.96344,0.8114
cifar,0.2,trainUval,vgg,200,a6,,,60000,10,,,,,,,,0.2517260288937677,0.30335,0.9542,0.79
cifar,0.25,val,vgg,200,a2,,,10000,10,,,,,,,,0.667505746213832,0.7887,0.94366,0.7326
cifar,0.3,val,vgg,200,a5,,,10000,10,,,,,,,,0.2766584183606797,0.353,0.92966,0.7058
cifar,0.4,train,vgg,200,a1,,,50000,10,,,,,,,,0.588675975798786,0.73162,0.89634,0.6153
cifar,0.45,train,vgg,200,a4,,,50000,10,,,,,,,,0.4695372221965552,0.59972,0.87902,0.5818
cifar,0.5,train,vgg,200,a7,,,50000,10,,,,,,,,0.2490614146275657,0.35652,0.86394,0.5262
cifar,0.6,trainUval,vgg,200,a3,,,60000,10,,,,,,,,0.5445731024800072,0.73165,0.8331,0.4654
cifar,0.7,trainUval,vgg,200,a6,,,60000,10,,,,,,,,0.2408343011715674,0.2941333333333333,0.82944,0.3394
cifar,0.8,val,vgg,200,a2,,,10000,10,,,,,,,,0.2295271841950087,0.3971,0.81076,0.2388
cifar,0.9,val,vgg,200,a5,,,10000,10,,,,,,,,0.24418070348511,0.3628,0.68164,0.1617
cifar,0.0,train,densenet,200,a2,,,50000,10,,,,,,,,0.8097728008785745,0.93526,,
cifar,0.05,train,densenet,200,a2,,,50000,10,,,,,,,,0.773104306205896,0.91076,0.99688,0.8074
cifar,0.1,train,densenet,200,a2,,,50000,10,,,,,,,,0.7274268034256608,0.88076,0.9955,0.7726
cifar,0.15,train,densenet,200,a2,,,50000,10,,,,,,,,0.7091858806931944,0.8694,0.99446,0.7457
cifar,0.2,train,densenet,200,a2,,,50000,10,,,,,,,,0.6687560154275267,0.84026,0.9943,0.7188
cifar,0.25,train,densenet,200,a2,,,50000,10,,,,,,,,0.6493703994393515,0.82518,0.99266,0.6933
cifar,0.3,train,densenet,200,a2,,,50000,10,,,,,,,,0.6342261303922703,0.8167,0.99006,0.6528
cifar,0.35,train,densenet,200,a2,,,50000,10,,,,,,,,0.6002419512096041,0.78734,0.99074,0.6086
cifar,0.4,train,densenet,200,a2,,,50000,10,,,,,,,,0.5879938798422821,0.77362,0.98562,0.5638
cifar,0.45,train,densenet,200,a2,,,50000,10,,,,,,,,0.5542818338569749,0.74866,0.98492,0.5336
cifar,0.5,train,densenet,200,a2,,,50000,10,,,,,,,,0.5399872336959521,0.73552,0.98472,0.5092
cifar,0.6,train,densenet,200,a2,,,50000,10,,,,,,,,0.4884198631512234,0.68418,0.98172,0.4162
cifar,0.7,train,densenet,200,a2,,,50000,10,,,,,,,,0.4398290665920493,0.63498,0.97752,0.3136
cifar,0.8,train,densenet,200,a2,,,50000,10,,,,,,,,0.3842176561082264,0.5763,0.9608,0.2218
cifar,0.9,train,densenet,200,a2,,,50000,10,,,,,,,,0.3352995777811994,0.5224,0.94792,0.1563
cifar,1.0,train,densenet,200,a2,,,50000,10,,,,,,,,0.3124216960020966,0.49106,,
cifar,0.0,train,resnet,200,a2,,,50000,10,,,,,,,,0.7912949887696905,0.9263,,
