dataset,randomness,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_20,knn_accuracy_20,train_acc,val_acc
mnist,0.0,train,densenet,200,a1,,,60000,10,,,,,,,,0.998345453256089,0.9998,,
mnist,0.05,train,densenet,200,a1,,,60000,10,,,,,,,,0.9776509897296524,0.98795,0.9984,0.9571
mnist,0.1,train,densenet,200,a1,,,60000,10,,,,,,,,0.9582173216309948,0.9777166666666668,0.9991,0.9301
mnist,0.15,train,densenet,200,a1,,,60000,10,,,,,,,,0.9350495136364784,0.9634333333333334,0.9991666666666666,0.9029
mnist,0.2,train,densenet,200,a1,,,60000,10,,,,,,,,0.9092440074690604,0.9498,0.9991333333333333,0.8578
mnist,0.25,train,densenet,200,a1,,,60000,10,,,,,,,,0.8888704275704297,0.93935,0.9981,0.8267
mnist,0.3,train,densenet,200,a1,,,60000,10,,,,,,,,0.8625596436916195,0.9287333333333332,0.9965,0.7857
mnist,0.35,train,densenet,200,a1,,,60000,10,,,,,,,,0.8426140624233759,0.9211,0.9922666666666666,0.735
mnist,0.4,train,densenet,200,a1,,,60000,10,,,,,,,,0.8046056934149395,0.9017833333333334,0.9890333333333333,0.7028
mnist,0.45,train,densenet,200,a1,,,60000,10,,,,,,,,0.7835772161502286,0.8982666666666667,0.98165,0.6491
mnist,0.5,train,densenet,200,a1,,,60000,10,,,,,,,,0.745320189401051,0.8805333333333333,0.9771333333333333,0.5933
mnist,0.6,train,densenet,200,a1,,,60000,10,,,,,,,,0.6697161296465389,0.8560166666666666,0.9523333333333334,0.5088
mnist,0.7,train,densenet,200,a1,,,60000,10,,,,,,,,0.5816135213678184,0.8147666666666666,0.9321833333333334,0.4065
mnist,0.8,train,densenet,200,a1,,,60000,10,,,,,,,,0.4970925930943624,0.77355,0.89575,0.3115
mnist,0.9,train,densenet,200,a1,,,60000,10,,,,,,,,0.425188449276032,0.7153666666666667,0.8673833333333333,0.2009
mnist,1.0,train,densenet,200,a1,,,60000,10,,,,,,,,0.4074676726752587,0.70105,,
mnist,0.0,train,resnet,200,a1,,,60000,10,,,,,,,,0.9984590782459818,0.9999333333333332,,
mnist,0.05,trainUval,resnet,200,a5,,,70000,10,,,,,,,,0.9401008081482728,0.9792428571428572,0.9999833333333333,0.9641
mnist,0.15,train,resnet,200,a4,,,60000,10,,,,,,,,0.9457068759345464,0.9813,1.0,0.9112
mnist,0.2,val,resnet,200,a3,,,10000,10,,,,,,,,0.9171834136649484,0.9718,1.0,0.8754
mnist,0.3,trainUval,resnet,200,a2,,,70000,10,,,,,,,,0.9405963529679684,0.9763714285714286,0.9999,0.8042
mnist,0.4,train,resnet,200,a1,,,60000,10,,,,,,,,0.8374329294461553,0.92325,0.9999,0.7172
mnist,0.45,trainUval,resnet,200,a5,,,70000,10,,,,,,,,0.9346133214944962,0.9771571428571428,0.9998666666666667,0.6743
mnist,0.6,train,resnet,200,a4,,,60000,10,,,,,,,,0.9367754002997593,0.9775666666666668,0.9995833333333334,0.502
mnist,0.7,val,resnet,200,a3,,,10000,10,,,,,,,,0.8816798933848371,0.9618,0.9993333333333333,0.4144
mnist,0.9,trainUval,resnet,200,a2,,,70000,10,,,,,,,,0.886110895473452,0.9606714285714286,0.9998,0.1979
mnist,0.0,train,densenet,200,a2,,,60000,10,,,,,,,,0.9880883467325928,0.997,,
mnist,0.05,train,densenet,200,a2,,,60000,10,,,,,,,,0.9701657869755764,0.9897,0.9984,0.9571
mnist,0.1,train,densenet,200,a2,,,60000,10,,,,,,,,0.9580521246250714,0.98495,0.9991,0.9301
mnist,0.15,train,densenet,200,a2,,,60000,10,,,,,,,,0.9472802723684436,0.9809,0.9991666666666666,0.9029
mnist,0.2,train,densenet,200,a2,,,60000,10,,,,,,,,0.9352470901733038,0.9764833333333334,0.9991333333333333,0.8578
mnist,0.25,train,densenet,200,a2,,,60000,10,,,,,,,,0.9199204583027693,0.9698,0.9981,0.8267
mnist,0.3,train,densenet,200,a2,,,60000,10,,,,,,,,0.906458100977294,0.9657166666666668,0.9965,0.7857
mnist,0.35,train,densenet,200,a2,,,60000,10,,,,,,,,0.8935082191687288,0.9615,0.9922666666666666,0.735
mnist,0.4,train,densenet,200,a2,,,60000,10,,,,,,,,0.8757340625690518,0.9557833333333332,0.9890333333333333,0.7028
mnist,0.45,train,densenet,200,a2,,,60000,10,,,,,,,,0.8625102850657101,0.9520166666666666,0.98165,0.6491
mnist,0.5,train,densenet,200,a2,,,60000,10,,,,,,,,0.8391432237870886,0.9452333333333334,0.9771333333333333,0.5933
mnist,0.6,train,densenet,200,a2,,,60000,10,,,,,,,,0.7928623884921953,0.93005,0.9523333333333334,0.5088
mnist,0.7,train,densenet,200,a2,,,60000,10,,,,,,,,0.7343322618754423,0.9099,0.9321833333333334,0.4065
mnist,0.8,train,densenet,200,a2,,,60000,10,,,,,,,,0.6716807074704603,0.88745,0.89575,0.3115
mnist,0.9,train,densenet,200,a2,,,60000,10,,,,,,,,0.6110308247685045,0.8628666666666667,0.8673833333333333,0.2009
mnist,1.0,train,densenet,200,a2,,,60000,10,,,,,,,,0.590132729263763,0.8527666666666667,,
mnist,0.0,train,resnet,200,a2,,,60000,10,,,,,,,,0.9716969136749062,0.9896,,
mnist,0.05,val,resnet,200,a1,,,10000,10,,,,,,,,0.949284050756419,0.975,0.9999833333333333,0.9641
mnist,0.15,train,resnet,200,a5,,,60000,10,,,,,,,,0.935248093787126,0.9774666666666668,1.0,0.9112
mnist,0.2,val,resnet,200,a4,,,10000,10,,,,,,,,0.9102822081150408,0.9699,1.0,0.8754
mnist,0.3,trainUval,resnet,200,a3,,,70000,10,,,,,,,,0.9448532228644664,0.9793,0.9999,0.8042
mnist,0.4,train,resnet,200,a2,,,60000,10,,,,,,,,0.9331801309300304,0.9745666666666668,0.9999,0.7172
mnist,0.45,val,resnet,200,a1,,,10000,10,,,,,,,,0.7753720206707448,0.9103,0.9998666666666667,0.6743
mnist,0.6,train,resnet,200,a5,,,60000,10,,,,,,,,0.9292693845948768,0.97535,0.9995833333333334,0.502
mnist,0.7,val,resnet,200,a4,,,10000,10,,,,,,,,0.8905855173044812,0.964,0.9993333333333333,0.4144
mnist,0.9,trainUval,resnet,200,a3,,,70000,10,,,,,,,,0.9235151128520942,0.9735,0.9998,0.1979
mnist,0.0,train,densenet,200,a3,,,60000,10,,,,,,,,0.9738998419570808,0.9911166666666666,,
mnist,0.05,train,densenet,200,a3,,,60000,10,,,,,,,,0.9581565229053344,0.984,0.9984,0.9571
mnist,0.1,train,densenet,200,a3,,,60000,10,,,,,,,,0.949337896093748,0.9800666666666666,0.9991,0.9301
mnist,0.15,train,densenet,200,a3,,,60000,10,,,,,,,,0.9427698568854644,0.97825,0.9991666666666666,0.9029
mnist,0.2,train,densenet,200,a3,,,60000,10,,,,,,,,0.934968463325387,0.9751166666666666,0.9991333333333333,0.8578
mnist,0.25,train,densenet,200,a3,,,60000,10,,,,,,,,0.9271962957679784,0.9723,0.9981,0.8267
mnist,0.3,train,densenet,200,a3,,,60000,10,,,,,,,,0.9186159817208048,0.9696833333333332,0.9965,0.7857
mnist,0.35,train,densenet,200,a3,,,60000,10,,,,,,,,0.9113416644515276,0.9671833333333332,0.9922666666666666,0.735
mnist,0.4,train,densenet,200,a3,,,60000,10,,,,,,,,0.9038948329741234,0.9642333333333334,0.9890333333333333,0.7028
mnist,0.45,train,densenet,200,a3,,,60000,10,,,,,,,,0.8986709959886372,0.9637833333333332,0.98165,0.6491
mnist,0.5,train,densenet,200,a3,,,60000,10,,,,,,,,0.8879372565759415,0.95965,0.9771333333333333,0.5933
mnist,0.6,train,densenet,200,a3,,,60000,10,,,,,,,,0.868420551877969,0.9542666666666668,0.9523333333333334,0.5088
mnist,0.7,train,densenet,200,a3,,,60000,10,,,,,,,,0.8403959391767906,0.9464666666666668,0.9321833333333334,0.4065
mnist,0.8,train,densenet,200,a3,,,60000,10,,,,,,,,0.8127246633031942,0.93855,0.89575,0.3115
mnist,0.9,train,densenet,200,a3,,,60000,10,,,,,,,,0.7848220632380263,0.9309333333333332,0.8673833333333333,0.2009
mnist,1.0,train,densenet,200,a3,,,60000,10,,,,,,,,0.7747615785246517,0.9278833333333332,,
