metric,split,label,value
centroid_mean_separation,full,v_p,0.6918399608907537
centroid_mean_separation,cifar_densenet,v_p,-0.3817246445484298
centroid_mean_separation,cifar_resnet,v_p,-0.1352109790947685
centroid_mean_correlation,full,v_p,-0.6977386919534444
centroid_mean_correlation,cifar_densenet,v_p,-0.7218972897378133
centroid_mean_correlation,cifar_resnet,v_p,-0.9060860588684432
knn_accuracy_20,full,v_p,0.9323471095791546
knn_accuracy_20,cifar_densenet,v_p,0.9356313687509918
knn_accuracy_20,cifar_resnet,v_p,0.9285157890561064
silhouette_score,full,v_p,0.6256725220030264
silhouette_score,cifar_densenet,v_p,0.6575118948349656
silhouette_score,cifar_resnet,v_p,0.5986859735878742
sackin_index_k20,full,v_p,-0.8687598683480532
sackin_index_k20,cifar_densenet,v_p,-0.8996160741863476
sackin_index_k20,cifar_resnet,v_p,-0.8611400641079043
average_sackin_index_k20,full,v_p,-0.6162062707786099
average_sackin_index_k20,cifar_densenet,v_p,-0.6253725472255696
average_sackin_index_k20,cifar_resnet,v_p,-0.6068808966627838
total_persistence,full,v_p,-0.553640745820832
total_persistence,cifar_densenet,v_p,-0.784274527760141
total_persistence,cifar_resnet,v_p,-0.7797484795425754
minima,full,v_p,-0.528357721318484
minima,cifar_densenet,v_p,-0.42040220513702453
minima,cifar_resnet,v_p,-0.803082094644409
cps,full,v_p,-0.5356568690960863
cps,cifar_densenet,v_p,-0.41608251404806407
cps,cifar_resnet,v_p,-0.8061946621978496
