dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,train_acc,val_acc
cifar,train,densenet,20,0,a1,0.0,0.0,140.61403822898865,0.09992,0.0998
cifar,train,densenet,20,125,a1,0.0,0.0,4.806921899016913,0.99836,0.8659
cifar,train,densenet,20,150,a1,0.0,0.0,2.52653749265653,0.9999,0.8752
cifar,train,densenet,20,176,a1,0.0,0.0,7.426404202610939,0.9702,0.8464
cifar,train,densenet,20,200,a1,0.0,0.0,8.803496220918419,0.97902,0.8529
cifar,train,densenet,20,45,a1,0.0,0.0,7.773786714491308,0.9211,0.8124
cifar,train,densenet,20,70,a1,0.0,0.0,4.024289474157868,0.99714,0.8502
cifar,train,densenet,20,96,a1,0.0,0.0,7.666289307765375,0.97416,0.846
cifar,trainUval,densenet,20,120,a1,0.0,0.0,13.076450393058963,0.99624,0.8634
cifar,trainUval,densenet,20,146,a1,0.0,0.0,13.657246640260105,0.99988,0.8741
cifar,trainUval,densenet,20,171,a1,0.0,0.0,12.34297261027308,0.96238,0.8369
cifar,trainUval,densenet,20,197,a1,0.0,0.0,12.324992260572401,0.97844,0.8524
cifar,trainUval,densenet,20,40,a1,0.0,0.0,11.714394575924672,0.8937,0.8059
cifar,trainUval,densenet,20,66,a1,0.0,0.0,14.004890771453177,0.99666,0.8494
cifar,trainUval,densenet,20,91,a1,0.0,0.0,11.599933375617773,0.96008,0.8328
cifar,val,densenet,20,116,a1,0.0,0.0,12.356508527469401,0.99456,0.8565
cifar,val,densenet,20,141,a1,0.0,0.0,13.118920136208203,0.99984,0.8746
cifar,val,densenet,20,167,a1,0.0,0.0,12.38350269912678,0.96384,0.8435
cifar,val,densenet,20,192,a1,0.0,0.0,12.231648471767706,0.97034,0.8451
cifar,val,densenet,20,36,a1,0.0,0.0,13.910429575383247,0.86354,0.788
cifar,val,densenet,20,61,a1,0.0,0.0,12.939150625029207,0.99364,0.8484
cifar,val,densenet,20,87,a1,0.0,0.0,12.756683120008297,0.94614,0.8294
mnist,train,densenet,20,111,a1,0.0,0.0,8.916389737874432,0.9988333333333334,0.971
mnist,train,densenet,20,137,a1,0.0,0.0,8.807935844304218,0.9993333333333333,0.9716
mnist,train,densenet,20,162,a1,0.0,0.0,7.086550770990534,0.9996666666666667,0.9722
mnist,train,densenet,20,188,a1,0.0,0.0,5.451166905435905,0.9999333333333333,0.9723
mnist,train,densenet,20,31,a1,0.0,0.0,8.68998467041456,0.9668166666666667,0.9562
mnist,train,densenet,20,57,a1,0.0,0.0,9.234363256194484,0.9885833333333334,0.9668
mnist,train,densenet,20,82,a1,0.0,0.0,9.348834157951288,0.9946,0.9693
mnist,trainUval,densenet,20,107,a1,0.0,0.0,9.208742742185187,0.9984666666666666,0.9718
mnist,trainUval,densenet,20,132,a1,0.0,0.0,8.970998332394657,0.9992333333333333,0.9718
mnist,trainUval,densenet,20,158,a1,0.0,0.0,8.975543154094147,0.9995666666666667,0.973
mnist,trainUval,densenet,20,183,a1,0.0,0.0,9.565073803789552,0.9999166666666667,0.9724
