dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,train_acc,val_acc
cifar,train,densenet,20,0,a1,1e-06,1e-06,140.61403822898865,0.09992,0.0998
cifar,train,densenet,20,125,a1,1e-06,1e-06,4.806902349149425,0.99836,0.8659
cifar,train,densenet,20,150,a1,1e-06,1e-06,2.526511029060316,0.9999,0.8752
cifar,train,densenet,20,176,a1,1e-06,1e-06,7.426398599866644,0.9702,0.8464
cifar,train,densenet,20,200,a1,1e-06,1e-06,8.803486922857815,0.97902,0.8529
cifar,train,densenet,20,45,a1,1e-06,1e-06,7.77377801230638,0.9211,0.8124
cifar,train,densenet,20,70,a1,1e-06,1e-06,4.0242379758648426,0.99714,0.8502
cifar,train,densenet,20,96,a1,1e-06,1e-06,7.666271784092977,0.97416,0.846
cifar,trainUval,densenet,20,120,a1,1e-06,1e-06,13.076423928862312,0.99624,0.8634
cifar,trainUval,densenet,20,146,a1,1e-06,1e-06,13.657216600231727,0.99988,0.8741
cifar,trainUval,densenet,20,171,a1,1e-06,1e-06,12.34296974938087,0.96238,0.8369
cifar,trainUval,densenet,20,197,a1,1e-06,1e-06,12.324984631333052,0.97844,0.8524
cifar,trainUval,densenet,20,40,a1,1e-06,1e-06,11.714382535900086,0.8937,0.8059
cifar,trainUval,densenet,20,66,a1,1e-06,1e-06,14.004839511561883,0.99666,0.8494
cifar,trainUval,densenet,20,91,a1,1e-06,1e-06,11.59992002423023,0.96008,0.8328
cifar,val,densenet,20,116,a1,1e-06,1e-06,12.356504712858992,0.99456,0.8565
cifar,val,densenet,20,141,a1,1e-06,1e-06,13.118919897795081,0.99984,0.8746
cifar,val,densenet,20,167,a1,1e-06,1e-06,12.38350269912678,0.96384,0.8435
cifar,val,densenet,20,192,a1,1e-06,1e-06,12.23164704132899,0.97034,0.8451
cifar,val,densenet,20,36,a1,1e-06,1e-06,13.910427668040974,0.86354,0.788
cifar,val,densenet,20,61,a1,1e-06,1e-06,12.939142995645604,0.99364,0.8484
cifar,val,densenet,20,87,a1,1e-06,1e-06,12.756680378218284,0.94614,0.8294
mnist,train,densenet,20,111,a1,1e-06,1e-06,8.916363154388279,0.9988333333333334,0.971
mnist,train,densenet,20,137,a1,1e-06,1e-06,8.807907234340945,0.9993333333333333,0.9716
mnist,train,densenet,20,162,a1,1e-06,1e-06,7.086509286363125,0.9996666666666667,0.9722
mnist,train,densenet,20,188,a1,1e-06,1e-06,5.451121248476092,0.9999333333333333,0.9723
mnist,train,densenet,20,31,a1,1e-06,1e-06,8.68998419363561,0.9668166666666667,0.9562
mnist,train,densenet,20,57,a1,1e-06,1e-06,9.234358845515459,0.9885833333333334,0.9668
mnist,train,densenet,20,82,a1,1e-06,1e-06,9.348818184173751,0.9946,0.9693
mnist,trainUval,densenet,20,107,a1,1e-06,1e-06,9.20870495326583,0.9984666666666666,0.9718
mnist,trainUval,densenet,20,132,a1,1e-06,1e-06,8.970964357982751,0.9992333333333333,0.9718
mnist,trainUval,densenet,20,158,a1,1e-06,1e-06,8.975498927626084,0.9995666666666667,0.973
mnist,trainUval,densenet,20,183,a1,1e-06,1e-06,9.565023974470314,0.9999166666666667,0.9724
mnist,trainUval,densenet,20,27,a1,1e-06,1e-06,9.629456302534209,0.9648333333333333,0.9546
mnist,trainUval,densenet,20,52,a1,1e-06,1e-06,9.395696256266575,0.98715,0.9679
mnist,trainUval,densenet,20,78,a1,1e-06,1e-06,9.19821695368853,0.9930833333333333,0.9693
mnist,val,densenet,20,102,a1,1e-06,1e-06,8.626724227587665,0.99825,0.9716
mnist,val,densenet,20,128,a1,1e-06,1e-06,9.27694302838755,0.9992333333333333,0.9714
mnist,val,densenet,20,153,a1,1e-06,1e-06,9.070481588559389,0.99945,0.9731
mnist,val,densenet,20,179,a1,1e-06,1e-06,9.359852639337092,0.9998833333333333,0.9725
mnist,val,densenet,20,22,a1,1e-06,1e-06,9.675870998923529,0.9619166666666666,0.9528
mnist,val,densenet,20,48,a1,1e-06,1e-06,9.304354313322278,0.9853,0.9658
mnist,val,densenet,20,73,a1,1e-06,1e-06,8.853059341873866,0.9904833333333334,0.968
mnist,val,densenet,20,99,a1,1e-06,1e-06,8.65971110617756,0.99795,0.9714
cifar,train,resnet,20,123,a1,1e-06,1e-06,5.123047398999347,0.9941,0.8537
cifar,train,resnet,20,149,a1,1e-06,1e-06,2.430597869138296,0.99976,0.8636
cifar,train,resnet,20,174,a1,1e-06,1e-06,8.65022544658229,0.94108,0.8231
cifar,train,resnet,20,19,a1,1e-06,1e-06,14.740571919177853,0.84254,0.791
cifar,train,resnet,20,43,a1,1e-06,1e-06,7.993940702739756,0.9033,0.8205
cifar,train,resnet,20,69,a1,1e-06,1e-06,6.063425183145114,0.98984,0.8448
cifar,train,resnet,20,94,a1,1e-06,1e-06,8.443958319008324,0.94912,0.8323
cifar,trainUval,resnet,20,119,a1,1e-06,1e-06,15.047493080809332,0.98946,0.8458
cifar,trainUval,resnet,20,144,a1,1e-06,1e-06,14.926180756365916,0.9997,0.8657
cifar,trainUval,resnet,20,16,a1,1e-06,1e-06,12.529254248590298,0.81482,0.7744
cifar,trainUval,resnet,20,195,a1,1e-06,1e-06,11.30348498671443,0.969,0.8438
cifar,trainUval,resnet,20,39,a1,1e-06,1e-06,12.341070571153978,0.8632,0.7866
