,n,train_pearson,val_pearson,train_spearman,val_spearman
full_total_persistence,4744,-0.033000676464138665,-0.1613034095697398,-0.30144257299237864,-0.3527720619171074
cifar_total_persistence,2400,0.02182034825533961,-0.08163190476129972,-0.09184506081644227,-0.3049072997664155
mnist_total_persistence,2344,-0.2129716814885334,-0.19924200321453506,0.0018528363978628178,0.2949589950348246
densenet_total_persistence,1206,-0.5438330886813396,-0.4890878580141584,-0.3442031273620895,-0.4669032313055777
resnet_total_persistence,1206,-0.5289784706560964,-0.4972404309207146,-0.42113729792363874,-0.4788175091812037
vgg_total_persistence,1194,0.1938335530221058,0.1309163549266665,-0.017743809183674106,-0.17411302225549136
wres_total_persistence,1138,0.008004750837661731,-0.19108609938168514,-0.6640119715396132,-0.673549703470343
cifar_densenet_total_persistence,603,-0.6204322645757718,-0.6950954712772639,0.021695873152944505,0.012396763085035687
cifar_resnet_total_persistence,603,-0.5848724694974226,-0.6916097854158286,0.023570696061630866,0.016025308428320548
cifar_vgg_total_persistence,591,0.0007254419522475439,0.020111183197103696,0.1922650900810741,0.18540494228905674
cifar_wres_total_persistence,603,0.2155935485151282,0.17972493008665993,0.30106861986696637,0.2740240499072139
mnist_densenet_total_persistence,603,-0.3866251507959632,-0.38525141803757973,-0.21336541575980225,-0.22764515842368727
mnist_resnet_total_persistence,603,-0.1763601836107726,-0.16538163185234636,-0.04131357986783591,-0.05518056187251251
mnist_vgg_total_persistence,603,0.4115939084772294,0.42061035208225633,-0.11652282049358041,-0.12146949011883215
mnist_wres_total_persistence,535,-0.6960018091538164,-0.6947009438309045,0.21663088695810875,0.1939939074375288
