dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,minima,cps,train_acc,val_acc
mnist,train,densenet,20,162,a1,1e-06,1e-06,7.0865093586292005,122,236,0.9996666666666667,0.9722
mnist,train,densenet,20,98,a1,1e-06,1e-06,8.874983552745903,129,254,0.9978833333333333,0.9709
mnist,train,densenet,20,198,a1,1e-06,1e-06,4.807946424996658,93,181,0.99995,0.974
mnist,train,densenet,20,86,a1,1e-06,1e-06,9.08968040169566,144,281,0.9956,0.9701
mnist,trainUval,densenet,20,146,a1,1e-06,1e-06,8.91586725364175,142,275,0.9992666666666666,0.9715
mnist,trainUval,densenet,20,82,a1,1e-06,1e-06,9.349282592695658,159,305,0.9946,0.9693
mnist,trainUval,densenet,20,69,a1,1e-06,1e-06,9.347860090305403,188,363,0.9887166666666667,0.9676
mnist,trainUval,densenet,20,154,a1,1e-06,1e-06,8.984110646624345,141,272,0.9995,0.9729
mnist,val,densenet,20,94,a1,1e-06,1e-06,8.921278202035865,46,88,0.9972,0.9711
mnist,val,densenet,20,7,a1,1e-06,1e-06,8.633583436952904,53,103,0.8998333333333334,0.8965
mnist,val,densenet,20,125,a1,1e-06,1e-06,9.15480344413993,44,85,0.9991666666666666,0.9721
mnist,val,densenet,20,140,a1,1e-06,1e-06,9.004997312649152,49,90,0.9992833333333333,0.972
cifar,train,densenet,20,131,a1,1e-06,1e-06,3.8393518953773764,346,675,0.99942,0.8708
cifar,train,densenet,20,4,a1,1e-06,1e-06,16.242075189076786,235,454,0.68248,0.6535
cifar,train,densenet,20,167,a1,1e-06,1e-06,7.949656525819819,143,279,0.96384,0.8435
cifar,train,densenet,20,68,a1,1e-06,1e-06,4.138595337234733,115,226,0.99722,0.8484
cifar,trainUval,densenet,20,137,a1,1e-06,1e-06,13.15473081410812,413,804,0.99978,0.874
cifar,trainUval,densenet,20,64,a1,1e-06,1e-06,13.762787856413183,136,264,0.99646,0.848
cifar,trainUval,densenet,20,171,a1,1e-06,1e-06,12.342970005836037,183,359,0.96238,0.8369
cifar,trainUval,densenet,20,174,a1,1e-06,1e-06,11.627652404709465,171,329,0.96046,0.8385
cifar,val,densenet,20,60,a1,1e-06,1e-06,13.901213316842359,43,84,0.99144,0.848
cifar,val,densenet,20,87,a1,1e-06,1e-06,12.756679933628448,38,74,0.94614,0.8294
cifar,val,densenet,20,55,a1,1e-06,1e-06,13.165322550396809,49,94,0.97576,0.8387
cifar,val,densenet,20,21,a1,1e-06,1e-06,10.70148033622013,50,98,0.8744,0.7935
mnist,train,resnet,20,99,a1,1e-06,1e-06,4.911679430140794,82,161,0.9998333333333334,0.979
mnist,train,resnet,20,81,a1,1e-06,1e-06,6.268063970108415,103,204,0.9992166666666666,0.9781
mnist,train,resnet,20,138,a1,1e-06,1e-06,3.6248245757756195,63,125,0.9999666666666667,0.9803
mnist,train,resnet,20,12,a1,1e-06,1e-06,11.746424842682927,202,395,0.9691666666666666,0.9611
mnist,trainUval,resnet,20,49,a1,1e-06,1e-06,9.028129968321764,165,323,0.9971833333333333,0.9764
mnist,trainUval,resnet,20,36,a1,1e-06,1e-06,10.844131354549972,202,389,0.99215,0.9738
mnist,trainUval,resnet,20,6,a1,1e-06,1e-06,11.540238858202883,207,404,0.9584,0.9523
mnist,val,resnet,20,42,a1,1e-06,1e-06,8.019702411143612,48,93,0.9953666666666666,0.9755
mnist,val,resnet,20,93,a1,1e-06,1e-06,9.63861124015557,30,57,0.9997833333333334,0.9784
mnist,val,resnet,20,28,a1,1e-06,1e-06,7.505585283406617,54,104,0.9869666666666667,0.9722
mnist,val,resnet,20,129,a1,1e-06,1e-06,10.377181749868328,27,53,0.99995,0.9786
cifar,train,resnet,20,181,a1,1e-06,1e-06,7.701381628369859,128,253,0.95548,0.8322
cifar,train,resnet,20,135,a1,1e-06,1e-06,3.496828026246476,119,232,0.99892,0.8626
cifar,train,resnet,20,29,a1,1e-06,1e-06,9.442033790787832,130,254,0.91866,0.8262
cifar,train,resnet,20,110,a1,1e-06,1e-06,7.563565343157848,79,156,0.96668,0.8349
cifar,trainUval,resnet,20,114,a1,1e-06,1e-06,14.044406352830492,79,153,0.9809,0.8448
cifar,trainUval,resnet,20,158,a1,1e-06,1e-06,12.634274763222038,97,191,0.93494,0.8184
cifar,trainUval,resnet,20,58,a1,1e-06,1e-06,17.421639803859875,91,180,0.96932,0.8424
cifar,trainUval,resnet,20,157,a1,1e-06,1e-06,12.052601842964805,118,232,0.91848,0.8064
cifar,val,resnet,20,169,a1,1e-06,1e-06,11.460644237218276,39,76,0.95212,0.8358
cifar,val,resnet,20,148,a1,1e-06,1e-06,14.379243158906775,48,94,0.99978,0.8649
cifar,val,resnet,20,176,a1,1e-06,1e-06,11.346330539305427,48,95,0.96224,0.8383
cifar,val,resnet,20,126,a1,1e-06,1e-06,14.314676962204317,42,82,0.9937,0.8538
mnist,train,densenet,20,0,a1,1e-06,1e-06,11.776174187660217,738,1436,0.09813333333333334,0.096
mnist,train,densenet,20,116,a1,1e-06,1e-06,8.774631732377543,140,272,0.99905,0.9717
mnist,train,densenet,20,45,a1,1e-06,1e-06,9.240417896250165,147,283,0.9833666666666666,0.9656
mnist,train,densenet,20,59,a1,1e-06,1e-06,8.86610045480461,150,286,0.98875,0.9676
mnist,trainUval,densenet,20,10,a1,1e-06,1e-06,11.503257930467953,221,423,0.9052333333333333,0.9012
mnist,trainUval,densenet,20,23,a1,1e-06,1e-06,9.766717193403565,184,356,0.9625833333333333,0.9534
mnist,trainUval,densenet,20,186,a1,1e-06,1e-06,9.474820531520663,100,193,0.9999166666666667,0.9721
mnist,trainUval,densenet,20,164,a1,1e-06,1e-06,9.833116630486757,139,264,0.99975,0.9727
mnist,val,densenet,20,160,a1,1e-06,1e-06,9.40383715056032,40,78,0.9996333333333334,0.9725
mnist,val,densenet,20,152,a1,1e-06,1e-06,9.11256834593155,44,84,0.9993833333333333,0.9729
mnist,val,densenet,20,185,a1,1e-06,1e-06,9.714202093517542,38,74,0.9999166666666667,0.9729
mnist,val,densenet,20,102,a1,1e-06,1e-06,8.626724698608427,51,97,0.99825,0.9716
cifar,train,densenet,20,11,a1,1e-06,1e-06,14.464800413413286,171,335,0.73818,0.6995
cifar,train,densenet,20,44,a1,1e-06,1e-06,9.394520407822938,126,248,0.91978,0.8176
cifar,train,densenet,20,72,a1,1e-06,1e-06,8.878884631633923,119,235,0.9068,0.8019
cifar,train,densenet,20,3,a1,1e-06,1e-06,21.731516164642017,286,563,0.61074,0.5877
cifar,trainUval,densenet,20,25,a1,1e-06,1e-06,12.055574306111339,141,274,0.91636,0.8159
cifar,trainUval,densenet,20,77,a1,1e-06,1e-06,12.596749614359624,137,268,0.9362,0.8172
cifar,trainUval,densenet,20,39,a1,1e-06,1e-06,11.480289728831622,134,261,0.90312,0.8136
cifar,trainUval,densenet,20,89,a1,1e-06,1e-06,11.130314189051887,132,260,0.96026,0.8383
