,n,train_pearson,val_pearson,train_spearman,val_spearman
full_total_persistence,2412,-0.5338844357390515,-0.49260358533441534,-0.38271814630305306,-0.47432301008146843
full_minima,2412,-0.4500795872376756,-0.4061408872057891,-0.26855428928022523,-0.22798797297385529
full_cps,2412,-0.44933601663593753,-0.4094458465365475,-0.27630808183913436,-0.23748554939117705
cifar_total_persistence,1206,-0.5913881157044288,-0.6807132595244021,-0.0048509559339715656,-0.017420359238718045
cifar_minima,1206,-0.35553876168022214,-0.40903932827912837,0.0018923004595072252,0.03581490280271332
cifar_cps,1206,-0.35107309427271605,-0.40300522629292285,-0.0009340240402931504,0.03281885856233174
mnist_total_persistence,1206,-0.31990108214615226,-0.3164761233814849,-0.05183490893533293,-0.06472873665381
mnist_minima,1206,-0.587855827315872,-0.5803282945565762,-0.5510161120960987,-0.5008711662753935
mnist_cps,1206,-0.587701123831425,-0.5799930811813196,-0.5501751242147243,-0.49694838913188194
densenet_total_persistence,1206,-0.5438330874176176,-0.48908785710391234,-0.3442031273620895,-0.4669032313055777
densenet_minima,1206,-0.3998273257081224,-0.3921608794429395,-0.1351537319361097,-0.17084020374671127
densenet_cps,1206,-0.3998970997430601,-0.39777063378928196,-0.1481015054934623,-0.1895172282230917
resnet_total_persistence,1206,-0.5289784713295509,-0.49724043179743493,-0.42113729792363874,-0.4788175091812037
resnet_minima,1206,-0.5467490085180235,-0.4440561249480181,-0.3921438438180284,-0.34015283009576164
resnet_cps,1206,-0.5451729208751578,-0.44488120984250407,-0.395775967118087,-0.3442737561489635
cifar_densenet_total_persistence,603,-0.6204322623674368,-0.6950954693202214,0.021695873152944505,0.012396763085035687
cifar_densenet_minima,603,-0.25148365854154775,-0.29022611856500624,0.19036805567830284,0.2195378799048536
cifar_densenet_cps,603,-0.24831317228924765,-0.28606755195354744,0.18821065115784605,0.21715061073863615
cifar_resnet_total_persistence,603,-0.5848724699568875,-0.6916097855913765,0.023570696061630866,0.016025308428320548
cifar_resnet_minima,603,-0.5536493800615844,-0.6291110295504677,-0.2401574211460421,-0.22832286569999732
cifar_resnet_cps,603,-0.552383697808971,-0.6257747847167568,-0.24364175667666374,-0.23176072447965027
mnist_densenet_total_persistence,603,-0.3866251512508144,-0.38525141833459003,-0.21336541575980225,-0.22764515842368727
mnist_densenet_minima,603,-0.5910237302857225,-0.585611517480129,-0.46992055018623635,-0.4447443823475929
mnist_densenet_cps,603,-0.5945390838396647,-0.5892859473651827,-0.4730539008530163,-0.4482288772971951
mnist_resnet_total_persistence,603,-0.17636018397624206,-0.16538163245388576,-0.04131357986783591,-0.05518056187251251
mnist_resnet_minima,603,-0.5777572445517292,-0.5583674223668608,-0.5990626350974079,-0.5729498334691558
mnist_resnet_cps,603,-0.5713611086374815,-0.5518362275938641,-0.5986625477992104,-0.5724212622404824
