,n,train_pearson,val_pearson,train_spearman,val_spearman
full_total_persistence,804,-0.5991958809734821,-0.553640745820832,-0.45696124472670785,-0.6733355341317859
full_minima,804,-0.6006042094563286,-0.528357721318484,-0.4258501902962251,-0.3144052403487242
full_cps,804,-0.6029961480344349,-0.5356568690960863,-0.43904601206785404,-0.3299312430791873
cifar_total_persistence,402,-0.6556001745563317,-0.7691540748389584,0.2589488404234061,0.22663767527884757
cifar_minima,402,-0.48018819794796636,-0.5519097767026083,-0.01637916686486791,0.048602073179202114
cifar_cps,402,-0.47675094485192077,-0.5466438832563989,-0.022222654270411344,0.04341314040843984
mnist_total_persistence,402,-0.4009772314754228,-0.3965989016277115,0.12513704971843104,0.14543588299493354
mnist_minima,402,-0.8032449947518483,-0.7926185913517318,-0.957706175005433,-0.8563361827457268
mnist_cps,402,-0.8089270681389568,-0.7980918714520085,-0.9572250658508716,-0.8519682487801666
densenet_total_persistence,402,-0.6173163052952793,-0.5729575679296895,-0.4154084633878774,-0.7350580841008709
densenet_minima,402,-0.5614488353086841,-0.5356252469412636,-0.23444047035419013,-0.24914397853763434
densenet_cps,402,-0.5643966838037892,-0.5460457536176996,-0.25311815629199136,-0.27677335323765284
resnet_total_persistence,402,-0.5844263130413371,-0.5384811280118875,-0.5335872672351448,-0.6663558086530335
resnet_minima,402,-0.7023256541859592,-0.5565781678689847,-0.6307717108264332,-0.5295183961185401
resnet_cps,402,-0.7055321144911079,-0.5616559828859643,-0.6389382699153646,-0.5378420631919502
cifar_densenet_total_persistence,201,-0.6874072406302686,-0.784274527760141,0.31744473052215366,0.28370936579287004
cifar_densenet_minima,201,-0.3667102650241685,-0.42040220513702453,0.3347405220386455,0.39873463402331727
cifar_densenet_cps,201,-0.3636089507528017,-0.41608251404806407,0.33244319856721777,0.3968196615434138
cifar_resnet_total_persistence,201,-0.6465894948011885,-0.7797484795425754,0.32206745488657,0.3092798359244112
cifar_resnet_minima,201,-0.7047095085573022,-0.803082094644409,-0.4703476519041915,-0.44762501770825697
cifar_resnet_cps,201,-0.7098013492761864,-0.8061946621978496,-0.4819662421531042,-0.458552717781497
mnist_densenet_total_persistence,201,-0.4660774641693355,-0.46706261356714396,-0.24313245144323234,-0.2843778260136298
mnist_densenet_minima,201,-0.8280100166209554,-0.8190950483287494,-0.929927296432347,-0.8872921885309076
mnist_densenet_cps,201,-0.8409279444019997,-0.8322720946269986,-0.9288948459148405,-0.8863269774193542
mnist_resnet_total_persistence,201,-0.6065803183649998,-0.5857619347866786,0.12955151286307506,0.08050731274928681
mnist_resnet_minima,201,-0.7838989735225048,-0.7597680144315883,-0.9704943256646371,-0.9270631916962611
mnist_resnet_cps,201,-0.7782684032187336,-0.7538824215082536,-0.9716280818079532,-0.9275478730952655
