,id,fstart,fend,ftype,pers,volume,logvol,majority class,major class size,major class coverage,idx
0,0,-0,0.008379538543522358,minima-saddle,0.008379538543522358,5010,8.519390774959724,cat,5010,0.835,1
1,2,-0,0.004017972387373447,minima-saddle,0.004017972387373447,5268,8.569595870209286,airplane,5268,0.878,2
2,3,-0,0.004017972387373447,minima-saddle,0.004017972387373447,5291,8.573951525234847,horse,5291,0.8818,3
3,5,-0,0.0009723940747790039,minima-saddle,0.0009723940747790039,4569,8.42726848388825,bird,4569,0.7615,4
4,8,-0,0.002775033703073859,minima-saddle,0.002775033703073859,4988,8.514990767861038,deer,4987,0.8312,5
5,12,1.1920928244535389e-7,0.007857012562453747,minima-saddle,0.007856893353171301,4950,8.507344855361422,dog,4950,0.825,6
6,13,2.3841855067985307e-7,0.002775033703073859,minima-saddle,0.0027747952845231794,5031,8.523572798380277,frog,5031,0.8385,7
7,14,8.344646857949556e-7,0.0009723940747790039,minima-saddle,0.0009715596100932089,4449,8.400659375160286,truck,4449,0.7415,8
8,15,4.768370445162873e-7,0.006299164611846209,minima-saddle,0.006298687774801692,5588,8.628555659269699,ship,5588,0.9313,9
9,18,8.344646857949556e-7,0.012843625620007515,minima-saddle,0.01284279115532172,5643,8.638348312972704,automobile,5642,0.9403,10
