,Simplification Threshold,Count
0,0,468
1,0,467
2,0,466
3,0,465
4,0,464
5,1.1920201359316707e-7,463
6,1.1920565157197416e-7,462
7,1.192074705613777e-7,461
8,1.1920838005607948e-7,460
9,1.1920838005607948e-7,459
10,1.1920838005607948e-7,458
11,1.1920838005607948e-7,457
12,1.1920838005607948e-7,456
13,2.3840402718633413e-7,455
14,2.3841130314394832e-7,454
15,2.3841312213335186e-7,453
16,2.3841312213335186e-7,452
17,2.384149411227554e-7,451
18,2.384149411227554e-7,450
19,2.3841676011215895e-7,449
20,2.3841721485950984e-7,448
21,2.3841766960686073e-7,447
22,3.5759148886427283e-7,446
23,3.57598764821887e-7,445
24,3.576133167371154e-7,444
25,3.5762059269472957e-7,443
26,3.5762514016823843e-7,442
27,3.576265044102911e-7,441
28,3.576271865313174e-7,440
29,4.768262442667037e-7,439
30,4.7683261072961614e-7,438
31,4.768339749716688e-7,437
32,4.768344297190197e-7,436
33,4.7683533921372145e-7,435
34,5.960282578598708e-7,434
35,5.96035533817485e-7,433
36,5.960391717962921e-7,432
37,5.960444013908273e-7,431
38,5.960446287645027e-7,430
39,5.960446287645027e-7,429
40,7.151684258133173e-7,428
41,7.152120815590024e-7,427
42,7.152357284212485e-7,426
43,7.152475518523715e-7,425
44,7.152493708417751e-7,424
45,7.152532361942576e-7,423
46,8.343995432369411e-7,422
47,8.344522939296439e-7,421
48,8.344568414031528e-7,420
49,8.344586603925563e-7,419
50,8.344591151399072e-7,418
51,9.536197467241436e-7,417
52,9.536452125757933e-7,416
53,9.536561265122145e-7,415
54,9.536561265122145e-7,414
55,9.536652214592323e-7,413
56,9.536720426694956e-7,412
57,0.0000010728290362749249,411
58,0.000001072852683137171,410
59,0.000001072880877472926,409
60,0.0000011919328244403005,408
61,0.0000011920528777409345,407
62,0.0000011920819815713912,406
63,0.0000011920847100554965,405
64,0.000001192086983792251,404
65,0.0000011920892575290054,403
66,0.0000013104290701448917,403
67,0.0000013106036931276321,403
68,0.0000013110693544149399,402
69,0.0000013112257875036448,401
70,0.0000013112439773976803,400
71,0.000001311289452132769,399
72,0.000001430431439075619,398
73,0.0000014304860087577254,397
74,0.0000014304987416835502,396
75,0.0000014304987416835502,395
76,0.0000015497053027502261,394
77,0.0000015497062122449279,393
78,0.0000016687845345586538,392
79,0.000001668871846050024,391
80,0.0000016689009498804808,390
81,0.000001668911863816902,389
82,0.0000016689195945218671,388
83,0.000001788086592569016,387
84,0.0000017880975065054372,386
85,0.0000017880993254948407,385
86,0.0000017881084204418585,384
87,0.0000017881202438729815,383
