,Simplification Threshold,Number of Minima
289,0.01284279115498066,1
288,0.008379538543522358,2
287,0.007932350970804691,3
286,0.007856893353164196,4
285,0.0062986877746880054,5
284,0.004017972387373447,6
283,0.003036176785826683,7
282,0.0027747952844947577,8
281,0.0009715596097521484,9
280,0.000022411073587136343,10
279,0.000011563022781047039,11
278,0.000011205542250536382,12
277,0.000011205298505956307,13
276,0.000010490344720892608,14
275,0.000009775087164598517,15
274,0.000008821392839308828,16
273,0.000008344371963175945,17
272,0.000006675556505797431,18
271,0.000006556298103532754,19
270,0.000006198840310389642,20
269,0.0000058410296333022416,21
268,0.000005602774763246998,22
267,0.0000056027092796284705,23
266,0.000004887497198069468,24
265,0.000004768345206684899,25
264,0.000004768326107296161,26
263,0.00000476829973194981,27
262,0.000004649123638955643,28
261,0.000004649120000976836,29
260,0.000004529927537078038,30
259,0.000004529882062342949,31
258,0.000004291508048481774,32
257,0.000004053104930790141,33
256,0.0000038146868064359296,34
255,0.000003814668616541894,35
254,0.000003814649062405806,36
253,0.000003814593583228998,37
252,0.0000036954579627490602,38
251,0.000003457054845057428,39
250,0.0000033378464650013484,40
249,0.0000033378460102539975,41
248,0.000003337832367833471,42
247,0.0000033378310035914183,43
246,0.0000032186408134293742,44
245,0.0000032186267162614968,45
244,0.0000030994087865110487,46
243,0.0000029802183689753292,47
242,0.0000029802081371599343,48
241,0.000002861016810129513,49
240,0.000002860970198526047,50
239,0.0000028609647415578365,51
238,0.0000028609483706532046,52
237,0.00000274180911219446,53
236,0.0000027418077479524072,54
235,0.0000027417900128057227,55
234,0.0000026225991405226523,56
233,0.0000026225893634546082,57
232,0.0000026225607143715024,58
231,0.0000025033900783455465,59
230,0.000002503386667740415,60
229,0.0000025033864403667394,61
228,0.0000025033864403667394,62
227,0.0000025033791644091252,63
226,0.0000023841807887947652,64
225,0.0000023841803340474144,65
224,0.000002384180106673739,66
223,0.000002384150320722256,67
222,0.000002264971953991335,68
221,0.0000022649692255072296,69
220,0.00000226496422328637,70
219,0.0000022649528546025977,71
218,0.000002145762891814229,72
217,0.0000021457626644405536,73
216,0.0000021457622096932027,74
215,0.00000214576084545115,75
214,0.0000021457583443407202,76
213,0.000002145757207472343,77
212,0.000002145737198588904,78
211,0.0000020265529201424215,79
210,0.0000020265524653950706,80
209,0.0000020265479179215617,81
208,0.000002026538822974544,82
207,0.0000020265360944904387,83
206,0.0000019073413568548858,84
205,0.0000019073381736234296,85
204,0.0000019073372641287278,86
203,0.0000019073372641287278,87
202,0.000001907336809381377,88
201,0.0000019073336261499207,89
200,0.0000019073277144343592,90
199,0.000001788130248314701,91
198,0.0000016689286894688848,92
197,0.0000016689243693690514,93
196,0.0000016689223230059724,94
195,0.0000016689218682586215,95
194,0.000001668916411290411,96
193,0.0000016689109543222003,97
192,0.0000016689027688698843,98
191,0.0000015497179219892132,99
190,0.0000015497175809287,100
189,0.0000015497146250709193,101
188,0.0000015497130334551912,102
187,0.00000143051022405416,103
186,0.0000014305080640042434,104
185,0.000001430507381883217,105
184,0.0000014305071545095416,106
183,0.0000014305069271358661,107
182,0.0000014305064723885152,108
181,0.0000014305064723885152,109
180,0.00000143050374390441,110
179,0.0000014305023796623573,111
178,0.0000014304987416835502,112
177,0.000001430495103704743,113
176,0.000001311300025008677,114
175,0.000001311300025008677,115
174,0.000001311300025008677,116
173,0.0000013112993428876507,117
172,0.0000013112990018271375,118
171,0.0000013112990018271375,119
170,0.0000013112983197061112,120
169,0.000001311293090111576,121
168,0.0000013112912711221725,122
167,0.0000013112912711221725,123
166,0.0000013112903616274707,124
165,0.0000011920899396500317,125
164,0.0000011920783435925841,126
163,0.0000011920774340978824,127
162,0.0000010728830375228426,128
161,0.0000010728826964623295,129
160,0.0000010728822417149786,130
159,0.000001072880877472926,131
158,0.000001072880877472926,132
157,0.0000010728801953518996,133
156,0.0000010728790584835224,134
155,0.000001072876784746768,135
154,0.000001072876784746768,136
153,0.0000010728708730312064,137
152,9.536737479720614e-7,138
151,9.536734637549671e-7,139
150,9.536732363812916e-7,140
149,9.536731795378728e-7,141
148,9.536727247905219e-7,142
147,9.536726111036842e-7,143
146,9.536711331747938e-7,144
145,9.536711331747938e-7,145
144,9.536706784274429e-7,146
143,9.53670223680092e-7,147
142,8.344646857949556e-7,148
