,Simplification Threshold,Number of Minima
0,0,64
1,0.00004780292510986328,63
2,0.00005684327334165573,62
3,0.000060215708799660206,61
4,0.00009635603055357933,60
5,0.00013098004274070263,59
6,0.0001623779535293579,58
7,0.00017416058108210564,57
8,0.00020868517458438873,56
9,0.00023146159946918488,55
10,0.00023601739667356014,54
11,0.00027998536825180054,53
12,0.0003599291667342186,52
13,0.00037374813109636307,51
14,0.0004367546644061804,50
15,0.0004648566246032715,49
16,0.0005150116048753262,48
17,0.0005301069468259811,47
18,0.0005374718457460403,46
19,0.0007020446937531233,45
20,0.0008060391992330551,44
21,0.0011338070034980774,43
22,0.0012289881706237793,42
23,0.0013091973960399628,41
24,0.0013693273067474365,40
25,0.002019527368247509,39
26,0.0021452028304338455,38
27,0.0023370832204818726,37
28,0.0025233104825019836,36
29,0.002718278206884861,35
30,0.0036826133728027344,34
31,0.004464007914066315,33
32,0.004703430458903313,32
33,0.005101434886455536,31
34,0.005169286392629147,30
35,0.005356190726161003,29
36,0.005683042109012604,28
37,0.005845129489898682,27
38,0.006453782320022583,26
39,0.007994912564754486,25
40,0.008098822087049484,24
41,0.008775662630796432,23
42,0.009268879890441895,22
43,0.014287203550338745,21
44,0.014410227537155151,20
45,0.016518890857696533,19
46,0.02013552188873291,18
47,0.020159423351287842,17
48,0.024823546409606934,16
49,0.028444334864616394,15
50,0.03461176156997681,14
51,0.04077666997909546,13
52,0.060113877058029175,12
53,0.0996972918510437,11
54,0.18959055840969086,10
55,0.2013322114944458,9
56,0.2067316472530365,8
57,0.2155173271894455,7
58,0.23943544924259186,6
59,0.24366004765033722,5
60,0.24937599897384644,4
61,0.27701711654663086,3
62,0.2872232496738434,2
63,0.34942758083343506,1
