,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,399,-0.31457662602580455,-0.15698937156960474,-0.411860257758823,-0.3426289675417333
full_colless_index,399,-0.32502256722440886,-0.2381601714308016,-0.3720094280980662,-0.27649439294770545
full_sackin_index,399,-0.4926067474477644,-0.43732331999530794,-0.4498362577865439,-0.37729275562476505
full_total_cophenetic_index,399,-0.42135116345458934,-0.37455398237505216,-0.4540110676838105,-0.3839729558259192
full_average_colless_index,399,-0.5081458073666544,-0.35890315791019206,-0.370495095148297,-0.27296759019252137
full_average_sackin_index,399,-0.6350036660180045,-0.5582237303516893,-0.45561143048652136,-0.373240489412981
full_average_total_cophenetic_index,399,-0.488968915069199,-0.43412788780599104,-0.45750559629948734,-0.38350029742284
cifar_average_branching_factor,207,-0.37832205186136386,-0.3386227484869976,-0.6171092673113645,-0.5245760235747327
cifar_colless_index,207,-0.37309281242087383,-0.3547267487461193,-0.5678887551223106,-0.46119821740446587
cifar_sackin_index,207,-0.5378171640289762,-0.569177617972677,-0.6325001253503123,-0.5361070649120958
cifar_total_cophenetic_index,207,-0.48069119451007664,-0.5106264243929022,-0.6324884963814932,-0.5383025226659599
cifar_average_colless_index,207,-0.5794264681172432,-0.4987251425172416,-0.5690954616356064,-0.46833635324118644
cifar_average_sackin_index,207,-0.6602571626852429,-0.6820931595148744,-0.6348285571903204,-0.542335593962741
cifar_average_total_cophenetic_index,207,-0.5353065339686847,-0.5666404816091697,-0.634373818685868,-0.5408479973313608
mnist_average_branching_factor,192,-0.5948517754217182,-0.5929276448238316,-0.4518931122216629,-0.4585823067535371
mnist_colless_index,192,-0.25953019808481587,-0.25307303415370364,-0.44233928525802124,-0.4445604842549388
mnist_sackin_index,192,-0.4940616817155771,-0.49502554026413387,-0.5175144995353508,-0.5315152853040342
mnist_total_cophenetic_index,192,-0.43254615881772807,-0.43362846542505334,-0.5256821778087367,-0.5356606793898057
mnist_average_colless_index,192,-0.3385946072694763,-0.3301908406003912,-0.413112178122724,-0.4112607230822495
mnist_average_sackin_index,192,-0.637606545198157,-0.6378825114184188,-0.5073223231510037,-0.5093397527444152
mnist_average_total_cophenetic_index,192,-0.49215041816548133,-0.49312043073251355,-0.5213806052943623,-0.5248799372348162
densenet_average_branching_factor,99,-0.3165576762505469,-0.00951163996297813,-0.23475044402019016,-0.13142445379344367
densenet_colless_index,99,-0.5979699271452311,-0.3878593371076008,-0.15191073585760087,-0.011650022827517035
densenet_sackin_index,99,-0.5461821480312328,-0.48433562479435344,-0.2629808155986013,-0.15059734706780106
densenet_total_cophenetic_index,99,-0.5086187077670928,-0.45131018607481316,-0.2657382367255193,-0.15191033030771034
densenet_average_colless_index,99,-0.712252043044704,-0.4059637362810858,-0.16539458494546572,-0.026894755535844098
densenet_average_sackin_index,99,-0.6905608977593829,-0.6023999780011062,-0.26999562777951597,-0.15341788214487634
densenet_average_total_cophenetic_index,99,-0.5445163804234845,-0.48290598856128103,-0.2721174187894131,-0.1552667060933918
resnet_average_branching_factor,99,-0.7894240795684301,-0.5218716184459395,-0.18899724131019194,-0.06993239605820059
resnet_colless_index,99,-0.7395661476655555,-0.28349048406484784,-0.2757250238696456,-0.1102340622254135
resnet_sackin_index,99,-0.6225956823399931,-0.5326622917406798,-0.317150880443822,-0.1768622919105038
