,n,train_pearson,val_pearson,train_spearman,val_spearman
full_average_branching_factor,351,-0.1050285447782841,0.10216441019710774,-0.2142309145681512,-0.13907698635819302
full_colless_index,351,-0.5134934668280103,-0.3546680908399539,-0.2817909041562399,-0.18728749169021422
full_sackin_index,351,-0.5141690605766265,-0.3438880886279552,-0.27551808650892606,-0.19653501259769596
full_total_cophenetic_index,351,-0.4458784591961809,-0.3129244573936955,-0.2816345047417239,-0.2060263192365431
full_average_colless_index,351,-0.5249259241478028,-0.33342287483285576,-0.28044252416070187,-0.18228082729976872
full_average_sackin_index,351,-0.5031832993250664,-0.2963872008941789,-0.28416347546866455,-0.19009398783706588
full_average_total_cophenetic_index,351,-0.5112675642185012,-0.35030966839106287,-0.2867752932032412,-0.20498413670307242
cifar_average_branching_factor,187,-0.22555972632333837,-0.16010564890544704,-0.4919844623487688,-0.36585902559926387
cifar_colless_index,187,-0.5052355459321392,-0.3163835354085561,-0.5069251208814268,-0.3840851493893729
cifar_sackin_index,187,-0.5197043341356932,-0.3268368717719947,-0.5124279710855434,-0.38169029568556817
cifar_total_cophenetic_index,187,-0.4569336450033428,-0.2901805854974134,-0.5124505531997285,-0.38471099335626874
cifar_average_colless_index,187,-0.5769646695416093,-0.36271216715748267,-0.5079528959508093,-0.39195207767184037
cifar_average_sackin_index,187,-0.573057874804275,-0.3613309036328253,-0.5151386500936537,-0.38969090387108163
cifar_average_total_cophenetic_index,187,-0.5186879282754724,-0.32855477817439044,-0.5147883911948143,-0.3879445335630013
mnist_average_branching_factor,175,-0.16636317927512906,-0.16705822340189244,-0.2942183147380516,-0.3041038176792814
mnist_colless_index,175,-0.4706779245184315,-0.4520155968454126,-0.38920156753037843,-0.39177977251324625
mnist_sackin_index,175,-0.5146619937670154,-0.49847208967586026,-0.4041223832289495,-0.42266475843014895
mnist_total_cophenetic_index,175,-0.5391838243707008,-0.5217670659149013,-0.41500324363050883,-0.42822916316371273
mnist_average_colless_index,175,-0.38625376062486294,-0.36791608756843835,-0.3552322126661264,-0.35307550207667393
mnist_average_sackin_index,175,-0.44638753950387183,-0.4284270191132888,-0.390635795629586,-0.39334601365182903
mnist_average_total_cophenetic_index,175,-0.5014460660752914,-0.48422010514655645,-0.4093279142501539,-0.41399537521563357
densenet_average_branching_factor,88,-0.07295114858472386,0.5229717654875806,0.0869431888002902,0.23458070621606952
densenet_colless_index,88,-0.7503159101813266,-0.09848526946840515,0.03426783855660864,0.20544779246289607
densenet_sackin_index,88,-0.6749468233464576,0.045103019345903106,0.0488890961234555,0.20911533644340002
densenet_total_cophenetic_index,88,-0.787368599687278,-0.18262421223642547,0.04495697414094646,0.20723811612294366
densenet_average_colless_index,88,-0.5706271937985297,0.1379031556018089,0.01779131376556477,0.18681783822541267
densenet_average_sackin_index,88,-0.4632343136180148,0.2954303944897804,0.038957255456763845,0.20516160867487396
densenet_average_total_cophenetic_index,88,-0.7193834146493036,-0.025005894568207215,0.0358426531061568,0.20242674864156165
resnet_average_branching_factor,88,-0.06719416640175958,0.44671864217841994,0.15551315692788725,0.3274248305429663
resnet_colless_index,88,-0.43818404193100513,0.14306214199462342,-0.14515719002314165,0.050208848918261224
resnet_sackin_index,88,-0.37208314251854974,0.2897703515992598,-0.02792968645450987,0.17187082151094418
resnet_total_cophenetic_index,88,-0.4466067839011591,0.20701282893274456,-0.06223160875234406,0.1348169021425319
resnet_average_colless_index,88,-0.3837056130600211,0.0957318673505677,-0.2122267815253392,-0.029469862187845704
resnet_average_sackin_index,88,-0.3469619247427596,0.23247239251392512,-0.13414855290590907,0.06109401887823228
resnet_average_total_cophenetic_index,88,-0.39528202803831786,0.22302139912171456,-0.10220258911311908,0.09255414528961858
vgg_average_branching_factor,96,0.06745173615327738,0.04387847163352475,-0.4056719430771425,-0.3674711114505187
vgg_colless_index,96,-0.5355934070347175,-0.5059923146128404,-0.3011015081256298,-0.33648914186233325
vgg_sackin_index,96,-0.4749904627568952,-0.44924856842691674,-0.3325363424362053,-0.3823703150677839
vgg_total_cophenetic_index,96,-0.5410688906736318,-0.5078198123446899,-0.3239095880615794,-0.3971946890014554
vgg_average_colless_index,96,-0.4525416545748448,-0.4423350555782739,-0.2594917174858438,-0.30140339210249933
vgg_average_sackin_index,96,-0.42834533802389857,-0.4220497043111711,-0.30048970367109457,-0.34905371679341973
vgg_average_total_cophenetic_index,96,-0.4882812564783319,-0.47261715484082945,-0.3056672602667331,-0.3776343553794102
wres_average_branching_factor,85,-0.8781130141487689,-0.5937873732867075,-0.8111457655673255,-0.7047106023266997
wres_colless_index,85,-0.6065667705260904,-0.3447210421139043,-0.6280881797396545,-0.5432585546586884
wres_sackin_index,85,-0.6289038323292848,-0.36082047454488286,-0.715387832915396,-0.6132307209819818
wres_total_cophenetic_index,85,-0.5207248423360211,-0.29933260179846216,-0.7160171990673755,-0.6174955537962468
wres_average_colless_index,85,-0.7146271502443708,-0.40195208420678635,-0.559116231615944,-0.48763084820736924
wres_average_sackin_index,85,-0.7334538427183015,-0.42215885349793475,-0.6327344328087092,-0.5512671237099025
wres_average_total_cophenetic_index,85,-0.6246141926012011,-0.3587517931525718,-0.686620626459761,-0.5944619869779472
cifar_densenet_average_branching_factor,46,-0.5781781099336267,-0.4442961283276447,-0.9130428241441022,-0.7311332099203336
