dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,train_acc,val_acc
cifar,train,densenet,20,0,a1,0.6177172660827637,valley=2classes,40,1.95,334.0,1,1325.0,227.0,0.09992,0.0998
cifar,train,densenet,20,12,a1,0.002791417296975851,valley=2classes,40,1.95,246.0,1,1055.0,191.0,0.87682,0.7403
cifar,train,densenet,20,15,a1,0.0014257899019867182,valley=2classes,40,1.95,210.0,1,961.0,175.0,0.90258,0.7422
cifar,train,densenet,20,18,a1,2.7772817702498287e-05,valley=2classes,39,2.0,162.0,2,782.0,156.0,0.93044,0.7493
cifar,train,densenet,20,21,a1,4.2076484533026814e-05,valley=2classes,40,1.95,120.0,1,525.0,138.0,0.95162,0.749
cifar,train,densenet,20,24,a1,1.2755216630466748e-05,valley=2classes,40,1.95,148.0,1,668.0,148.0,0.95506,0.7413
cifar,train,densenet,20,27,a1,1.7165559256682172e-05,valley=2classes,40,1.95,204.0,1,945.0,174.0,0.9589,0.7468
cifar,train,densenet,20,30,a1,3.0511946533806622e-05,valley=2classes,40,1.95,148.0,1,714.0,150.0,0.96386,0.7517
cifar,train,densenet,20,33,a1,1.1920917586394353e-06,valley=2classes,40,1.95,154.0,1,732.0,153.0,0.97058,0.7626
cifar,train,densenet,20,36,a1,1.8953527614939958e-05,valley=2classes,40,1.95,150.0,1,671.0,149.0,0.95304,0.7403
cifar,train,densenet,20,39,a1,1.6688485629856586e-05,valley=2classes,40,1.95,142.0,1,643.0,147.0,0.9645,0.7509
cifar,train,densenet,20,3,a1,0.07453590631484985,valley=2classes,40,1.95,276.0,1,1217.0,206.0,0.57684,0.5581
cifar,train,densenet,20,42,a1,5.316399619914591e-05,valley=2classes,39,2.0,189.0,2,812.0,166.0,0.95498,0.7467
cifar,train,densenet,20,45,a1,7.3909359343815595e-06,valley=2classes,40,1.95,126.0,1,631.0,141.0,0.96312,0.754
cifar,train,densenet,20,48,a1,1.5020096725493204e-05,valley=2classes,40,1.95,122.0,1,573.0,139.0,0.95776,0.7486
cifar,train,densenet,20,6,a1,1.099303960800171,valley=2classes,40,1.95,258.0,1,1145.0,197.0,0.70066,0.6599
cifar,train,densenet,20,9,a1,0.01396428793668747,valley=2classes,40,1.95,264.0,1,1136.0,200.0,0.81172,0.7244
cifar,trainUval,densenet,20,0,a1,0.6707906723022461,valley=2classes,40,1.95,334.0,1,1325.0,227.0,0.09992,0.0998
cifar,trainUval,densenet,20,12,a1,0.0037676021456718445,valley=2classes,40,1.95,246.0,1,1068.0,191.0,0.87682,0.7403
cifar,trainUval,densenet,20,15,a1,0.002318301936611533,valley=2classes,40,1.95,268.0,1,1185.0,202.0,0.90258,0.7422
cifar,trainUval,densenet,20,18,a1,2.3945001885294914e-05,valley=2classes,39,2.0,177.0,2,913.0,166.0,0.93044,0.7493
cifar,trainUval,densenet,20,21,a1,8.493271889165044e-05,valley=2classes,40,1.95,146.0,1,625.0,151.0,0.95162,0.749
cifar,trainUval,densenet,20,24,a1,2.4892273359000683e-05,valley=2classes,40,1.95,134.0,1,545.0,143.0,0.95506,0.7413
cifar,trainUval,densenet,20,27,a1,1.2636017345357686e-05,valley=2classes,40,1.95,190.0,1,916.0,169.0,0.9589,0.7468
cifar,trainUval,densenet,20,30,a1,1.9668135792016983e-05,valley=2classes,40,1.95,128.0,1,607.0,142.0,0.96386,0.7517
cifar,trainUval,densenet,20,33,a1,1.1800089851021767e-05,valley=2classes,40,1.95,200.0,1,890.0,172.0,0.97058,0.7626
cifar,trainUval,densenet,20,36,a1,1.4781078789383173e-05,valley=2classes,40,1.95,154.0,1,753.0,153.0,0.95304,0.7403
cifar,trainUval,densenet,20,39,a1,2.5387285859324038e-05,valley=2classes,40,1.95,144.0,1,660.0,148.0,0.9645,0.7509
cifar,trainUval,densenet,20,3,a1,0.09310007095336914,valley=2classes,40,1.95,292.0,1,1250.0,212.0,0.57684,0.5581
cifar,trainUval,densenet,20,42,a1,3.957452645408921e-05,valley=2classes,40,1.95,210.0,1,915.0,175.0,0.95498,0.7467
cifar,trainUval,densenet,20,45,a1,1.1324169463478029e-05,valley=2classes,40,1.95,90.0,1,533.0,131.0,0.96312,0.754
cifar,trainUval,densenet,20,48,a1,1.9907471141777933e-05,valley=2classes,40,1.95,112.0,1,498.0,136.0,0.95776,0.7486
cifar,trainUval,densenet,20,6,a1,1.547220230102539,valley=2classes,40,1.95,244.0,1,1103.0,192.0,0.70066,0.6599
cifar,trainUval,densenet,20,9,a1,0.013485997915267944,valley=2classes,40,1.95,278.0,1,1161.0,205.0,0.81172,0.7244
cifar,val,densenet,20,0,a1,0.47702741622924805,valley=2classes,40,1.95,342.0,1,1330.0,229.0,0.09992,0.0998
cifar,val,densenet,20,12,a1,1.2039599823765457e-05,valley=2classes,40,1.95,200.0,1,873.0,170.0,0.87682,0.7403
cifar,val,densenet,20,15,a1,2.8728169127134606e-05,valley=2classes,40,1.95,188.0,1,843.0,166.0,0.90258,0.7422
cifar,val,densenet,20,18,a1,1.764259832270909e-05,valley=2classes,40,1.95,148.0,1,755.0,150.0,0.93044,0.7493
cifar,val,densenet,20,21,a1,2.1576292056124657e-05,valley=2classes,39,2.0,189.0,2,970.0,172.0,0.95162,0.749
cifar,val,densenet,20,24,a1,1.4304969226941466e-06,valley=2classes,40,1.95,200.0,1,940.0,172.0,0.95506,0.7413
cifar,val,densenet,20,27,a1,1.7881288840726484e-06,valley=2classes,40,1.95,176.0,1,808.0,160.0,0.9589,0.7468
cifar,val,densenet,20,30,a1,3.0993887776276097e-06,valley=2classes,40,1.95,76.0,1,443.0,122.0,0.96386,0.7517
cifar,val,densenet,20,33,a1,4.768369876728684e-07,valley=2classes,39,2.0,142.0,2,828.0,158.0,0.97058,0.7626
cifar,val,densenet,20,36,a1,2.6226002773910295e-06,valley=2classes,40,1.95,212.0,1,982.0,178.0,0.95304,0.7403
cifar,val,densenet,20,39,a1,4.529941634245915e-06,valley=2classes,39,2.0,198.0,2,927.0,175.0,0.9645,0.7509
cifar,val,densenet,20,3,a1,0.11036008596420288,valley=2classes,40,1.95,284.0,1,1230.0,208.0,0.57684,0.5581
cifar,val,densenet,20,42,a1,6.7947039497084916e-06,valley=2classes,40,1.95,242.0,1,1079.0,191.0,0.95498,0.7467
cifar,val,densenet,20,45,a1,3.6954786537535256e-06,valley=2classes,40,1.95,154.0,1,733.0,153.0,0.96312,0.754
cifar,val,densenet,20,48,a1,2.503380528651178e-06,valley=2classes,40,1.95,166.0,1,851.0,159.0,0.95776,0.7486
cifar,val,densenet,20,6,a1,0.010321075096726418,valley=2classes,40,1.95,270.0,1,1215.0,205.0,0.70066,0.6599
cifar,val,densenet,20,9,a1,0.00028238713275641203,valley=2classes,40,1.95,222.0,1,1042.0,183.0,0.81172,0.7244
mnist,train,densenet,20,0,a1,0.12808465957641602,valley=2classes,40,1.95,342.0,1,1330.0,229.0,0.0981,0.0961
mnist,train,densenet,20,10,a1,2.3841766960686073e-07,valley=2classes,40,1.95,116.0,1,585.0,138.0,0.9902,0.9851
mnist,train,densenet,20,11,a1,7.152546004363103e-07,valley=2classes,39,2.0,87.0,2,456.0,128.0,0.98765,0.9825
mnist,train,densenet,20,12,a1,1.5497153071919456e-06,valley=2classes,40,1.95,122.0,1,536.0,137.0,0.9868333333333333,0.978
mnist,train,densenet,20,13,a1,9.536718152958201e-07,valley=2classes,40,1.95,158.0,1,830.0,159.0,0.9907833333333333,0.9863
mnist,train,densenet,20,14,a1,5.960455382592045e-07,valley=2classes,40,1.95,88.0,1,450.0,124.0,0.9939,0.9902
mnist,train,densenet,20,15,a1,3.5762730021815514e-07,valley=2classes,40,1.95,92.0,1,490.0,128.0,0.99135,0.9851
mnist,train,densenet,20,1,a1,2.6821131541510113e-05,valley=2classes,39,2.0,102.0,2,574.0,132.0,0.9468,0.9424
mnist,train,densenet,20,2,a1,2.979824785143137e-06,valley=2classes,40,1.95,146.0,1,711.0,149.0,0.9785,0.976
mnist,train,densenet,20,3,a1,2.741764546954073e-06,valley=2classes,40,1.95,100.0,1,504.0,130.0,0.9830666666666666,0.98
mnist,train,densenet,20,4,a1,4.76819695904851e-06,valley=2classes,40,1.95,116.0,1,569.0,136.0,0.9876166666666667,0.9865
mnist,train,densenet,20,5,a1,1.1920926823449918e-07,valley=2classes,40,1.95,166.0,1,738.0,157.0,0.9910166666666667,0.9883
mnist,train,densenet,20,6,a1,3.6954243114450946e-06,valley=2classes,40,1.95,120.0,1,571.0,140.0,0.9916333333333334,0.9882
mnist,train,densenet,20,7,a1,5.960441740171518e-07,valley=2classes,40,1.95,84.0,1,486.0,124.0,0.9882,0.9853
mnist,train,densenet,20,8,a1,2.1457522052514832e-06,valley=2classes,39,2.0,77.0,2,455.0,121.0,0.9929166666666667,0.9887
mnist,train,densenet,20,9,a1,2.1457594812090974e-06,valley=2classes,40,1.95,102.0,1,478.0,129.0,0.9940833333333333,0.9891
mnist,trainUval,densenet,20,0,a1,0.18000078201293945,valley=2classes,40,1.95,342.0,1,1330.0,229.0,0.0981,0.0961
mnist,trainUval,densenet,20,10,a1,2.3841835172788706e-07,valley=2classes,40,1.95,74.0,1,464.0,121.0,0.9902,0.9851
mnist,trainUval,densenet,20,11,a1,9.536720426694956e-07,valley=2classes,39,2.0,87.0,2,447.0,127.0,0.98765,0.9825
mnist,trainUval,densenet,20,12,a1,1.072876329999417e-06,valley=2classes,40,1.95,118.0,1,538.0,137.0,0.9868333333333333,0.978
mnist,trainUval,densenet,20,13,a1,1.19208903015533e-06,valley=2classes,40,1.95,186.0,1,847.0,165.0,0.9907833333333333,0.9863
mnist,trainUval,densenet,20,14,a1,1.1920888027816545e-06,valley=2classes,40,1.95,100.0,1,463.0,128.0,0.9939,0.9902
mnist,trainUval,densenet,20,15,a1,7.152511898311786e-07,valley=2classes,39,2.0,125.0,2,728.0,144.0,0.99135,0.9851
mnist,trainUval,densenet,20,1,a1,2.9538990929722786e-05,valley=2classes,39,2.0,175.0,2,875.0,163.0,0.9468,0.9424
mnist,trainUval,densenet,20,2,a1,3.099299647146836e-06,valley=2classes,40,1.95,108.0,1,571.0,136.0,0.9785,0.976
mnist,trainUval,densenet,20,3,a1,3.0994024200481363e-06,valley=2classes,40,1.95,84.0,1,435.0,124.0,0.9830666666666666,0.98
mnist,trainUval,densenet,20,4,a1,4.887549039267469e-06,valley=2classes,40,1.95,118.0,1,588.0,137.0,0.9876166666666667,0.9865
mnist,trainUval,densenet,20,5,a1,5.960391717962921e-07,valley=2classes,40,1.95,156.0,1,637.0,154.0,0.9910166666666667,0.9883
mnist,trainUval,densenet,20,6,a1,6.079408194636926e-06,valley=2classes,40,1.95,164.0,1,726.0,156.0,0.9916333333333334,0.9882
mnist,trainUval,densenet,20,7,a1,9.53654307522811e-07,valley=2classes,40,1.95,116.0,1,620.0,140.0,0.9882,0.9853
mnist,trainUval,densenet,20,8,a1,3.93346999771893e-06,valley=2classes,40,1.95,82.0,1,402.0,123.0,0.9929166666666667,0.9887
mnist,trainUval,densenet,20,9,a1,1.7880956875160336e-06,valley=2classes,40,1.95,134.0,1,606.0,145.0,0.9940833333333333,0.9891
mnist,val,densenet,20,0,a1,0.014563322067260742,valley=2classes,39,2.0,287.0,2,1239.0,215.0,0.0981,0.0961
mnist,val,densenet,20,10,a1,0.0,valley=2classes,109,2.0,1322.0,2,13013.0,886.0,0.9902,0.9851
mnist,val,densenet,20,11,a1,2.3841766960686073e-07,valley=2classes,40,1.95,136.0,1,577.0,144.0,0.98765,0.9825
mnist,val,densenet,20,12,a1,1.1920917586394353e-07,valley=2classes,40,1.95,44.0,1,365.0,114.0,0.9868333333333333,0.978
mnist,val,densenet,20,13,a1,0.0,valley=2classes,92,2.0681818181818183,,5,6335.0,531.0,0.9907833333333333,0.9863
mnist,val,densenet,20,14,a1,7.152393664000556e-07,valley=2classes,39,2.0,100.0,2,638.0,136.0,0.9939,0.9902
mnist,val,densenet,20,15,a1,1.1920883480343036e-07,valley=2classes,37,2.0,98.0,2,448.0,122.0,0.99135,0.9851
mnist,val,densenet,20,1,a1,1.1920923270736239e-07,valley=2classes,40,1.95,92.0,1,497.0,128.0,0.9468,0.9424
mnist,val,densenet,20,2,a1,1.1920906217710581e-07,valley=2classes,40,1.95,162.0,1,722.0,153.0,0.9785,0.976
mnist,val,densenet,20,3,a1,1.1920923270736239e-07,valley=2classes,40,1.95,114.0,1,539.0,135.0,0.9830666666666666,0.98
mnist,val,densenet,20,4,a1,5.960337148280814e-07,valley=2classes,40,1.95,106.0,1,491.0,131.0,0.9876166666666667,0.9865
mnist,val,densenet,20,5,a1,1.1920923270736239e-07,valley=2classes,38,1.9473684210526316,146.0,1,693.0,144.0,0.9910166666666667,0.9883
mnist,val,densenet,20,6,a1,2.3841721485950984e-07,valley=2classes,40,1.95,136.0,1,610.0,142.0,0.9916333333333334,0.9882
mnist,val,densenet,20,7,a1,0.0,valley=2classes,143,2.0285714285714285,,4,19257.0,1057.0,0.9882,0.9853
mnist,val,densenet,20,8,a1,2.3841812435421161e-07,valley=2classes,40,1.95,120.0,1,679.0,142.0,0.9929166666666667,0.9887
mnist,val,densenet,20,9,a1,0.0,valley=2classes,105,2.0392156862745097,,4,4189.0,471.0,0.9940833333333333,0.9891
cifar,train,resnet,20,0,a1,0.9353439807891846,valley=2classes,40,1.95,342.0,1,1330.0,229.0,0.1,0.1
cifar,train,resnet,20,12,a1,0.00012354523641988635,valley=2classes,40,1.95,190.0,1,845.0,167.0,0.93352,0.7355
cifar,train,resnet,20,15,a1,1.2630072887986898e-05,valley=2classes,40,1.95,112.0,1,613.0,138.0,0.9403,0.7192
