dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,average_colless_index,average_missing_colless,average_total_cophenetic_index,average_sackin_index,train_acc,val_acc
cifar,train,densenet,20,33,a1,1e-07,1e-07,99,2.0,530.0,2,5156.0,493.0,5.353535353535354,0.020202020202020204,52.08080808080808,4.97979797979798,0.97058,0.7626
cifar,train,densenet,20,33,a2,1e-07,1e-07,107,2.0,808.0,2,7456.0,635.0,7.5514018691588785,0.018691588785046728,69.6822429906542,5.934579439252336,0.97058,0.7626
cifar,train,densenet,20,33,a3,1e-07,1e-07,459,2.008771929824561,,4,1663867.0,19817.0,,0.008714596949891068,3624.9825708061003,43.17429193899782,0.97058,0.7626
cifar,train,densenet,20,33,a4,1e-07,1e-07,598,2.0306122448979593,,11,4204909.0,39600.0,,0.01839464882943144,7031.620401337793,66.22073578595318,0.97058,0.7626
cifar,train,densenet,20,33,a5,1e-07,1e-07,850,2.075794621026895,,27,13298010.0,88113.0,,0.03176470588235294,15644.717647058824,103.66235294117647,0.97058,0.7626
cifar,train,densenet,20,33,a6,1e-07,1e-07,904,2.0522727272727272,,24,16061946.0,102318.0,,0.02654867256637168,17767.639380530974,113.18362831858407,0.97058,0.7626
cifar,train,densenet,20,33,a7,1e-07,1e-07,1045,2.0714285714285716,,33,24653688.0,135041.0,,0.031578947368421054,23592.045933014353,129.22583732057416,0.97058,0.7626
cifar,train,densenet,20,33,a8,1e-07,1e-07,1209,2.0827586206896553,,44,39054803.0,184694.0,,0.036393713813068655,32303.393713813068,152.76592224979322,0.97058,0.7626
cifar,trainUval,densenet,20,33,a1,1e-07,1e-07,121,2.0,879.0,2,9075.0,714.0,7.264462809917355,0.01652892561983471,75.0,5.900826446280992,0.97058,0.7626
cifar,trainUval,densenet,20,33,a2,1e-07,1e-07,113,2.0,979.0,2,10427.0,737.0,8.663716814159292,0.017699115044247787,92.27433628318585,6.522123893805309,0.97058,0.7626
cifar,trainUval,densenet,20,33,a3,1e-07,1e-07,548,2.018450184501845,,7,2797190.0,27548.0,,0.012773722627737226,5104.361313868613,50.27007299270073,0.97058,0.7626
cifar,trainUval,densenet,20,33,a4,1e-07,1e-07,692,2.056547619047619,,21,6570464.0,52136.0,,0.030346820809248554,9494.890173410404,75.34104046242774,0.97058,0.7626
cifar,trainUval,densenet,20,33,a5,1e-07,1e-07,992,2.0775681341719077,,35,21180707.0,120739.0,,0.03528225806451613,21351.519153225807,121.71270161290323,0.97058,0.7626
cifar,trainUval,densenet,20,33,a6,1e-07,1e-07,1061,2.0384615384615383,,22,25492858.0,140136.0,,0.020735155513666354,24027.198868991516,132.07917059377945,0.97058,0.7626
