dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,average_colless_index,average_missing_colless,average_total_cophenetic_index,average_sackin_index,train_acc,val_acc
cifar,train,resnet,20,30,aavgpool,1e-07,1e-07,107,2.0384615384615383,,4,5312.0,569.0,,0.037383177570093455,49.64485981308411,5.317757009345795,0.97678,0.7454
cifar,train,resnet,20,30,afc,1e-07,1e-07,107,2.0384615384615383,,4,5312.0,569.0,,0.037383177570093455,49.64485981308411,5.317757009345795,0.97678,0.7454
cifar,train,resnet,20,30,al1-b0-bn1,1e-07,1e-07,1187,2.0554592720970537,,31,35790292.0,175448.0,,0.02611625947767481,30151.888795282222,147.80791912384163,0.97678,0.7454
cifar,train,resnet,20,30,al1-b0-bn2,1e-07,1e-07,1388,2.0794602698650673,,52,57670483.0,236762.0,,0.037463976945244955,41549.33933717579,170.5778097982709,0.97678,0.7454
cifar,train,resnet,20,30,al1-b0-c1,1e-07,1e-07,1418,2.089970501474926,,57,62699649.0,251884.0,,0.04019746121297602,44216.95980253879,177.63328631875882,0.97678,0.7454
cifar,train,resnet,20,30,al1-b0-c2,1e-07,1e-07,1466,2.0868945868945867,,54,67946142.0,263961.0,,0.036834924965893585,46347.982264665756,180.05525238744883,0.97678,0.7454
cifar,train,resnet,20,30,al1-b1-bn1,1e-07,1e-07,1271,2.0583468395461915,,34,43647615.0,198310.0,,0.02675059008654603,34341.16050354052,156.02675059008655,0.97678,0.7454
cifar,train,resnet,20,30,al1-b1-bn2,1e-07,1e-07,1373,2.053892215568862,,35,55080643.0,233032.0,,0.025491624180626365,40117.00145666424,169.72469045884924,0.97678,0.7454
cifar,train,resnet,20,30,al1-b1-c1,1e-07,1e-07,1494,2.093969144460028,,62,73154725.0,278712.0,,0.041499330655957165,48965.67938420348,186.55421686746988,0.97678,0.7454
cifar,train,resnet,20,30,al1-b1-c2,1e-07,1e-07,1644,2.090330788804071,,66,97368444.0,337217.0,,0.040145985401459854,59226.54744525548,205.1198296836983,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-bn1,1e-07,1e-07,507,2.0403225806451615,,12,1998080.0,20940.0,,0.023668639053254437,3940.9861932938857,41.30177514792899,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-bn2,1e-07,1e-07,944,2.0323275862068964,,15,11765230.0,69329.0,,0.015889830508474576,12463.167372881357,73.4417372881356,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-c1,1e-07,1e-07,763,2.076294277929155,,29,7081233.0,47972.0,,0.03800786369593709,9280.777195281782,62.87287024901704,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-c2,1e-07,1e-07,574,2.0247349823321557,,9,2141258.0,20795.0,,0.0156794425087108,3730.4146341463415,36.228222996515676,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-downsample-bn,1e-07,1e-07,596,2.037671232876712,,12,2473730.0,23324.0,,0.020134228187919462,4150.553691275168,39.13422818791946,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-downsample-conv,1e-07,1e-07,763,2.076294277929155,,29,7081233.0,47972.0,,0.03800786369593709,9280.777195281782,62.87287024901704,0.97678,0.7454
cifar,train,resnet,20,30,al4-b1-bn1,1e-07,1e-07,195,2.0,2308.0,2,38881.0,1627.0,11.835897435897436,0.010256410256410256,199.3897435897436,8.343589743589744,0.97678,0.7454
cifar,train,resnet,20,30,al4-b1-bn2,1e-07,1e-07,1112,2.0385321100917433,,23,21587624.0,114865.0,,0.02068345323741007,19413.330935251797,103.29586330935251,0.97678,0.7454
cifar,train,resnet,20,30,al4-b1-c1,1e-07,1e-07,114,2.017857142857143,587.0,3,5556.0,570.0,5.149122807017544,0.02631578947368421,48.73684210526316,5.0,0.97678,0.7454
cifar,train,resnet,20,30,al4-b1-c2,1e-07,1e-07,253,2.016,,4,74413.0,2470.0,,0.015810276679841896,294.12252964426875,9.762845849802371,0.97678,0.7454
cifar,trainUval,resnet,20,30,aavgpool,1e-07,1e-07,120,2.016949152542373,664.0,3,6211.0,626.0,5.533333333333333,0.025,51.75833333333333,5.216666666666667,0.97678,0.7454
cifar,trainUval,resnet,20,30,afc,1e-07,1e-07,120,2.016949152542373,664.0,3,6211.0,626.0,5.533333333333333,0.025,51.75833333333333,5.216666666666667,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b0-bn1,1e-07,1e-07,1463,2.0591549295774647,,42,67566270.0,265860.0,,0.028708133971291867,46183.36978810663,181.7224880382775,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b0-bn2,1e-07,1e-07,1648,2.0716981132075474,,54,97425894.0,338993.0,,0.032766990291262135,59117.654126213594,205.6996359223301,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b0-c1,1e-07,1e-07,1604,2.073738680465718,,55,91092682.0,325731.0,,0.03428927680798005,56790.94887780549,203.07418952618454,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b0-c2,1e-07,1e-07,1672,2.0835411471321694,,62,101909943.0,347418.0,,0.03708133971291866,60950.92284688995,207.7858851674641,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b1-bn1,1e-07,1e-07,1452,2.0640113798008537,,44,65904249.0,261252.0,,0.030303030303030304,45388.60123966942,179.92561983471074,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b1-bn2,1e-07,1e-07,1649,2.0472049689440994,,38,95941626.0,337445.0,,0.02304426925409339,58181.701637355975,204.63614311704063,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b1-c1,1e-07,1e-07,1754,2.0994011976047906,,73,119523353.0,385027.0,,0.04161915621436716,68143.30273660205,219.51368301026227,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b1-c2,1e-07,1e-07,1848,2.0941043083900226,,74,139845936.0,427560.0,,0.04004329004329004,75674.20779220779,231.36363636363637,0.97678,0.7454
cifar,trainUval,resnet,20,30,al4-b0-bn1,1e-07,1e-07,585,2.049122807017544,,16,3120145.0,28008.0,,0.02735042735042735,5333.581196581196,47.87692307692308,0.97678,0.7454
cifar,trainUval,resnet,20,30,al4-b0-bn2,1e-07,1e-07,1088,2.0279850746268657,,16,19714332.0,98548.0,,0.014705882352941176,18119.790441176472,90.57720588235294,0.97678,0.7454
cifar,trainUval,resnet,20,30,al4-b0-c1,1e-07,1e-07,830,2.067331670822943,,27,8855655.0,55727.0,,0.03253012048192771,10669.463855421687,67.14096385542169,0.97678,0.7454
cifar,trainUval,resnet,20,30,al4-b0-c2,1e-07,1e-07,651,2.0249221183800623,,9,3371445.0,28287.0,,0.013824884792626729,5178.870967741936,43.45161290322581,0.97678,0.7454
cifar,trainUval,resnet,20,30,al4-b0-downsample-bn,1e-07,1e-07,646,2.0283018867924527,,10,3600049.0,31106.0,,0.015479876160990712,5572.831269349846,48.15170278637771,0.97678,0.7454
cifar,trainUval,resnet,20,30,al4-b0-downsample-conv,1e-07,1e-07,830,2.067331670822943,,27,8855655.0,55727.0,,0.03253012048192771,10669.463855421687,67.14096385542169,0.97678,0.7454
cifar,trainUval,resnet,20,30,al4-b1-bn1,1e-07,1e-07,199,2.020408163265306,,4,39210.0,1637.0,,0.020100502512562814,197.03517587939697,8.226130653266331,0.97678,0.7454
