Original_Label,count
2,1350
0,1350
17,1350
42,1350
13,1350
34,1350
45,1350
33,1350
40,1350
10,1350
28,1350
1,1350
41,1350
4,1350
15,1350
57,1350
50,1350
18,1350
58,1350
54,1350
20,1350
22,1350
7,1350
49,1350
23,1350
31,1350
30,1350
48,1350
38,1350
5,1350
21,1350
6,1350
35,1350
52,1350
55,1350
3,1350
46,1350
29,1350
27,1350
14,1350
60,1350
12,1350
25,1350
39,1350
8,1350
11,1350
36,1350
26,1350
59,1350
24,1350
19,1350
9,1350
37,1350
47,1350
53,1350
16,1350
32,1350
56,1350
44,1350
51,1316
43,1167
61,967
160,50
320,50
229,50
364,50
121,50
69,50
252,50
289,50
379,50
359,50
106,50
181,50
277,50
185,50
335,50
158,50
170,50
353,50
231,50
195,50
304,50
302,50
294,50
147,50
228,50
242,50
307,50
284,50
206,50
144,50
156,50
92,50
95,50
138,50
397,50
213,50
187,50
314,50
361,50
339,50
215,50
245,50
159,50
323,50
81,50
188,50
321,50
282,50
343,50
311,50
248,50
357,50
309,50
83,50
342,50
74,50
183,50
258,50
356,50
115,50
328,50
186,50
169,50
363,50
107,50
394,50
270,50
337,50
75,50
93,50
163,50
113,50
370,50
399,50
114,50
373,50
130,50
124,50
378,50
76,50
313,50
265,50
325,50
148,50
204,50
393,50
128,50
368,50
238,50
347,50
225,50
168,50
287,50
261,50
207,50
376,50
218,50
300,50
251,50
389,50
63,50
143,50
344,50
350,50
371,50
109,50
68,50
88,50
243,50
308,50
166,50
257,50
232,50
108,50
137,50
354,50
125,50
366,50
192,50
329,50
149,50
167,50
310,50
340,50
119,50
254,50
230,50
66,50
127,50
295,50
306,50
281,50
316,50
172,50
155,50
234,50
275,50
219,50
198,50
72,50
101,50
365,50
388,50
111,50
256,50
212,50
297,50
201,50
293,50
171,50
235,50
102,50
224,50
194,50
367,50
346,50
249,50
152,50
80,50
326,50
199,50
383,50
67,50
268,50
319,50
161,50
278,50
264,50
390,50
322,50
82,50
345,50
266,50
164,50
65,50
179,50
369,50
77,50
272,50
64,50
352,50
267,50
382,50
279,50
184,50
153,50
341,50
216,50
116,50
263,50
305,50
348,50
89,50
336,50
222,50
96,50
117,50
162,50
86,50
139,50
129,50
398,50
385,50
332,50
358,50
157,50
377,50
150,50
133,50
84,50
140,50
362,50
259,50
146,50
380,50
349,50
331,50
391,50
221,50
253,50
202,50
178,50
135,50
324,50
286,50
174,50
269,50
141,50
126,50
217,50
209,50
327,50
197,50
165,50
70,50
136,50
85,50
372,50
285,50
381,50
190,50
211,50
315,50
79,50
387,50
104,50
271,50
131,50
386,50
176,50
220,50
374,50
241,50
210,50
262,50
244,50
227,50
193,50
360,50
173,50
180,50
142,50
283,50
132,50
375,50
288,50
78,50
333,50
123,50
87,50
301,50
122,50
145,50
273,50
134,50
98,50
151,50
237,50
318,50
233,50
62,50
94,50
154,50
355,50
112,50
239,50
110,50
226,50
120,50
223,50
247,50
250,50
296,50
384,50
260,50
312,50
91,50
351,50
189,50
317,50
240,50
196,50
292,50
205,50
246,50
330,50
97,50
177,50
99,50
274,50
203,50
200,50
236,50
280,50
299,50
392,50
191,50
303,50
395,50
103,50
73,50
298,50
71,50
291,50
182,50
276,50
90,50
100,50
396,50
214,50
290,50
175,50
118,50
338,50
208,50
334,50
105,50
255,50
