Predicted_Label,count
57,1496
35,1451
37,1443
40,1409
53,1390
28,1385
12,1380
33,1379
31,1377
6,1367
25,1367
48,1367
50,1366
39,1366
44,1366
19,1366
11,1364
47,1359
56,1353
22,1352
24,1349
42,1344
3,1341
15,1340
9,1339
16,1338
14,1336
27,1331
18,1329
29,1327
45,1325
1,1323
8,1322
23,1321
13,1316
59,1314
32,1313
2,1312
4,1309
17,1309
10,1307
20,1306
30,1306
7,1306
21,1301
38,1301
51,1294
0,1293
26,1291
49,1291
41,1290
58,1275
52,1248
46,1229
34,1191
5,1188
55,1167
54,1149
36,1128
43,1112
61,989
60,955
64,186
62,176
68,155
67,154
63,111
65,97
162,85
66,80
313,78
119,78
389,77
159,71
189,71
391,71
125,70
390,69
184,68
263,66
94,66
342,65
395,65
234,64
82,64
243,64
215,64
357,63
382,63
79,63
71,63
127,63
171,62
320,62
147,62
99,62
208,62
336,61
136,61
148,61
111,61
92,61
292,61
132,61
115,60
298,60
343,60
331,60
269,60
149,60
372,60
397,60
239,59
203,59
232,59
225,59
231,59
384,59
310,59
379,59
139,59
150,59
300,59
137,58
364,58
182,58
135,58
348,58
238,58
85,58
281,58
360,58
76,58
72,58
195,57
86,57
110,57
80,57
70,57
101,57
352,57
138,57
200,57
131,57
380,57
358,57
151,57
96,57
217,57
77,57
378,57
333,56
128,56
169,56
258,56
237,56
93,56
317,56
367,56
305,56
69,56
249,56
104,56
91,56
223,56
241,56
90,56
295,55
301,55
81,55
192,55
259,55
376,55
155,55
327,55
199,55
133,55
255,55
293,55
274,54
361,54
123,54
344,54
146,54
288,54
289,54
103,54
156,54
142,54
205,54
89,54
294,54
95,54
97,54
370,54
172,54
107,53
251,53
362,53
373,53
329,53
224,53
324,53
270,53
303,53
306,53
280,53
181,53
265,53
394,53
177,53
308,53
74,53
291,53
83,52
262,52
118,52
84,52
116,52
144,52
129,52
275,52
284,52
180,52
229,52
227,52
126,52
114,52
75,52
183,52
187,52
194,52
102,52
311,52
392,51
396,51
174,51
340,51
253,51
109,51
197,51
178,51
164,51
157,51
304,51
256,51
286,51
387,51
113,51
143,51
186,51
279,51
209,50
166,50
325,50
252,50
141,50
350,50
100,50
315,50
244,50
121,50
160,50
316,50
322,50
105,50
218,50
339,50
87,50
347,50
254,50
337,50
321,50
153,50
267,50
393,50
363,50
388,50
176,50
375,50
130,50
207,49
334,49
145,49
122,49
332,49
278,49
196,49
257,49
365,49
354,49
351,49
247,48
285,48
106,48
161,48
179,48
273,48
112,48
245,48
312,48
214,48
261,48
198,48
318,48
326,48
98,48
323,48
134,48
268,48
250,48
222,48
191,48
154,47
88,47
219,47
296,47
355,47
307,47
314,47
248,47
309,47
140,47
290,47
266,47
185,47
216,47
366,47
120,47
211,47
353,46
233,46
349,46
210,46
201,46
283,46
236,46
299,46
276,46
359,46
213,46
368,46
319,46
346,45
124,45
117,45
287,45
260,45
335,45
973,45
272,45
193,44
152,44
188,44
385,44
228,44
190,44
277,44
369,44
204,43
221,43
264,43
212,43
338,42
235,42
377,42
328,42
206,42
226,42
173,41
242,41
398,41
386,40
168,40
78,40
383,40
170,40
220,40
202,39
330,39
175,39
399,39
371,38
230,38
297,38
345,37
983,37
108,37
374,36
302,36
341,36
271,35
73,34
246,33
356,33
165,32
381,31
158,31
240,27
282,27
163,26
167,19
801,19
690,17
489,16
977,13
738,11
904,11
448,10
815,9
506,9
539,8
913,8
947,8
998,7
825,7
994,7
616,7
805,7
562,7
537,6
971,6
945,6
467,6
868,6
599,6
456,6
845,6
677,6
758,6
749,5
932,5
584,5
852,5
674,5
463,5
975,5
488,5
972,5
649,5
965,5
979,4
460,4
853,4
716,4
995,4
712,4
433,4
491,4
500,4
679,4
987,4
943,4
961,4
858,4
895,4
997,4
580,3
880,3
828,3
733,3
695,3
658,3
572,3
652,3
410,3
990,3
504,3
842,3
490,3
603,3
700,3
591,3
843,3
455,3
939,3
557,3
696,3
830,3
887,3
476,3
911,3
523,3
905,3
879,3
512,3
552,3
823,3
574,3
956,3
876,3
415,3
794,3
703,3
766,3
850,3
640,3
501,3
985,3
728,2
408,2
435,2
741,2
958,2
693,2
449,2
567,2
797,2
709,2
620,2
991,2
783,2
989,2
811,2
428,2
910,2
788,2
988,2
750,2
667,2
996,2
634,2
770,2
608,2
824,2
896,2
701,2
748,2
659,2
838,2
946,2
984,2
676,2
774,2
976,2
577,2
669,2
534,2
799,2
726,2
863,2
646,2
882,2
739,2
955,2
872,2
722,2
818,2
469,2
948,2
702,2
721,2
974,2
902,2
443,2
447,2
978,2
401,2
730,2
936,2
835,2
421,2
937,2
921,2
752,2
762,1
499,1
566,1
930,1
480,1
425,1
834,1
684,1
767,1
849,1
602,1
617,1
706,1
900,1
551,1
903,1
731,1
471,1
980,1
747,1
869,1
856,1
827,1
790,1
806,1
483,1
532,1
764,1
769,1
568,1
711,1
639,1
673,1
891,1
723,1
746,1
576,1
548,1
597,1
736,1
452,1
492,1
416,1
916,1
796,1
802,1
653,1
564,1
719,1
982,1
813,1
795,1
986,1
718,1
909,1
942,1
405,1
444,1
497,1
671,1
655,1
524,1
621,1
559,1
898,1
780,1
807,1
954,1
792,1
777,1
569,1
688,1
885,1
925,1
600,1
610,1
778,1
962,1
707,1
840,1
928,1
536,1
625,1
773,1
698,1
929,1
814,1
908,1
527,1
544,1
941,1
633,1
894,1
957,1
423,1
565,1
453,1
772,1
457,1
912,1
644,1
756,1
622,1
809,1
833,1
672,1
944,1
970,1
494,1
502,1
865,1
440,1
689,1
475,1
926,1
417,1
855,1
735,1
816,1
992,1
424,1
753,1
743,1
561,1
759,1
